article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Undersecretary Lía Limón refused to receive relatives of missing people,2013-01-17,-0.9169,Jornada,-0.5267
La Jornada: Deputies call on the IFE to reveal the expenses of the PRI presidential campaign,2013-01-17,-0.7579,Jornada,0.0
"La Jornada: The law of victims will be reformed, without being a general structure, says Solís Acero",2013-01-17,0.5423,Jornada,-0.3182
La Jornada: Omitted Calderón issuing regulations of more than 40 laws: report of the Senate,2013-01-17,-0.296,Jornada,0.0
"La Jornada: For professionalism, the parties should not contaminate the agreement: PRI",2013-01-17,0.4939,Jornada,0.0186
"La Jornada: Calderon accuses the debt crisis faced by more than 1,500 municipalities",2013-01-17,-0.5267,Jornada,-0.8402
La Jornada: It will be difficult to choose my successor: Peschard,2013-01-17,-0.6908,Jornada,-0.1531
"La Jornada: Secretary Enrique Martinez has 16 land, one building and one house",2013-01-17,0.6705,Jornada,0.0
"La Jornada: Postponing trips to Colima, ask Washington to Americans",2013-01-17,-0.6249,Jornada,-0.128
La Jornada: Cyber ​​Police will ask Anonymous,2013-01-17,0.765,Jornada,0.0
La Jornada: Designate new commanders in the Gulf and four naval regions,2013-01-17,0.3182,Jornada,0.0
"La Jornada: Magistrate refuses to release generals Ángeles Dauahare, Dawe and Pérez Ramírez",2013-01-17,-0.9623,Jornada,0.0
La Jornada: Dismissals of Air Services of the PGR request an audience with Peña Nieto,2013-01-17,0.0,Jornada,0.0
"La Jornada: The priority is to order states and mayors, not rescue them, says Cordero",2013-01-17,0.25,Jornada,-0.4023
La Jornada: Demand space for defenders,2013-01-17,-0.765,Jornada,-0.0516
"La Jornada: Incarcerated, at least 500 soldiers in Calderonismo",2013-01-17,-0.9287,Jornada,0.0
La Jornada: Differs Peña's equity statement in which he does not need the value of his assets,2013-01-17,-0.9442,Jornada,-0.0864
La Jornada: Morena presents austerity program to save 300 billion pesos,2013-01-17,-0.296,Jornada,0.4939
La Jornada: The President surprised Peschard,2013-01-17,-0.296,Jornada,0.2263
"La Jornada: Two people die in Acapulco, on an intentionally torched bus",2013-01-17,-0.34,Jornada,-0.5994
La Jornada: The PRD resumes the San Andrés agreements,2013-01-17,-0.1027,Jornada,0.2732
La Jornada: Avila Mayo is presented at the PGR,2013-01-17,0.1027,Jornada,0.0
"La Jornada: Ardelio Vargas in the INM, slapping defenders of rights: Solalinde",2013-01-17,-0.8519,Jornada,0.0772
La Jornada: Carstens calls on AN to support energy reform,2013-01-17,0.0,Jornada,0.5859
La Jornada: Amagan blanquiazules with abandoning the Covenant,2013-01-17,-0.0516,Jornada,-0.3818
