article,pub_date,nltk_score,source,nltk_score_title
Acusa líder opositor al presidente de Zimbabue de preparar una guerra,2008-04-06,-0.9666,Jornada,-0.743
Rechaza Venezuela informe de CIDH sobre presunta violación de derechos,2008-04-06,0.7184,Jornada,-0.7506
Condena jurado de Miami a Cuba a pagar multa de 253 millones de dólares,2008-04-06,-0.836,Jornada,-0.4404
Descartan EU y Rusia firmar pacto para reducir el número de armas nucleares,2008-04-06,-0.7184,Jornada,-0.4404
Ecuador desea olvidar incidente con Colombia,2008-04-06,0.9231,Jornada,-0.2263
Descubren iraquíes una supuesta base de Al Qaeda en una isla del río Tigris,2008-04-06,-0.9477,Jornada,0.0
"“Cada vez más inmanejable”, el conflicto interno colombiano: Germán Sánchez Otero",2008-04-06,-0.8807,Jornada,-0.3182
Desalojan a 183 niñas y mujeres de secta mormona,2008-04-06,-0.93,Jornada,0.0
Continúa interrumpida la misión para dar asistencia médica a Ingrid Betancourt,2008-04-06,-0.9756,Jornada,-0.296
"A la distancia, México y Alemania tienen problemas comunes: Luis Rodríguez",2008-04-06,-0.4939,Jornada,-0.4019
Los cátaros: realidad y ficción,2008-04-06,0.2878,Jornada,0.0
Un desierto para la danza llega a su versión 16,2008-04-06,0.0,Jornada,0.0516
Mitología para construir una historia emocionante,2008-04-06,0.9382,Jornada,0.4939
Espontáneo homenaje popular a Carrington; cumple 91 años,2008-04-06,-0.6908,Jornada,0.4215
"Tres estados del noroeste del país, sede de los festejos por el Día Internacional de la Danza",2008-04-06,0.0,Jornada,0.0
"Autonomías indígenas, bastión de resistencia contra el neoliberalismo: López y Rivas",2008-04-06,-0.9246,Jornada,0.0
Cómo forjar una sociedad abierta,2008-04-06,0.9001,Jornada,0.0
"Elevar la producción de alimentos, reto para CA",2008-04-06,-0.9468,Jornada,0.0772
Prevé BID que para 2012 se otorguen 20 mil mdd en microcréditos en AL,2008-04-06,0.9169,Jornada,0.3612
G-8 apoya el crecimiento de países pobres,2008-04-06,0.0,Jornada,0.25
"Sombrío panorama económico mundial, el veredicto del FMI",2008-04-06,0.6666,Jornada,0.0
Crisis subprime pega a bancos de Europa,2008-04-06,-0.296,Jornada,-0.6249
"Fracasan programas para migrantes por falta de difusión, afirman investigadoras",2008-04-06,-0.9325,Jornada,-0.7003
"Salvaguardar intereses de la IP en Venezuela, piden panistas a SRE",2008-04-06,0.8316,Jornada,0.4767
"La farmacoeconomía dejará beneficios en compras del sector público, prevén",2008-04-06,-0.5423,Jornada,0.34
"Católicos, en audiencias sobre aborto",2008-04-06,0.7184,Jornada,0.0
"Fracturas en la cúpula charra, por cacicazgo de Gordillo, dice la CNTE",2008-04-06,-0.34,Jornada,0.0
Firman sindicato y autoridades de la UAM fin a 64 días de huelga,2008-04-06,-0.8519,Jornada,-0.25
"Di Costanzo: cobarde amenaza, decir que sin cambios habrá más impuestos",2008-04-06,0.2023,Jornada,-0.7184
Piden los padres de Lucía Morett que se le garanticen seguridad y libertad,2008-04-06,-0.7783,Jornada,0.7906
Advierte Venezuela sobre la “desastrosa” experiencia de privatizar el sector petrolero,2008-04-06,-0.8658,Jornada,-0.1027
"En el suroeste persisten abusos contra indocumentados, denuncia pastoral",2008-04-06,-0.9638,Jornada,-0.7506
Expondrán caso Oaxaca en el Parlamento Europeo,2008-04-06,-0.9081,Jornada,0.0
Agreden militares a periodistas de Chihuahua,2008-04-06,0.0,Jornada,-0.4588
"Cambiar ley migratoria del país, demanda Elvira Arellano",2008-04-06,-0.7783,Jornada,-0.128
Miembros de la Armada y del INM violaron a dos migrantes,2008-04-06,-0.9287,Jornada,-0.5267
Aprueba consejo panista plan de reforma estatutaria,2008-04-06,-0.5994,Jornada,0.4019
Protesta en Culiacán contra privatización de Pemex,2008-04-06,-0.296,Jornada,-0.25
Incautan 929 kilos de droga en BC y SLP,2008-04-06,0.34,Jornada,0.0
López Obrador alerta sobre posibles provocaciones en la resistencia civil,2008-04-06,0.8126,Jornada,-0.1027
Descartan legisladores ley de amnistía para quien deje el crimen organizado,2008-04-06,-0.9806,Jornada,-0.5423
Captura la SSP a tres presuntos polleros,2008-04-06,0.0,Jornada,-0.2263
Debe revisarse la relación de la Iglesia con el Estado: Observatorio Eclesial,2008-04-06,-0.296,Jornada,0.0
PAN: el Congreso de la Unión no se permuta por “aclamaciones callejeras”,2008-04-06,-0.886,Jornada,0.4767
La PGR no investigará a los curas que aceptaron la “generosidad” de narcos,2008-04-06,-0.8074,Jornada,0.2732
Hay “rechazo absoluto” al dinero manchado de sangre: arquidiócesis,2008-04-06,-0.9337,Jornada,-0.5423
Suspenden indígenas huelga de hambre en respuesta a llamado de Samuel Ruiz,2008-04-06,0.4404,Jornada,-0.6808
Sedena destruye plantíos de mariguana,2008-04-06,-0.34,Jornada,-0.5574
Visos de fractura en el PRI por iniciativa de reforma energética,2008-04-06,-0.8957,Jornada,0.4588
"En el penal de “alta seguridad” de La Palma, donde más internos se suicidan",2008-04-06,-0.99,Jornada,-0.6352
"Personal de Migración, el que más abusos comete contra indocumentados",2008-04-06,-0.872,Jornada,-0.5563
"Error, que México tome como ejemplo a Petrobras, alertan trabajadores brasileños",2008-04-06,-0.872,Jornada,-0.128
"En evidencia, desventajas jurídicas para los pueblos nativos de México",2008-04-06,-0.9796,Jornada,-0.296
"Murió Charlton Heston, leyenda del cine épico",2008-04-06,0.0772,Jornada,-0.5574
El IFE se apropia de $360 millones que ya no recibieron los partidos,2008-04-06,0.6908,Jornada,0.128
