article,pub_date,nltk_score,source,nltk_score_title
"Pesimistas, 80% de estadunidenses: sondeo",2008-04-05,-0.9887,Jornada,-0.25
"Median Colombia, Brasil y Argentina en crisis de Bolivia",2008-04-05,0.8779,Jornada,-0.6249
"Abre fuego la policía china contra protesta; murieron ocho tibetanos, dicen separatistas",2008-04-05,-0.8957,Jornada,-0.836
"“De la mayor discrepancia saldrán las mejores decisiones”, afirma Raúl Castro",2008-04-05,-0.8689,Jornada,0.8555
Va Zimbabue a una segunda vuelta electoral,2008-04-05,-0.6808,Jornada,0.0
"Continuará trabajando por la libertad de Ingrid Betancourt, ratifica Chávez",2008-04-05,-0.9738,Jornada,0.6369
Condena tribunal oral argentino a ex militar y un matrimonio por apropiación de una niña,2008-04-05,-0.1779,Jornada,-0.0258
Tacha Putin de amenaza incorporar ex repúblicas soviéticas a la OTAN,2008-04-05,-0.128,Jornada,-0.5267
El vino secreto que guarda cada sílaba,2008-04-05,-0.0772,Jornada,0.0
Presentan una perspectiva crítica “no autorizada” alrededor de Juan Rulfo,2008-04-05,-0.967,Jornada,-0.3182
Montan un mundo de ensoñación a partir de Alicia en el país de las maravillas,2008-04-05,0.8979,Jornada,0.25
"Con disco como solista, Villazón regresa a escenarios alemanes",2008-04-05,0.9705,Jornada,0.0
El tesoro auténtico,2008-04-05,-0.0516,Jornada,0.296
Muchos bailarines jóvenes en La bella durmiente,2008-04-05,0.7783,Jornada,0.5859
El mundo celebra a Von Karajan,2008-04-05,0.4162,Jornada,0.0
Difieren Guillermo Ortiz y Agustín Carstens sobre el impacto de la crisis de EU en México,2008-04-05,-0.2732,Jornada,-0.6249
Rechazo a la nacionalización de la industria cementera en Venezuela,2008-04-05,0.9517,Jornada,-0.5423
Intenta BM secuestrar el fondo ambiental,2008-04-05,0.0,Jornada,0.0
"El clima, más difícil que negociar un TLC",2008-04-05,-0.3612,Jornada,-0.4201
Defiende el embajador de Venezuela la nacionalización de la industria cementera,2008-04-05,-0.8979,Jornada,0.0
"CNBV: “dinámica perversa” de bancos, combinar pagos bajos con intereses altos",2008-04-05,0.9786,Jornada,-0.2023
Reducen el pronóstico de crecimiento en AL,2008-04-05,0.1779,Jornada,0.3818
Destacan ventajas e inconvenientes de los medicamentos genéricos,2008-04-05,0.5106,Jornada,-0.0516
Anuncia la sección 22 protestas en el DF,2008-04-05,-0.5423,Jornada,-0.2263
Acepta el SITUAM levantar la huelga; posponen firma para hoy,2008-04-05,-0.1779,Jornada,-0.1531
"Democratizar el sindicato o entronizar a Gordillo, la disyuntiva: líderes del SNTE",2008-04-05,-0.9678,Jornada,-0.1779
Encuesta de académicos,2008-04-05,-0.6908,Jornada,0.0
"“Para la medicina ya no hay alma, sólo estados bioquímicos”",2008-04-05,-0.9814,Jornada,-0.296
"Del Ejército, el mérito por la captura de zetas y el decomiso de 6.2 mdd",2008-04-05,0.8176,Jornada,0.3818
Enfrentamiento en Veracruz entre militares y 2 presuntos delincuentes,2008-04-05,-0.9761,Jornada,-0.5719
Narcos piden orientación a obispos: CEM,2008-04-05,0.2023,Jornada,0.0
Avalan obispos que Pemex haga alianzas,2008-04-05,-0.1531,Jornada,0.0
Ya negoció la reforma el PRI: Bartlett,2008-04-05,0.5267,Jornada,0.0
Acción penal contra militares implicados en muerte de cuatro civiles en Sinaloa,2008-04-05,-0.886,Jornada,-0.5267
Hay disposición para una consulta técnica sobre modernización de Pemex: Mouriño,2008-04-05,0.7717,Jornada,0.0
Dos ex soldados ebrios ponen en jaque a policías de NL y matan a tres de ellos,2008-04-05,-0.3818,Jornada,-0.6908
Corresponde al pueblo de México decidir el destino de Pemex: OPEP,2008-04-05,-0.296,Jornada,0.0
"Ineficiente, el servicio profesional de carrera",2008-04-05,0.1027,Jornada,0.0
"Los recursos adicionales son para las nuevas obligaciones, defiende el IFE",2008-04-05,0.2732,Jornada,0.0
Piden pobladores destituir al edil de Izúcar de Matamoros,2008-04-05,-0.6249,Jornada,0.0
Indagan a 13 funcionarios de Veracruz por el caso de la indígena Ernestina,2008-04-05,-0.6908,Jornada,0.0
Insiste AMLO: habrá paro si intentan vender Pemex,2008-04-05,-0.9552,Jornada,-0.296
"En pleno auge del mercado, golpea a Pemex astringencia presupuestal",2008-04-05,0.8442,Jornada,-0.3612
Tras torturarlos condenaron a 2 reos que ayunan en Chiapas,2008-04-05,-0.9871,Jornada,-0.8807
Aceptan diputados del PRD reunirse con Kessel; los senadores todavía no deciden,2008-04-05,0.34,Jornada,0.3818
Quiere la Iglesia católica participar en la discusión sobre el aborto en la SCJN,2008-04-05,0.4404,Jornada,0.0
"Los casos de excesos, por la relación de grupos sociales con la cultura del narco",2008-04-05,0.7096,Jornada,0.0
Hay excedentes petroleros suficientes para pagar las refinerías requeridas: Sheinbaum,2008-04-05,-0.9274,Jornada,-0.1027
Lamenta Villa Rivera deceso de alumnos,2008-04-05,0.0,Jornada,-0.7506
En riesgo la producción agrícola si no hay reforma energética,2008-04-05,-0.5267,Jornada,-0.296
"Carstens: sin cambio en Pemex, más impuestos o menos gasto",2008-04-05,-0.9719,Jornada,-0.296
"Reforma energética, tema toral en consejo priísta",2008-04-05,-0.1027,Jornada,0.2732
Fijan en el PRD plazo definitivo para concluir el cómputo de la elección,2008-04-05,-0.9169,Jornada,0.2732
Ecatepenses paralizan obras de gasera,2008-04-05,-0.296,Jornada,0.0
Arrestan a defensora de mujeres y a líder campesino en Ciudad Juárez,2008-04-05,-0.5423,Jornada,-0.4019
El edil panista de Atizapán convierte en salón de fiestas área del palacio municipal,2008-04-05,-0.8957,Jornada,0.0
Cortan electricidad en 9 pozos de Chicoloapan,2008-04-05,0.7506,Jornada,-0.0258
"Once años de cárcel a ex jefe policiaco en Sinaloa, por asesinato de periodista",2008-04-05,-0.8689,Jornada,-0.6908
"Libre bajo fianza, profesor detenido ilegalmente por policías en Querétaro",2008-04-05,-0.1027,Jornada,0.0516
Declaran inexistente huelga en la Unison,2008-04-05,-0.296,Jornada,-0.4019
Localizan restos de una aeronave en NL,2008-04-05,0.0,Jornada,0.0
