article,pub_date,nltk_score,source,nltk_score_title
Should colleges care so much about ACT/SAT scores?,2008/11/06,0.9587,Chicago Tribune,0.4939
Struggle? Not in Rosemont,2008/11/06,0.9925,Chicago Tribune,-0.3182
1926-2008,2008/11/06,0.5574,Chicago Tribune,0.0
Obama's ripple effect,2008/11/06,0.9941,Chicago Tribune,0.0
Rahm Emanuel mulls chief of staff role in Barack Obama's administration,2008/11/06,0.9726,Chicago Tribune,0.0
AT&T slow in giving credit when due,2008/11/06,-0.9295,Chicago Tribune,0.6124
What would you call the First Puppy?,2008/11/06,0.787,Chicago Tribune,0.0
'High School' math lesson,2008/11/06,-0.296,Chicago Tribune,0.0
Freebies,2008/11/06,0.9873,Chicago Tribune,0.4215
What they wore,2008/11/06,0.6486,Chicago Tribune,0.0
The perfect presidential pooch,2008/11/06,0.9262,Chicago Tribune,0.5719
"OMG, it's totally JoBro overload",2008/11/06,0.7177,Chicago Tribune,-0.4173
On the download,2008/11/06,0.2023,Chicago Tribune,0.0
Celebs gush over Obama,2008/11/06,0.9913,Chicago Tribune,0.0
Missing Mac,2008/11/06,-0.5873,Chicago Tribune,-0.296
Teens can help 'Feed the Need',2008/11/06,0.9892,Chicago Tribune,0.4019
Struggling economy leaves Obama no grace period,2008/11/06,0.6868,Chicago Tribune,-0.296
Police seek man who crashed stolen car into storefront and took merchandise,2008/11/06,-0.4939,Chicago Tribune,-0.4939
Buzz Picks,2008/11/06,0.9839,Chicago Tribune,0.0
What's your personal style?,2008/11/06,0.9231,Chicago Tribune,0.0
"aye, aye caption",2008/11/06,0.9523,Chicago Tribune,0.0
You can still own a piece of history,2008/11/06,0.0,Chicago Tribune,0.0
watch dog,2008/11/06,0.7869,Chicago Tribune,0.0
Blagojevich says Obama replacement search under way,2008/11/06,0.9903,Chicago Tribune,0.0
Obamamania is kept in check,2008/11/06,0.8294,Chicago Tribune,0.0
Corrections & Clarifications,2008/11/06,0.0,Chicago Tribune,0.0
Correction,2008/11/06,0.0,Chicago Tribune,0.0
Nation & World,2008/11/06,-0.9877,Chicago Tribune,0.0
A real revolution,2008/11/06,0.9921,Chicago Tribune,0.0
Rise of the Phoenix,2008/11/06,-0.1531,Chicago Tribune,0.0
"Door smashed, TV stolen from Gurnee apartment",2008/11/06,-0.5267,Chicago Tribune,-0.4939
Hometown Hits,2008/11/06,0.977,Chicago Tribune,0.0
2 Do,2008/11/06,0.9552,Chicago Tribune,0.0
Election playas,2008/11/06,0.8225,Chicago Tribune,0.0
More airline fees,2008/11/06,-0.4215,Chicago Tribune,0.0
Quote,2008/11/06,0.0,Chicago Tribune,0.0
Downers Grove to make cuts,2008/11/06,-0.8142,Chicago Tribune,-0.296
whoville,2008/11/06,0.5719,Chicago Tribune,0.0
Advice for the happy couple,2008/11/06,0.9989,Chicago Tribune,0.5719
Give 'em a hand,2008/11/06,0.9777,Chicago Tribune,0.4939
Who succeeds Obama?,2008/11/06,0.9865,Chicago Tribune,0.4939
The Velvet Rope,2008/11/06,-0.4685,Chicago Tribune,0.0
U.s. Senate Results,2008/11/06,0.6908,Chicago Tribune,0.0
What Others Are Saying,2008/11/06,0.4939,Chicago Tribune,0.0
Chicago transplant Bell ready to rock,2008/11/06,0.9771,Chicago Tribune,0.3612
So Wrong,2008/11/06,-0.7468,Chicago Tribune,-0.5256
Potty talk,2008/11/06,0.9294,Chicago Tribune,0.0
The Week In Review,2008/11/06,0.4497,Chicago Tribune,0.0
Innocence lost,2008/11/06,-0.4795,Chicago Tribune,0.0772
Scholarshipcorner,2008/11/06,0.9726,Chicago Tribune,0.0
Papers leave mark on historic election,2008/11/06,0.9588,Chicago Tribune,-0.0516
Almanac,2008/11/06,-0.6808,Chicago Tribune,0.0
Presidential Vote Totals,2008/11/06,0.0,Chicago Tribune,0.0
Digit,2008/11/06,0.0772,Chicago Tribune,0.0
Immigrants elated by Obama,2008/11/06,0.9945,Chicago Tribune,0.6369
The chill is on -- so go get busy,2008/11/06,0.8445,Chicago Tribune,0.0
"Armed, masked man gets $600 in robbery at gas station",2008/11/06,-0.4404,Chicago Tribune,0.0
Presidential Results,2008/11/06,0.6908,Chicago Tribune,0.0
Masked man robs gas station of cash,2008/11/06,0.0772,Chicago Tribune,-0.4588
Chairwoman of Lake County Board looking for bipartisan approach after gains by Democrats,2008/11/06,0.5859,Chicago Tribune,0.34
Which politician went where?,2008/11/06,0.5803,Chicago Tribune,0.0
Mad for plaid,2008/11/06,0.0,Chicago Tribune,-0.4939
Obama unites immigrants,2008/11/06,0.994,Chicago Tribune,0.0
A risky rock-out,2008/11/06,0.8016,Chicago Tribune,-0.2023
Let's help 'our' Obama select his consiglieri,2008/11/06,0.9884,Chicago Tribune,0.4019
nation/world,2008/11/06,-0.9876,Chicago Tribune,0.0
Audacity of America uncovered,2008/11/06,0.9961,Chicago Tribune,0.0
Theater worker robbed of deposit,2008/11/06,-0.7096,Chicago Tribune,0.0
McCain focused on moving onward,2008/11/06,0.8088,Chicago Tribune,0.3818
"Fiddy's money, but his new reality show is not",2008/11/06,0.8321,Chicago Tribune,0.0
Channel flip-flops,2008/11/06,0.4753,Chicago Tribune,0.0
Several people arrested for celebratory gunfire,2008/11/06,-0.9761,Chicago Tribune,-0.4767
Halloween trick a home invasion,2008/11/06,-0.6249,Chicago Tribune,-0.0516
Obama's team players,2008/11/06,0.802,Chicago Tribune,0.0
Obama's cadre of advisers,2008/11/06,0.9858,Chicago Tribune,0.0
"1. Cheeseburger, cheeseburger, McDouble ...",2008/11/06,0.4515,Chicago Tribune,0.0
Man gets 3 years for molesting 11-year-old girl,2008/11/06,-0.9786,Chicago Tribune,-0.5859
whoville,2008/11/06,0.7187,Chicago Tribune,0.0
Obama's ripple effect,2008/11/06,0.9849,Chicago Tribune,0.0
"Big gains, shattered traditions",2008/11/06,0.9961,Chicago Tribune,-0.1779
No charges for man who dumped beer on restaurant employee,2008/11/06,-0.6004,Chicago Tribune,-0.7184
best bets,2008/11/06,0.9899,Chicago Tribune,0.6369
chicago,2008/11/06,-0.9975,Chicago Tribune,0.0
Weekend 2DO,2008/11/06,0.9836,Chicago Tribune,0.0
Mashstar Of The Week,2008/11/06,0.9638,Chicago Tribune,0.0
All eyes on Chicago,2008/11/06,0.9936,Chicago Tribune,0.0
'Transportation coaches' hope to embolden bike riders in suburbs,2008/11/06,0.9937,Chicago Tribune,0.4404
Scarcity of booze helped Obama rally flow,2008/11/06,0.9791,Chicago Tribune,0.0
Through the lens of Tribune photographers,2008/11/06,0.6862,Chicago Tribune,0.0
Star gazer,2008/11/06,0.9525,Chicago Tribune,0.0
Who let the Orcs out?,2008/11/06,0.091,Chicago Tribune,0.0
Counter point,2008/11/06,0.9985,Chicago Tribune,0.0
In Other Celebrity News,2008/11/06,-0.6505,Chicago Tribune,0.0
U.S. probes Afghan airstrike,2008/11/06,-0.9848,Chicago Tribune,0.0
Obama girls to get a puppy,2008/11/06,0.984,Chicago Tribune,0.0
Learning curve swerves,2008/11/06,0.7263,Chicago Tribune,0.0
Midwest ski towns offer plenty of advantages,2008/11/06,0.9576,Chicago Tribune,0.3612
Voters' message to GOP: Change,2008/11/06,0.9969,Chicago Tribune,0.0
From presidents to 'Pulp Fiction',2008/11/06,0.7184,Chicago Tribune,0.0
"2 women charged after leaving 2 boys alone in car, police say",2008/11/06,-0.8316,Chicago Tribune,-0.4215
Ray Ellis 1923-2008,2008/11/06,0.9628,Chicago Tribune,0.0
Oprah: World's best agent?,2008/11/06,0.9854,Chicago Tribune,0.6369
Space chase,2008/11/06,-0.9945,Chicago Tribune,0.0
"Sara Lee tops forecasts, but overseas a worry",2008/11/06,0.9887,Chicago Tribune,-0.4019
The Legend returns,2008/11/06,-0.1027,Chicago Tribune,0.0
Scandalous!,2008/11/06,-0.8071,Chicago Tribune,-0.5707
Alleged paddlings leads to coaches' ouster,2008/11/06,-0.9829,Chicago Tribune,0.0
"On historic night, homage to a witness to history",2008/11/06,0.8287,Chicago Tribune,0.0
Cps Athlete Of The Week,2008/11/06,0.9949,Chicago Tribune,0.0
Shoutouts,2008/11/06,0.9663,Chicago Tribune,0.0
Democrats add to presence on McHenry County Board,2008/11/06,0.891,Chicago Tribune,0.0
Man is charged in police chase,2008/11/06,-0.9313,Chicago Tribune,-0.2023
3 stabbed after Halloween party,2008/11/06,-0.8658,Chicago Tribune,-0.0516
Tired of paying too MUNCH? then Bite back!,2008/11/06,0.9971,Chicago Tribune,-0.4926
"Man shot, killed in home invasion",2008/11/06,-0.8886,Chicago Tribune,-0.6705
Film tells story of Holocaust from boys' view,2008/11/06,0.9946,Chicago Tribune,0.0
Pride for Barack Obama overflows in Kenya,2008/11/06,0.9945,Chicago Tribune,0.34
Rodney C. Roemer 1927-2008,2008/11/06,0.9477,Chicago Tribune,0.0
"Some students, parents push for Arabic classes",2008/11/06,0.4749,Chicago Tribune,0.0
Fashion sense,2008/11/06,0.6486,Chicago Tribune,0.0
Party might not be over for Dems,2008/11/06,0.9829,Chicago Tribune,0.4019
On top of the world,2008/11/06,0.9958,Chicago Tribune,0.2023
"Chicago man charged with robbing Lisle bank also suspected in Plainfield heist, FBI says",2008/11/06,-0.8481,Chicago Tribune,-0.4019
