article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Almost 300,000 jobs were lost on the northern border",2009-04-09,0.0258,Jornada,-0.3182
La Jornada: More than half the global EAP works without benefits: OECD,2009-04-09,0.0,Jornada,-0.2924
"La Jornada: Every cent to revalue the peso has cost more than 10 million dollars, from March to April",2009-04-09,-0.25,Jornada,0.0
La Jornada: Low influx at airports of tourist destinations: OMA,2009-04-09,0.0,Jornada,-0.2732
La Jornada: Crash in excess of 1.9 trillion pesos in the value of companies listed on the BMV,2009-04-09,0.4939,Jornada,-0.0772
La Jornada: European governments to bail out banks with € 3 trillion,2009-04-09,-0.6808,Jornada,0.0
La Jornada: Up 50 cents in a year the price of the tortilla in the super,2009-04-09,0.8979,Jornada,0.5994
La Jornada: IPN develops a variety of drought resistant beans,2009-04-09,-0.836,Jornada,0.0
La Jornada: Successful trial of prostate cancer drug,2009-04-09,-0.7717,Jornada,-0.1531
La Jornada: The Aperture Foundation will bring its cultural offer to the country,2009-04-09,-0.4939,Jornada,0.0
La Jornada: Highlight the importance of looking after others without discrimination,2009-04-09,0.2263,Jornada,0.5994
"La Jornada: Magris, transient of the boundaries between literature and philosophy, turns 70",2009-04-09,-0.4588,Jornada,0.0
La Jornada: Emergency intervention in the Baths of Caracalla,2009-04-09,0.0,Jornada,-0.3818
"La Jornada: Collect in a book the newspaper articles of the author, written for the newspaper Corriere della Sera",2009-04-09,-0.3612,Jornada,0.0
La Jornada: José Antonio Abreu received a tribute at the OAS,2009-04-09,0.0,Jornada,0.0
La Jornada: Torreblanca will not go to Congress to inform,2009-04-09,0.0,Jornada,0.0
La Jornada: Environmental contingency in Juárez after series of fires,2009-04-09,-0.34,Jornada,0.0
La Jornada: Three people die due to aircraft crash,2009-04-09,0.34,Jornada,-0.765
La Jornada: Will use the Edomex alternative sources of supply before the water cut,2009-04-09,0.8625,Jornada,-0.2732
"La Jornada: PSD and PVEM, against law that prohibits abortion",2009-04-09,0.0,Jornada,0.0
La Jornada: 6 detainees to be released in Chiapas,2009-04-09,-0.6486,Jornada,0.0
La Jornada: Work stoppage of police in Morelos,2009-04-09,0.3818,Jornada,0.0
La Jornada: Construction workers in Queretaro halt demanding payment of wages,2009-04-09,-0.6597,Jornada,-0.2263
"La Jornada: Only the murderer of Bucio Rodríguez acted, says the prosecutor",2009-04-09,0.34,Jornada,-0.6808
La Jornada: Police officers attack inhabitants of the sierra poblana and journalists,2009-04-09,-0.8834,Jornada,-0.4767
La Jornada: APPO demands to clarify the death of the activist Beatriz López Leyva,2009-04-09,-0.9118,Jornada,-0.5994
"La Jornada: NL: Tatiana Clouthier, Honeycomb candidate",2009-04-09,0.4019,Jornada,0.0
La Jornada: TEPJF revokes reform in Aguascalientes,2009-04-09,0.0,Jornada,0.0
"La Jornada: Viola PFP autonomy of Zimapán, affirm",2009-04-09,-0.91,Jornada,0.0
La Jornada: La Ssa tries to achieve this year the regulation of the anti-smoking law,2009-04-09,-0.6597,Jornada,0.0
"La Jornada: Women without access to formal education, 66% of the illiterate in the world",2009-04-09,-0.9413,Jornada,0.0
La Jornada: FAO Recommends Bioenergy Production to Developing Countries,2009-04-09,0.4019,Jornada,0.2263
La Jornada: US diaries call parasites to websites,2009-04-09,-0.7579,Jornada,0.0
La Jornada: France: scramble for closure of companies,2009-04-09,-0.8658,Jornada,0.0
La Jornada: SSA admits that 33% of its hospitals are in risk zone,2009-04-09,-0.9217,Jornada,0.0258
"La Jornada: Facebook, 200 million users",2009-04-09,0.0,Jornada,0.0
La Jornada: Chiapas and Quintana Roo face the most serious lags in higher education,2009-04-09,0.0,Jornada,-0.5222
La Jornada: Exhort to avoid forest fires,2009-04-09,-0.8934,Jornada,-0.296
La Jornada: Bolivia to seek Alba's support against US embargo on Cuba,2009-04-09,0.7906,Jornada,0.4019
La Jornada: Negotiations on the constitutional transition law in Bolivia,2009-04-09,0.8442,Jornada,0.0
La Jornada: US plane without pilot kills three,2009-04-09,-0.7269,Jornada,0.431
La Jornada: US boat crew repels pirate attack and regains control of ship,2009-04-09,-0.1779,Jornada,-0.4767
La Jornada: Brazilian court orders new trial of 2 defendants to murder a nun,2009-04-09,-0.8442,Jornada,-0.6908
La Jornada: Old man shoots a religious center in LA,2009-04-09,-0.34,Jornada,0.0
La Jornada: Investigate coup attempt in Moldova,2009-04-09,0.0,Jornada,0.0
La Jornada: Published in US photo of a soldier's casket,2009-04-09,0.0,Jornada,0.0
"La Jornada: Berlusconi calls on people not to return to their homes and spend ""a camping weekend""",2009-04-09,-0.872,Jornada,0.0
La Jornada: Thousands demand the resignation of the Prime Minister of Thailand,2009-04-09,-0.8402,Jornada,-0.4019
The Day: Washington must take the initiative to improve the relationship: Fidel Castro,2009-04-09,-0.5267,Jornada,0.4404
La Jornada: Six world powers to invite Iran to talks on its nuclear program,2009-04-09,-0.3182,Jornada,0.1531
La Jornada: The extradition of El Vicentillo is halted; A judge grants provisional protection,2009-04-09,0.34,Jornada,0.2263
La Jornada: PSD campaigning on motorways,2009-04-09,0.296,Jornada,0.0
La Jornada: Police convoy ambushed in Guerrero; Three wounded agents,2009-04-09,-0.9042,Jornada,0.0
"La Jornada: The union of the IMSS, at risk of being under the orders of Panismo",2009-04-09,0.4019,Jornada,-0.2732
"The Journey: Insufficient, that Jiménez leave the Lottery; Must be investigated: politicians and legislators",2009-04-09,-0.7579,Jornada,-0.0516
"La Jornada: Unemployment hits not only workers, but professionals, reveals STPS report",2009-04-09,-0.743,Jornada,-0.2382
"La Jornada: Congress, parties and Court, omissions in the defense of rights: Shell",2009-04-09,0.7579,Jornada,0.4939
"La Jornada: Without sustenance, US version that Mexico will participate in joint naval maneuvers",2009-04-09,-0.7783,Jornada,0.0
La Jornada: Looking to end unemployment in Postgraduates,2009-04-09,-0.6705,Jornada,-0.4404
"La Jornada: Thanks to the PRI, Calderón was able to take possession, senators say",2009-04-09,-0.6124,Jornada,0.4404
La Jornada: AN asks the PRI to present a complaint against itself to the IFE,2009-04-09,0.1779,Jornada,-0.296
La Jornada: It is not time to give radio and tv to the churches,2009-04-09,-0.5267,Jornada,0.0
"The Journey: Jiménez Godínez leaves Lottery; Is a temporary measure, clarifies",2009-04-09,-0.7717,Jornada,0.2263
La Jornada: Majestic tourist destinations are located in the jungle of Chiapas,2009-04-09,0.0258,Jornada,0.0
La Jornada: Migrants march marches in US for May,2009-04-09,0.0,Jornada,0.0
La Jornada: 21 gunmen arrested in the Sinaloa cartel,2009-04-09,0.5423,Jornada,-0.4767
La Jornada: Meetings between Mexican and Guatemalan legislators will resume in May,2009-04-09,0.6808,Jornada,0.0
La Jornada: Gordillo's political jealousy marked the fate of Jiménez,2009-04-09,-0.8658,Jornada,-0.3182
La Jornada: Different SFP and ASF reports on administrative irregularities,2009-04-09,-0.4939,Jornada,0.0
"La Jornada: Liconsa will pay the lowest price of milk to 10,000 producers",2009-04-09,-0.296,Jornada,-0.4588
La Jornada: The repatriation of the Frenchwoman Florence Cassez,2009-04-09,-0.8807,Jornada,0.0
La Jornada: Revokes the TEPJF resolution of the IFE to sanction Azteca Television,2009-04-09,-0.4939,Jornada,0.0
La Jornada: The corpses of the two missing Euphorists were found in 2007,2009-04-09,-0.7351,Jornada,-0.296
