article,pub_date,nltk_score,source,nltk_score_title
California Firm Split Fees With Figure in N.Y. Pension Scandal,2009/04/22,0.994,ProPublica,-0.4404
Big Banks Ramp Up Mortgage Mod Program,2009/04/22,0.983,ProPublica,0.0
Morning Cup: Mother Stimulus Helps Mother Nature,2009/04/22,-0.2111,ProPublica,0.3818
Bailout for Breakfast: Lobbying The Hand That Feeds You,2009/04/22,0.9022,ProPublica,0.3612
A Stimulating Dialogue between Michael Grabell & Steve Coll,2009/04/22,0.83,ProPublica,0.4404
"Dozens of Prisoners Held by CIA Still Missing, Fates Unknown",2009/04/22,-0.9965,ProPublica,-0.6705
List of Likely CIA Prisoners Who Are Still Missing,2009/04/22,-0.9958,ProPublica,-0.6705
AIG Faces Inquiry Over Medical Care for U.S. Contractors,2009/04/22,-0.9426,ProPublica,0.4939
Colorado Study Links Methane in Water to Drilling,2009/04/22,0.9908,ProPublica,0.0
Have You Been Affected by Energy Development?,2009/04/22,0.8452,ProPublica,0.128
