article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Aprueba el Senado dictamen sobre reformas a la Ley de Amparo,2009-12-08,0.8625,Jornada,0.4019
La Jornada: El gremio se deslinda de los apagones ocurridos en parte de Hidalgo y Puebla,2009-12-08,0.2732,Jornada,0.0
La Jornada: Emprende Nava ajustes en el PAN para los comicios de 2010,2009-12-08,-0.4939,Jornada,0.0
La Jornada: Aumentan las condiciones para crear más olas de violencia: De la Fuente,2009-12-08,-0.8591,Jornada,-0.2415
La Jornada: Hacienda hace oficial el presupuesto,2009-12-08,0.3818,Jornada,0.0
La Jornada: Mandatarios se comprometen a no usar recursos para coaccionar el voto,2009-12-08,0.34,Jornada,0.296
La Jornada: Extiende el IMSS cobertura por un año a ex trabajadores de LFC,2009-12-08,0.3182,Jornada,0.128
La Jornada: Corte: en riesgo el orden social si no se atienden reclamos,2009-12-08,0.8807,Jornada,-0.7184
La Jornada: Tendrá periódico mensual el movimiento de AMLO para romper el bloqueo,2009-12-08,0.1779,Jornada,0.0
La Jornada: Piden en Bucareli poner fin a huelga de hambre,2009-12-08,-0.7184,Jornada,-0.4588
La Jornada: Incumple Adame orden judicial,2009-12-08,-0.25,Jornada,0.0
"La Jornada: El Infonavit, en riesgo de descapitalizarse si pasan aportaciones a subcuenta de retiro",2009-12-08,-0.8176,Jornada,-0.2732
La Jornada: Fusilan a cuatro hombres en Ciudad Juárez y les propinan tiro de gracia,2009-12-08,-0.4019,Jornada,-0.5574
La Jornada: Un viaje al corazón del México Profundo II,2009-12-08,-0.9904,Jornada,0.0
La Jornada: Descarta la Canitec que se liciten este año dos hilos de fibra oscura de CFE,2009-12-08,-0.3818,Jornada,-0.128
"La Jornada: Mantener la paz social en el sector rural, prioridad de la SRA para 2010: Escobar",2009-12-08,0.7906,Jornada,0.5423
La Jornada: Quito debe permanecer al margen en el caso Morett,2009-12-08,0.0,Jornada,0.0
La Jornada: Nueva acometida de Espino contra Calderón,2009-12-08,-0.9485,Jornada,-0.4767
La Jornada: Acuerda la Conago impulsar otra convención hacendaria,2009-12-08,-0.7351,Jornada,0.5267
La Jornada: Posponen a febrero discusión de dictamen sobre refrendos automáticos de radio y tv,2009-12-08,-0.9337,Jornada,0.3182
La Jornada: El SME demanda que Gobernación se abra a alternativas de solución del conflicto,2009-12-08,-0.6705,Jornada,-0.1531
"La Jornada: Primero, a la Basílica de Guadalupe",2009-12-08,0.0,Jornada,0.0
La Jornada: Michaelle Jean no puso fecha para eliminar visa a mexicanos,2009-12-08,-0.5423,Jornada,0.0
La Jornada: Defiende Valdés la credencial para votar,2009-12-08,-0.4939,Jornada,0.0
La Jornada: José Narro y Enrique Villa se reúnen con senadores para analizar intermediación,2009-12-08,-0.9313,Jornada,0.0
La Jornada: Comparece hoy un primer grupo de los 38 candidatos a encabezar la ASF,2009-12-08,-0.9578,Jornada,0.0
La Jornada: Israel asiste a la SSP en la lucha anticrimen,2009-12-08,0.5859,Jornada,-0.3818
"La Jornada: Virus felino contribuye a que el VIH se reproduzca en las células humanas, dice estudio",2009-12-08,0.5267,Jornada,0.0
La Jornada: El nivel del mar podría subir tres veces más rápido de lo previsto,2009-12-08,-0.296,Jornada,0.0
La Jornada: Falla cromosómica puede causar cáncer,2009-12-08,0.0,Jornada,-0.8271
La Jornada: Fármaco de Onyx actúa contra el mieloma,2009-12-08,0.0,Jornada,0.0
"La Jornada: Treanda, mejor contra el linfoma no Hodgkin",2009-12-08,-0.8316,Jornada,0.4404
La Jornada: Digitalizan los primeros 5 mil 187 trabajos del caudal artístico de El Chango Cabral,2009-12-08,-0.765,Jornada,-0.6249
La Jornada: Fundación Jumex tendrá nueva sede,2009-12-08,-0.0516,Jornada,0.0
La Jornada: Richard Wright gana el Premio Turner,2009-12-08,0.6249,Jornada,0.7906
La Jornada: Herta Müller disertó sobre la opresión en una dictadura,2009-12-08,0.0,Jornada,0.0
La Jornada: Propone experto hacer ciencia mediante la corresponsabilidad,2009-12-08,-0.8591,Jornada,0.0
La Jornada: Científicos atajan críticas al abrir cumbre sobre cambio climático,2009-12-08,0.7717,Jornada,-0.6124
"La Jornada: Hay mexicanos tan pobres que no pueden emigrar, expresa el Conapo",2009-12-08,-0.4404,Jornada,-0.6113
La Jornada: Cesan a funcionarios que arruinaron 2 mil 670 vacunas contra la gripe A en Colima,2009-12-08,-0.8934,Jornada,-0.4767
La Jornada: Rechaza la Ssa afirmaciones de subsecretario,2009-12-08,-0.1779,Jornada,-0.4939
"La Jornada: Auténtico, el cráneo de Hitler, dice la ex KGB",2009-12-08,-0.5267,Jornada,0.0
La Jornada: Propone la CNTE plan de educación alternativo a la escuela neoliberal,2009-12-08,-0.2315,Jornada,0.0
La Jornada: Gobernación solicitó la instalación de una capilla en el aeropuerto capitalino,2009-12-08,-0.5267,Jornada,0.0
La Jornada: Denuncian reparto partidista de ayuda,2009-12-08,0.0258,Jornada,-0.4404
La Jornada: Aclaración del centro Fray Bartolomé de las Casas,2009-12-08,0.5423,Jornada,0.0
La Jornada: Tres muertos por el frío,2009-12-08,-0.4767,Jornada,-0.6705
La Jornada: Negocian tlapanecos en disputa por tierras,2009-12-08,0.0,Jornada,-0.4019
La Jornada: Exigen frenar contaminación de ladrilleras,2009-12-08,-0.6369,Jornada,-0.128
La Jornada: Anomalías menores en relleno de playas en QR,2009-12-08,-0.6808,Jornada,0.0
La Jornada: Clausuran autoridades de Chiapas mina de Blackfire,2009-12-08,-0.6808,Jornada,0.0
"La Jornada: Al corralón, 800 vehículos de pasajeros",2009-12-08,-0.4404,Jornada,0.0
La Jornada: Golpean a dos dirigentes de AN en Durango,2009-12-08,0.0,Jornada,-0.4215
La Jornada: Disfraza Peña Nieto gasto en imagen: PRD,2009-12-08,0.0,Jornada,0.0
"La Jornada: Sin permisos, templo que se desplomó",2009-12-08,0.0,Jornada,-0.2732
"La Jornada: Habrá concejo en Tancítaro, dicen diputados",2009-12-08,0.4019,Jornada,0.0
La Jornada: Se inicia peritaje internacional en la guardería ABC de Hermosillo,2009-12-08,0.25,Jornada,0.0
La Jornada: Opinión,2009-12-08,-0.9572,Jornada,0.0
La Jornada: Procesan a 6 involucrados en el envenenamiento del ex presidente chileno Eduardo Frei Montalva,2009-12-08,-0.886,Jornada,-0.5859
"La Jornada: Felicitaciones de gobiernos de EU, AL y Europa",2009-12-08,-0.296,Jornada,0.5994
La Jornada: Tres atentados en Pakistán; 43 muertos,2009-12-08,-0.296,Jornada,-0.802
La Jornada: Evo Morales ofrece dialogar con la oposición en el Congreso,2009-12-08,0.2263,Jornada,0.0
"La Jornada: Al menos 40 linchados en Guatemala, este año",2009-12-08,0.0,Jornada,0.0
La Jornada: Brasil y Venezuela reiteran su negativa a reconocer a Lobo como presidente hondureño,2009-12-08,-0.9485,Jornada,0.0
La Jornada: Paraguay compensa a víctimas de dictadura,2009-12-08,-0.296,Jornada,-0.3182
La Jornada: Cuba rompió este año con 50 compañías de Europa y AL,2009-12-08,-0.5719,Jornada,-0.4215
La Jornada: Opositores de Mahmud Ahmadinejad desafían prohibición y vuelven a protestar en las calles,2009-12-08,0.0,Jornada,-0.25
La Jornada: Falla seguridad en la Casa Blanca desde 1980,2009-12-08,0.5859,Jornada,-0.1027
La Jornada: Jefe militar de EU visita bases en Colombia,2009-12-08,0.7506,Jornada,0.0
La Jornada: Marines partirán a Afganistán a fin de mes,2009-12-08,0.0,Jornada,-0.0516
La Jornada: Problemas de forma y fondo impiden un nuevo pacto de desarme nuclear Rusia-EU,2009-12-08,0.9136,Jornada,-0.4019
La Jornada: Siguen los disturbios en Atenas,2009-12-08,0.0,Jornada,-0.5106
La Jornada: OIT: la crisis arrojó al desempleo a 20 millones de personas en un año,2009-12-08,-0.836,Jornada,-0.7906
La Jornada: La CNBV amplía investigación de empresas por prácticas ilícitas,2009-12-08,0.1027,Jornada,-0.4767
