article,pub_date,nltk_score,source,nltk_score_title
Divide a legisladores propuesta de legalizar el consumo de mariguana,2009-02-13,-0.2732,Jornada,0.0
De 2007 a la fecha el número de pobres se ha incrementado en 113 millones: FAO,2009-02-13,-0.9825,Jornada,-0.1779
"Suprimir monopolios, plantea AN en su plataforma electoral",2009-02-13,-0.6705,Jornada,0.0
Ataque con granada a grupo de militares y policías de Michoacán deja ocho heridos,2009-02-13,0.8658,Jornada,-0.4767
"Aunque EU tiene un infarto, con unidad México superará la crisis, según Calderón",2009-02-13,-0.93,Jornada,-0.802
Propone el Celam nuevo orden mundial ante la gravedad de la crisis económica,2009-02-13,0.128,Jornada,-0.6486
"Luis Téllez: la grabación es real; la declaración sobre Salinas, “indebida”",2009-02-13,-0.5267,Jornada,0.0
Arraigan a jefe policiaco involucrado en ejecución del general Tello,2009-02-13,-0.2732,Jornada,0.0
Buscan que el Infonavit sea autónomo,2009-02-13,-0.6124,Jornada,0.0
"Ampliar investigaciones, penoso colofón de la Corte sobre Atenco",2009-02-13,0.6275,Jornada,-0.1531
Decomisan en Colima 74 kilos de cocaína,2009-02-13,0.0,Jornada,0.0
"Sin aterrizar, los planes anticrisis",2009-02-13,-0.2732,Jornada,0.0
Presiones y desencuentros marcaron las negociaciones televisoras-instituto,2009-02-13,0.9001,Jornada,-0.6249
"Antiobrera, la propuesta de reforma laboral",2009-02-13,-0.8271,Jornada,0.0
Comienzan las obras del libramiento de Villahermosa; tendrá 39 puentes,2009-02-13,0.0,Jornada,0.0
AMLO censura la apatía del Ejecutivo,2009-02-13,-0.9864,Jornada,-0.5267
Detienen en el Edomex a 10 miembros del cártel de los Beltrán Leyva,2009-02-13,-0.5994,Jornada,-0.4019
"El ministro Aguirre, pozolero de la justicia: epitafio de atenquenses",2009-02-13,0.5994,Jornada,0.5267
Legisladores de PRD y PRI exigen que renuncie para abrir indagatoria,2009-02-13,-0.9814,Jornada,-0.4404
"“Salinas se robó la mitad de la cuenta secreta”, dice Téllez en llamada telefónica",2009-02-13,-0.5106,Jornada,0.0
"Sagarpa: agro y pesca, los sectores menos afectados por el entorno adverso",2009-02-13,-0.4404,Jornada,-0.2631
Vividores se colaron en el blanquiazul: Servitje,2009-02-13,-0.0516,Jornada,0.0
Renovará el Cisen sus equipos de inteligencia y de servicios,2009-02-13,0.6124,Jornada,0.4767
Se perfila multa de $11 millones a Televisa y Tv Azteca por “manipulación” de espots,2009-02-13,0.886,Jornada,0.2023
Presos de La Voz del Amate denuncian agresión de custodios,2009-02-13,-0.6249,Jornada,-0.7845
"Vergonzosa decisión de la SCJN, sostiene la senadora Rosario Ibarra",2009-02-13,-0.6908,Jornada,-0.4939
Desastre en Búfalo,2009-02-13,-0.0516,Jornada,-0.6249
"Inhabilitan a 20 sacerdotes en el DF por pederastas, asegura arzobispo",2009-02-13,-0.9643,Jornada,-0.4215
Inicia Imjuve en el Zócalo campaña contra la violencia en el noviazgo,2009-02-13,-0.9935,Jornada,-0.6249
Gobierno de Chile cuestiona petición de asilo en Suiza de niña mapuche,2009-02-13,-0.9538,Jornada,0.0
"El PAN, en campaña desde 2005 contra la píldora de emergencia",2009-02-13,-0.9584,Jornada,-0.3818
"En la ACE, las propuestas para mejorar el sector: SEP",2009-02-13,0.0258,Jornada,0.4404
"Bachilleratos, obligados a entrar a sistema nacional",2009-02-13,0.4404,Jornada,-0.4588
"En Mazatlán, recibos de luz hasta de $7 mil",2009-02-13,0.0,Jornada,0.0
"En dos años, 293 salvadoreños han muerto o desaparecido en México",2009-02-13,-0.9325,Jornada,-0.6705
Entre la miseria y la zozobra,2009-02-13,-0.8591,Jornada,-0.6597
Indaga CEDH muerte de hijo de jornaleros,2009-02-13,-0.9451,Jornada,-0.5994
"Se retrasarán obras de infraestructura por falta de financiamiento, reconoce Peña Nieto",2009-02-13,-0.4019,Jornada,-0.4939
Denuncian venta de plazas en Tamaulipas,2009-02-13,0.0,Jornada,-0.34
Reducirán castigo al robo en Aguascalientes,2009-02-13,-0.0258,Jornada,-0.4939
Acusan a soldados de detención ilegal,2009-02-13,0.0,Jornada,-0.5994
Cuarto día de protestas contra los operativos militares en Monterrey,2009-02-13,0.34,Jornada,-0.2263
El PAN defiende su proceso interno en NL,2009-02-13,0.1027,Jornada,0.0
Precandidato priísta de Durango niega fraude,2009-02-13,-0.7184,Jornada,-0.5859
Piden más dinero para elecciones en Morelos,2009-02-13,0.4019,Jornada,0.0
"Impune, inmobiliaria que dejó sin terminar casas en Edomex",2009-02-13,-0.9485,Jornada,0.0
Hostigan a estudiantes de arte en Jalisco,2009-02-13,-0.7845,Jornada,0.0
Tabasco: ex procurador dice que lo persiguen,2009-02-13,-0.0258,Jornada,0.0
Rinden tributo en la UNAM a Margarita Peña,2009-02-13,0.0,Jornada,-0.1027
"Leonora Carrington es el surrealismo; crea “algo más real que la realidad”, dijo Poniatowska",2009-02-13,-0.296,Jornada,0.2732
Fallan premios literarios Casa de las Américas,2009-02-13,0.5574,Jornada,-0.128
La incertidumbre por la crisis mundial envuelve el comienzo de la Feria Arco,2009-02-13,-0.6808,Jornada,-0.6369
"Cancelar show mediático, reclamo generalizado en el paro nacional",2009-02-13,-0.9118,Jornada,-0.5994
Hace 80 años se publicó Doña Bárbara,2009-02-13,0.6369,Jornada,0.0
Vasta oferta de casi 900 actividades en la feria del libro del Palacio de Minería,2009-02-13,-0.2732,Jornada,0.3182
"Jaime Sabines, homenaje a 10 años de su muerte",2009-02-13,-0.5859,Jornada,-0.5994
Fidel Castro recibe a Michelle Bachelet,2009-02-13,-0.0516,Jornada,0.4019
Denuncian que las FARC asesinaron a otros 10 indígenas colombianos,2009-02-13,0.6908,Jornada,-0.7783
"La crisis, “principal amenaza” a la seguridad nacional: inteligencia de EU",2009-02-13,0.8779,Jornada,-0.4588
"“No me van a fallar el domingo”, afirma Hugo Chávez en acto de campaña en favor del sí",2009-02-13,-0.5106,Jornada,0.6757
Cooperación antinarco de Washington y La Habana,2009-02-13,0.6705,Jornada,0.0
Bolivia: ordenan detención de ex jefe de YPFB por caso de corrupción,2009-02-13,0.1027,Jornada,-0.34
