article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Productores rurales argentinos ocupan banco; protestan por altas tasas crediticias,2009-02-24,0.7351,Jornada,-0.25
La Jornada: Plagiarios matan a funcionario del ACNUR,2009-02-24,-0.7269,Jornada,-0.6908
La Jornada: Campesinos invaden terrenos en Brasil,2009-02-24,0.0,Jornada,0.0
La Jornada: Renuncia el ministro de Justicia español tras una serie de escándalos,2009-02-24,-0.3612,Jornada,-0.2732
"La Jornada: El embargo a Cuba, un fracaso, afirma el senador republicano Lugar",2009-02-24,0.743,Jornada,-0.5106
"La Jornada: Ex militar salvadoreño, acusado de fraude",2009-02-24,-0.9325,Jornada,-0.7184
La Jornada: Uribe niega haber ordenado espionaje,2009-02-24,0.0,Jornada,-0.4215
La Jornada: Más de mil mdd para reconstruir Gaza,2009-02-24,0.0,Jornada,0.0
La Jornada: Norcorea despliega misiles: informe privado,2009-02-24,0.4019,Jornada,0.0
La Jornada: Inspecciona el procurador estadunidense las condiciones de vida en Guantánamo,2009-02-24,-0.2263,Jornada,0.0
La Jornada: Fidel Castro mantiene presencia política pese a su retiro de la actividad pública por enfermedad,2009-02-24,-0.128,Jornada,-0.4019
La Jornada: Exigen aclarar muertes de 13 niños y jóvenes en BC; sospechan infección,2009-02-24,0.0,Jornada,-0.4019
La Jornada: Fracasa en Campeche unión Convergencia-PT,2009-02-24,0.0,Jornada,-0.5106
La Jornada: Aplaza pago de sueldos el PRI-Aguascalientes,2009-02-24,-0.296,Jornada,0.0
La Jornada: Evaden impuesto ambiental en Edomex,2009-02-24,0.3182,Jornada,0.0
La Jornada: Panistas culpan a Bours por deuda,2009-02-24,-0.296,Jornada,-0.5994
La Jornada: Opinión,2009-02-24,-0.9572,Jornada,0.0
La Jornada: Proveedores denuncian corrupción en Ecatepec,2009-02-24,0.5719,Jornada,-0.34
La Jornada: Denuncian a ex presidente del Congreso de Chiapas,2009-02-24,-0.8625,Jornada,0.0
La Jornada: Mata un rayo a dos indígenas en Guerrero,2009-02-24,0.0516,Jornada,-0.3612
La Jornada: Denuncian vejaciones de agentes en Mérida,2009-02-24,-0.8555,Jornada,-0.7506
"La Jornada: Sosa Govea, candidata del PAN en Colima",2009-02-24,0.0,Jornada,0.0
"La Jornada: Los abusos de policías, errores: Reynoso Femat",2009-02-24,0.0,Jornada,-0.7184
La Jornada: Renuncia el procurador de Guanajuato; buscará ser candidato del PAN a alcalde,2009-02-24,0.7783,Jornada,-0.3182
La Jornada: Financia el Congreso queretano costoso viaje,2009-02-24,0.0,Jornada,0.0
La Jornada: Señalan parálisis en el Poder Judicial de BCS,2009-02-24,0.0,Jornada,0.0
La Jornada: Pobres se apoderan de casas en Tultitlán,2009-02-24,0.0,Jornada,-0.4767
La Jornada: Roba grupo armado 40 toneladas de frijol de una bodega en Sinaloa,2009-02-24,0.1119,Jornada,-0.5106
La Jornada: Miles de maestros exigen destituir al titular de Educación de Puebla,2009-02-24,-0.3818,Jornada,-0.128
