article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Reitera Evo Morales acusación contra la CIA,2009-02-27,0.8176,Jornada,-0.25
La Jornada: Exiliados y académicos piden fin al embargo,2009-02-27,0.0,Jornada,0.0
"La Jornada: Venezuela, Bolivia y China rechazan informe de Estados Unidos sobre derechos humanos",2009-02-27,0.0,Jornada,-0.4019
La Jornada: Acepta Raúl Castro oferta de Sarkozy para revitalizar la relación con la UE,2009-02-27,0.1779,Jornada,0.3182
La Jornada: Pactan Fatah y Hamas negociar un gobierno de unidad palestina,2009-02-27,0.34,Jornada,0.0
"La Jornada: Redoblará la CIA vigilancia a países que, por la crisis, amenazan la seguridad de EU",2009-02-27,0.9595,Jornada,-0.5574
"La Jornada: Las escuchas telefónicas, sólo con aval judicial, anuncia el presidente Álvaro Uribe",2009-02-27,0.7845,Jornada,0.4767
La Jornada: Argentina repudia informe de la CIA que le augura inestabilidad,2009-02-27,0.1531,Jornada,0.0
La Jornada: Admite GB su participación en la captura y entrega a EU de sospechosos de terrorismo,2009-02-27,-0.7184,Jornada,-0.7003
La Jornada: Absuelve el Tribunal Penal Internacional al ex presidente serbio Milan Milutinovic,2009-02-27,-0.9607,Jornada,-0.34
La Jornada: Anuncia Profepa más clausuras en Huatulco,2009-02-27,0.0,Jornada,0.0
La Jornada: Exigen liberar a 5 miembros de la OPIM acusados de homicidio,2009-02-27,-0.5719,Jornada,-0.4019
La Jornada: Impugnan al ombudsman en su informe,2009-02-27,-0.7269,Jornada,-0.1027
La Jornada: Evade Puerto Progreso impuesto sobre nómina,2009-02-27,0.0,Jornada,0.0
La Jornada: Clausuran laboratorio clandestino en Nayarit,2009-02-27,0.0,Jornada,0.0
La Jornada: Piden agentes oaxaqueños bono y armas,2009-02-27,0.2023,Jornada,-0.4404
La Jornada: Matan a 2 jóvenes en carnaval hidalguense,2009-02-27,-0.4767,Jornada,-0.6705
La Jornada: Detienen militares a siete policías de NL acusados de secuestro,2009-02-27,-0.743,Jornada,-0.6124
La Jornada: Cobra la UJED más de un millón de pesos por información de su nómina,2009-02-27,-0.296,Jornada,-0.2732
La Jornada: Avanza iniciativa del blanquiazul para prohibir el aborto en Jalisco,2009-02-27,-0.7351,Jornada,0.4215
La Jornada: Otumba delega en el gobierno del Edomex tareas de seguridad,2009-02-27,0.3818,Jornada,0.34
La Jornada: Transgénicos dividen a científicos,2009-02-27,-0.296,Jornada,0.0
La Jornada: Cumple Jardín Botánico 50 años como tesoro de biodiversidad,2009-02-27,0.0,Jornada,0.296
La Jornada: Cierra el diario más antiguo de Colorado,2009-02-27,0.0,Jornada,0.0
La Jornada: Alerta de la CNBV sobre InverBan; dice que no está autorizada a captar recursos,2009-02-27,-0.25,Jornada,0.296
