article,pub_date,nltk_score,source,nltk_score_title
New Audit Blasts IndyMac’s Chief Regulator,2009/02/26,0.0422,ProPublica,0.0
Will Abandoned Mine Cleanup Bring Jobs to the West?,2009/02/26,0.9455,ProPublica,-0.4588
New Features on Recovery.gov,2009/02/26,0.8925,ProPublica,0.0
Could FDA Have Prevented Syringe Deaths?,2009/02/26,-0.9893,ProPublica,0.0258
"Welcome to the Watchdog Pound, GOP",2009/02/26,0.2878,ProPublica,0.4588
"Obama Admin’s Budget Guesstimate for Bailout: Oh, Around $750 Billionish",2009/02/26,-0.2023,ProPublica,-0.1027
Quick Picks: Banks Lobby to Jam Up ‘Cram-Down’ Bill,2009/02/26,-0.8885,ProPublica,0.0258
Gov’t Reports Slam IRS for Lax Oversight of Tax Preparers,2009/02/26,-0.9534,ProPublica,-0.3818
How Long Will Secret Bush Counterterrorism Memos Stay Secret?,2009/02/26,0.9933,ProPublica,0.0
"Psychiatric Hospital Pledged Change, But Some Problems Persist",2009/02/26,-0.6246,ProPublica,-0.4019
"As Executive Promises Transparency, State Probes a Death",2009/02/26,-0.9943,ProPublica,-0.3182
