article,pub_date,nltk_score,source,nltk_score_title
Busca el FAP evitar la extradición de Morett,2009-01-16,0.0772,Jornada,-0.296
Construye la PGR base de datos criminal con tecnología biométrica,2009-01-16,-0.0,Jornada,-0.5267
Ex jefes de Interpol México fueron enviados a la cárcel,2009-01-16,-0.0516,Jornada,0.0
Da mejores resultados nueva estrategia de vigilancia en el AICM,2009-01-16,-0.0516,Jornada,0.4404
Calderón incurrió en una flagrante violación al Estado laico: diputados,2009-01-16,-0.8934,Jornada,-0.2732
No busco cargos; la gente me eligió para encabezar el cambio del país: AMLO,2009-01-16,-0.9837,Jornada,0.0
Niega el PRI haber dado un cheque en blanco a Calderón y su plan anticrisis,2009-01-16,-0.8402,Jornada,-0.4215
Llama Muñoz Ledo a no renunciar a la resistencia civil en defensa del petróleo,2009-01-16,-0.765,Jornada,0.128
UAM: miles de Mipymes cerrarán,2009-01-16,0.0,Jornada,0.0
Gómez Mont pide eficacia en los comicios,2009-01-16,-0.7906,Jornada,0.4767
"Colapso rápido y repentino en México, de los mayores riesgos a futuro, alertan en EU",2009-01-16,-0.8176,Jornada,-0.1531
Nada nuevo en denuncia de HRW sobre tortura en México: Soberanes,2009-01-16,-0.0103,Jornada,-0.7269
Ola de ejecuciones incluye a un jefe policiaco y un menor,2009-01-16,0.8747,Jornada,0.0
México participará en cumbre antinarco,2009-01-16,-0.4019,Jornada,0.0
Caos al vencer el plazo para renovar la credencial del IFE,2009-01-16,-0.9584,Jornada,-0.5719
El TEPJF corrige al IFE; no permitirá que se utilice el título Salvemos a México,2009-01-16,0.9413,Jornada,0.3682
Demandan pescadores un encuentro con Agustín Carstens y Ruiz Mateos,2009-01-16,-0.9796,Jornada,-0.128
Legisladores piden a Ortiz explicar cómo contendrá la devaluación,2009-01-16,-0.9186,Jornada,0.0
Prometen liberar a 15 antorchistas,2009-01-16,0.296,Jornada,0.3182
"Legítimo, que el Presidente exprese públicamente sus creencias: obispos",2009-01-16,-0.836,Jornada,0.0
Sube la SCJN a Internet texto sobre violaciones en Atenco,2009-01-16,0.7579,Jornada,-0.5267
"Según el PRD, tiene capacidad de competencia en 140 de 300 distritos",2009-01-16,0.4588,Jornada,0.0
Exhorta Luis H. Álvarez a panistas a no ser indolentes ante los desafíos presentes,2009-01-16,0.4404,Jornada,0.0772
Acaba con las colas el consulado en Nueva York,2009-01-16,-0.9451,Jornada,0.0
"Ser “estrictamente respetuoso” de la ley electoral, compromiso de Mario Marín",2009-01-16,-0.8481,Jornada,0.6249
"Monotemático y sin autocrítica, el Encuentro Mundial de las Familias",2009-01-16,-0.8761,Jornada,0.0
"Convoca la OIT a México, Argentina, Brasil y Chile a análisis sobre la crisis",2009-01-16,-0.6124,Jornada,-0.6249
Calderón ignora carta sobre trata de personas,2009-01-16,-0.891,Jornada,-0.2732
"Ilegal, identificar como familia sólo a la que integran hombre y mujer: Góngora",2009-01-16,-0.7506,Jornada,-0.5574
Presenta Calderón estrategia para financiar proyectos de invernaderos,2009-01-16,-0.2263,Jornada,0.0
Se enfrentan docentes de Puebla con policías durante el informe de Marín,2009-01-16,-0.5574,Jornada,0.0
Espera el SNTE obtener unos $53 millones por la rifa de Hummers,2009-01-16,-0.9337,Jornada,0.0
Condena México bombardeos de Israel,2009-01-16,-0.3182,Jornada,-0.5106
Renuncia el director de la Lotería Nacional,2009-01-16,-0.0258,Jornada,0.0
Crea la UNAM comité para preservar el patrimonio inmobiliario de la institución,2009-01-16,0.8625,Jornada,0.4215
"La pelea en contra de la alianza aún no ha terminado, dicen disidentes",2009-01-16,0.0772,Jornada,-0.3818
Advierte el SNTISSSTE sobre excesiva carga de trabajo para las enfermeras,2009-01-16,-0.4588,Jornada,-0.1027
Promete la SEP construir 200 planteles para bachillerato este año,2009-01-16,0.4588,Jornada,0.3818
Milagro en el Hudson: desciende avión en el río; no hay víctimas,2009-01-16,-0.9861,Jornada,0.0772
Continuarán las bajas temperaturas en gran parte de México hasta el domingo,2009-01-16,0.0258,Jornada,-0.2732
"En riesgo de extinción, 11 especies de pericos y guacamayas, dice Profepa",2009-01-16,-0.91,Jornada,-0.2732
Mantiene Colima castigo al aborto,2009-01-16,-0.8402,Jornada,-0.4939
Amenaza Nayarit a la Federación,2009-01-16,0.7506,Jornada,-0.5267
Aprueban convocatoria del PRD para internas,2009-01-16,-0.296,Jornada,0.4215
Impiden interrogatorio a presuntas víctimas de pederastia,2009-01-16,-0.765,Jornada,-0.296
Rechazan basurero en Pedro Escobedo,2009-01-16,-0.296,Jornada,-0.296
Exigen a González Márquez aclarar el subsidio a transportistas de Jalisco,2009-01-16,-0.5574,Jornada,0.0
Repatriarán a menores guatemaltecos que iban a ser explotados en Chiapas,2009-01-16,-0.6808,Jornada,-0.4588
Cambiarán en Guerrero Ley de Educación,2009-01-16,-0.3818,Jornada,0.0
Hombre armado en el Congreso michoacano,2009-01-16,0.5267,Jornada,0.0
Bloquean campesinos carretera en Chiapas,2009-01-16,0.0,Jornada,0.0
Denuncian cargada en Sonora,2009-01-16,-0.9694,Jornada,-0.4939
Nombran procurador de Justicia en Chiapas,2009-01-16,0.7783,Jornada,0.0
Dona Pemex $102 millones a Tabasco,2009-01-16,0.2263,Jornada,0.0
Paga Zapopan $4 mil millones en mordidas,2009-01-16,0.0,Jornada,0.0
Encuentran muerto a preparador físico del club de futbol Pachuca,2009-01-16,0.5267,Jornada,-0.6486
Dona Veracruz un predio de 7 mil metros al SNTE,2009-01-16,-0.5267,Jornada,0.0
Guanajuato: cárcel o multa a quienes se besen en la calle,2009-01-16,-0.9382,Jornada,0.5574
Nombran magistrada a esposa de senador panista por Edomex,2009-01-16,0.4019,Jornada,0.0
Priístas de SLP debaten entre acarreados,2009-01-16,-0.25,Jornada,0.0
La City Opera de NY tiene nuevo director artístico,2009-01-16,-0.1027,Jornada,0.0
Primera muestra de YouTube como hito estético,2009-01-16,0.6908,Jornada,0.0772
Exposición sobre las dos Alemanias,2009-01-16,-0.8316,Jornada,0.0
Inauguran en Mérida exposición con 67 grabados y litografías de Picasso,2009-01-16,0.9847,Jornada,0.0
Anuncian paro nacional si no se cancela show mediático,2009-01-16,-0.8807,Jornada,-0.128
Los archivos sonoros de la XEW ya forman parte de la Fonoteca Nacional,2009-01-16,-0.6597,Jornada,0.0
Difunden fotos de los tres implicados en los daños a vestigios olmecas,2009-01-16,-0.9578,Jornada,-0.4939
Tunick está en México; hará retratos individuales,2009-01-16,-0.5106,Jornada,0.0
Fracasan PRI-Partido Verde en que el Congreso local se manifieste en favor del show de luz y sonido,2009-01-16,-0.8126,Jornada,0.3818
"Bombardea Israel sede de la ONU; había militantes de Hamas, afirma",2009-01-16,-0.9776,Jornada,0.0
"Posible referendo para la relección de Hugo Chávez, el 15 de febrero",2009-01-16,-0.25,Jornada,0.0
Exilio cubano prepara “medidas” ante rumores sobre muerte de Fidel Castro,2009-01-16,-0.9403,Jornada,-0.5994
Se despide Bush de compatriotas; resalta los éxitos de su gestión y admite algunos “reveses”,2009-01-16,-0.9432,Jornada,0.7003
"Israel viola el derecho internacional, acusa el presidente de la Asamblea General de la ONU",2009-01-16,-0.9686,Jornada,-0.6908
Aprueba comité ratificar nombramiento de Clinton pese a dudas sobre su esposo,2009-01-16,-0.9022,Jornada,0.5556
Logró Obama que el Senado libere el resto del paquete de rescate financiero,2009-01-16,0.8519,Jornada,-0.1027
El paro técnico del lunes en VW será el único en este trimestre,2009-01-16,-0.6597,Jornada,-0.296
"México, entre crecimiento de 0.7 y contracción de 1.2%: ONU",2009-01-16,-0.9001,Jornada,0.3818
Se mantiene la fuerte demanda del dólar; ayer llegó hasta 14.45 pesos,2009-01-16,-0.2732,Jornada,0.4939
Imparable la caída de los petroprecios,2009-01-16,0.1531,Jornada,-0.2023
Se habría frenado el ingreso de divisas por turismo internacional,2009-01-16,0.25,Jornada,0.0
Inversionistas extranjeros abandonan bonos de deuda del gobierno mexicano,2009-01-16,-0.3612,Jornada,-0.6597
La devaluación frustró planes de Interjet de abrir vuelos a EU,2009-01-16,0.0,Jornada,-0.0258
Chrysler extenderá el cierre de un mes en plantas de EU y Toluca,2009-01-16,-0.5267,Jornada,0.1779
La Jornada: Patricia Mercado exige renuncia a Quezada por ir a mitin de AMLO,2009-01-16,-0.6908,Jornada,-0.296
Se dispara la morosidad entre sectores productivos y deudores hipotecarios,2009-01-16,-0.9287,Jornada,0.0
Firma Comerci acuerdo con acreedores que la protege hasta marzo,2009-01-16,0.8625,Jornada,0.6705
Bajó el Banco Central Europeo a 2% su tasa de interés en la eurozona,2009-01-16,0.9531,Jornada,0.3612
"Gasolineros, en favor de que bajen precios del combustible",2009-01-16,-0.8074,Jornada,0.1779
Recomprará Correa parte de la deuda externa “ilegítima”,2009-01-16,0.0,Jornada,0.0
Noveno día de pérdidas en la BMV,2009-01-16,0.0,Jornada,-0.4019
"“La propuesta de senadores panistas, agresión a la ciencia”",2009-01-16,0.5267,Jornada,-0.296
Se refuerza teoría de vida en Marte: hay gas metano,2009-01-16,-0.296,Jornada,0.0
