article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Encuentro de análisis en el PRD; AMLO, invitado",2009-07-08,-0.296,Jornada,0.0
"La Jornada: Autocrítica antes de nuevo líder, piden presuntos sucesores en AN",2009-07-08,-0.7269,Jornada,0.2732
La Jornada: Comparece testigo contra El Rey Zambada,2009-07-08,0.0,Jornada,0.0
La Jornada: Escasa participación de votantes en urbes con fuerte presencia del narco,2009-07-08,-0.91,Jornada,0.5106
La Jornada: Recontarán los sufragios en más de la mitad de las casillas de Aguascalientes,2009-07-08,0.4588,Jornada,0.0
"La Jornada: En puerta, indemnización millonaria del erario a clientes del Jefe Diego",2009-07-08,0.5106,Jornada,0.2023
La Jornada: Cerrará la SCJN estancia infantil en su sede,2009-07-08,0.7003,Jornada,0.0
"La Jornada: Debate sobre comparecencia de Karam suscita diatribas entre PAN, PRI y PRD",2009-07-08,-0.9501,Jornada,0.0
"La Jornada: Espaldarazo de Larios, Madero y gobernadores a Germán Martínez",2009-07-08,0.4588,Jornada,0.0
La Jornada: Aumentos a mineros en 5 revisiones salariales,2009-07-08,0.0,Jornada,0.0
"La Jornada: Necesaria, la renuncia de Jesús Ortega",2009-07-08,-0.296,Jornada,-0.296
"La Jornada: Entre PRI y PAN, la mayoría de disputas",2009-07-08,0.0,Jornada,-0.3384
La Jornada: El llamado de Calderón a acuerdos es pedirle chichi al PRI: Juan Guerra,2009-07-08,-0.936,Jornada,0.2732
La Jornada: Los nuevos cachorros de la revolución,2009-07-08,-0.4939,Jornada,0.0
La Jornada: Continúan asesinatos de policías en Tijuana,2009-07-08,-0.5994,Jornada,-0.6124
La Jornada: Analiza la Corte artículo del Código de Justicia Militar,2009-07-08,-0.1027,Jornada,0.5267
La Jornada: El sol azteca plantea investigar al Cisen,2009-07-08,0.0,Jornada,0.0
La Jornada: Anuncia Medina Mora la modernización y autonomía de los servicios periciales,2009-07-08,0.9274,Jornada,0.0
"La Jornada: Según Presidencia, Tello Peón no recibió salario por asesorar 6 meses a Calderón",2009-07-08,0.1027,Jornada,0.0
La Jornada: Legisladores del PRD critican a Felipe Calderón por no defender a Lucía Morett,2009-07-08,-0.9287,Jornada,-0.3818
La Jornada: Pugna entre perredistas por la permanencia de Jesús Ortega,2009-07-08,-0.5423,Jornada,0.0
La Jornada: Recibirán incremento de 4.9% en el ISSSTE,2009-07-08,0.0,Jornada,0.3182
La Jornada: Incorrecto que se juzgue al Ejército por un delito cometido hace 35 años: Gómez Mont,2009-07-08,-0.9423,Jornada,-0.34
La Jornada: Parientes de afis demandan procesos justos,2009-07-08,0.2732,Jornada,0.2023
"La Jornada: La elección quedó atrás; es la hora del diálogo y los acuerdos, señala Calderón",2009-07-08,0.2263,Jornada,0.2732
La Jornada: Habrá recuento voto por voto en al menos 8 mil casillas,2009-07-08,-0.4588,Jornada,0.0
La Jornada: Levantan plantón maestros de Oaxaca; logran $305 millones para infraestructura,2009-07-08,0.6597,Jornada,0.0
La Jornada: El Conasida designará nuevos vocales en un proceso carente de transparencia,2009-07-08,-0.9001,Jornada,0.0
La Jornada: Admite juez petición de amparo de los propietarios de la estancia de Sonora,2009-07-08,-0.8689,Jornada,0.296
"La Jornada: Sin repartir, 43 millones de libros de texto, a mes y medio de empezar el próximo ciclo",2009-07-08,-0.296,Jornada,0.0
La Jornada: Busca Interpol a 9 por incendio en guardería,2009-07-08,-0.9287,Jornada,0.2023
"La Jornada: Hoy, toda la información: Karam",2009-07-08,0.0,Jornada,0.0
La Jornada: Sólo dos votos en una casilla de zona triqui,2009-07-08,-0.5267,Jornada,0.0
La Jornada: Protestan afectados por la presa Picachos,2009-07-08,0.4939,Jornada,-0.3612
La Jornada: Nadie para al PRI hacia 2012: Calzada Rovirosa,2009-07-08,0.8225,Jornada,-0.296
La Jornada: La ventaja de Toranzo en SLP es irreversible: presidente del Ceepac,2009-07-08,-0.5994,Jornada,0.0516
La Jornada: Cesan magistrados al presidente del TSJBCS,2009-07-08,0.7845,Jornada,-0.0516
La Jornada: Grupo armado levanta y mata a líder mormón y a su cuñado en Chihuahua,2009-07-08,0.7003,Jornada,-0.5423
La Jornada: Impugnan victoria del tricolor en NL,2009-07-08,0.6808,Jornada,0.4767
"La Jornada: En Ixtapaluca, latente riesgo de inundación",2009-07-08,0.0,Jornada,-0.2732
La Jornada: Guanajuato: reclama el PRD cuatro alcaldías,2009-07-08,-0.296,Jornada,0.0
La Jornada: Bours rehúsa hablar sobre la derrota y los pendientes en la guardería ABC,2009-07-08,0.3182,Jornada,-0.4588
La Jornada: El PRI exige cambios al gobernador de Morelos,2009-07-08,0.0,Jornada,0.0
La Jornada: Mario Anguiano: gobernaré sin rencores en Colima,2009-07-08,-0.6908,Jornada,0.0
La Jornada: Balean federales a joven en Laredo,2009-07-08,0.3182,Jornada,0.0
La Jornada: Ruptura en el PAN de Jalisco,2009-07-08,-0.743,Jornada,0.0
La Jornada: Contralora de Temixco se niega a dejar cargo,2009-07-08,-0.296,Jornada,-0.0516
La Jornada: AN impugna Escárcega,2009-07-08,0.0,Jornada,0.0772
"La Jornada: Partidos pelean unas 20 alcaldías en Edomex; las diferencias, estrechas",2009-07-08,-0.5994,Jornada,0.0258
La Jornada: Derrumbe en Sinaloa; mueren dos migrantes,2009-07-08,-0.4767,Jornada,-0.5994
La Jornada: Hallan enorme condominio prehispánico en el Templo Mayor,2009-07-08,-0.296,Jornada,0.3182
La Jornada: Museos del INAH buscan recuperar afluencia durante asueto de verano,2009-07-08,0.0,Jornada,0.4019
La Jornada: Analiza el FCE beneficios de pacto con Google,2009-07-08,0.0,Jornada,0.3818
La Jornada: Pugnarán por el conocimiento del español para defender la riqueza cultural y afirmar la identidad,2009-07-08,-0.2023,Jornada,0.4939
La Jornada: Llevan a escena la desazón de una generación que trastoca a la familia,2009-07-08,-0.296,Jornada,-0.6369
La Jornada: Contrastan la riqueza fonética de grandes poetas con un lenguaje coloquial y paupérrimo,2009-07-08,0.7096,Jornada,0.8074
La Jornada: Murió Juan Navarro Alcántara; el pintor español plasmó los encantos de la vida,2009-07-08,0.4588,Jornada,-0.1779
"La Jornada: Políticas van y vienen, pero la esencia de la educación está en las aulas: Manríquez",2009-07-08,-0.296,Jornada,0.0
La Jornada: Documentan la gesta de Solidaridad que cambió la faz de Polonia,2009-07-08,-0.4939,Jornada,0.296
"La Jornada: Óscar Arias mediará en la crisis hondureña, a petición de Clinton",2009-07-08,0.9001,Jornada,-0.6249
La Jornada: Prepara Alan García nuevo gabinete; aceptará la renuncia del primer ministro,2009-07-08,0.802,Jornada,0.1027
La Jornada: El pacto no aterriza en las calles; golpistas y zelayistas miden de nuevo sus fuerzas,2009-07-08,0.9153,Jornada,-0.2023
La Jornada: Lanza EU misil contra bastión de los talibanes en Pakistán; 16 muertos,2009-07-08,-0.8834,Jornada,-0.5859
"La Jornada: Armados con palos y machetes, atacan chinos de la etnia han a musulmanes uigures",2009-07-08,-0.9246,Jornada,-0.4767
La Jornada: Cambios en el gobierno argentino,2009-07-08,0.8481,Jornada,0.0
La Jornada: Obama: Rusia debe recuperar el estatus de socio relevante en el nuevo orden mundial,2009-07-08,-0.2263,Jornada,0.0
"La Jornada: Igual de fuerte que el desplome, la recuperación económica: Carstens",2009-07-08,0.2732,Jornada,-0.4019
La Jornada: Están por venir los peores efectos sociales y políticos de la crisis económica: Lamy,2009-07-08,0.0,Jornada,-0.8481
