article,pub_date,nltk_score,source,nltk_score_title
Who’s the Next Stimulus Watchdog? You Are!,2009/07/08,0.9215,ProPublica,0.0
GAO Slams Flimsy Auditing Rules for Stimulus Dollars,2009/07/08,0.8866,ProPublica,0.0
Recommended Reading,2009/07/08,-0.25,ProPublica,0.2023
Today’s Tip for the Reporting Network: Use Google Alerts to Track Your Stimulus Project,2009/07/08,0.9413,ProPublica,0.0
Where the Workers Are,2009/07/08,-0.1631,ProPublica,0.0
Report: Treasury Picks Managers for Toxic Asset Program,2009/07/08,0.9698,ProPublica,0.5106
Lax Laws Often Govern Waste Pits,2009/07/08,-0.7825,ProPublica,-0.4215
Map: Number of Producing Gas Wells,2009/07/08,0.8344,ProPublica,0.3182
Energy Industry Sways Congress With Misleading Data,2009/07/08,0.9985,ProPublica,-0.1531
Chart: Where States Fall on Oil and Gas Regulation,2009/07/08,0.9455,ProPublica,0.0
