article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Deslindar responsabilidades, ofrece Felipe Calderón a familiares de niños muertos",2009-06-07,-0.9062,Jornada,-0.6486
La Jornada: Unicef llama a prevenir riesgos en estancias infantiles,2009-06-07,-0.8402,Jornada,-0.296
La Jornada: Protestan en la Corte Hijos México y Eureka,2009-06-07,0.6249,Jornada,-0.2263
La Jornada: Administradores de Abu Ghraib buscan invertir en reclusorios mexicanos: PRD,2009-06-07,0.8126,Jornada,0.0
La Jornada: Se deslinda el IFE: toca a partidos convencer a ciudadanos de votar,2009-06-07,0.0258,Jornada,0.5719
La Jornada: Seis mujeres Nobel de la Paz abogan por los presos y perseguidos políticos de Atenco,2009-06-07,0.6705,Jornada,0.296
"La Jornada: El 17 de junio, Obama y Congreso de EU iniciarán trabajo para reforma migratoria",2009-06-07,-0.3612,Jornada,0.0
La Jornada: México ya superó la contingencia sanitaria: Calderón,2009-06-07,-0.3182,Jornada,0.0
La Jornada: Empezó la distribución de material para las elecciones del 5 de julio,2009-06-07,-0.2263,Jornada,0.0
La Jornada: Apoyan seglares llamado de la Iglesia a sufragar,2009-06-07,-0.1779,Jornada,0.6597
La Jornada: Estudian el caso de Raúl Salinas para detectar modelos de lavado de dinero,2009-06-07,-0.3182,Jornada,0.0
La Jornada: Rescatan cuerpos del avión caído,2009-06-07,-0.4767,Jornada,0.2023
"La Jornada: Aumenta a 38 la cifra de niños muertos; otros 15, muy graves",2009-06-07,-0.8271,Jornada,-0.6801
La Jornada: La PGR participará en pesquisas del percance en que fallecieron los menores,2009-06-07,-0.9201,Jornada,-0.5574
La Jornada: Testigo tilda de negligente al IMSS,2009-06-07,-0.9201,Jornada,0.0
La Jornada: Devuelven a grandes empresarios $133 mil millones por impuestos,2009-06-07,-0.4767,Jornada,0.0
La Jornada: Ultiman a 26 personas entre viernes y sábado en 4 estados,2009-06-07,-0.5719,Jornada,0.0
La Jornada: Aparentemente la guardería cumplía normatividad: Karam,2009-06-07,-0.9501,Jornada,0.0
La Jornada: Crece en Internet el impulso a la campaña sobre el voto nulo,2009-06-07,0.25,Jornada,0.1779
"La Jornada: Cada día, más de mil ambulantes invaden los espacios de la UNAM",2009-06-07,-0.4767,Jornada,0.0
La Jornada: Divulgan con un rally cultural en CU la historia y la unificación de Europa,2009-06-07,-0.4939,Jornada,0.0
La Jornada: Valida ley antiaborto el Congreso de Jalisco; sólo se opusieron 3 municipios,2009-06-07,-0.7269,Jornada,0.34
La Jornada: Detienen a jóvenes por secuestrar autobuses,2009-06-07,0.0,Jornada,-0.4767
"La Jornada: Cinco antorchistas de Querétaro, liberados",2009-06-07,0.0258,Jornada,0.0
La Jornada: Cartones,2009-06-07,0.0,Jornada,0.0
"La Jornada: Inhabilitado, candidato priísta de Guerrero",2009-06-07,0.0,Jornada,0.0
La Jornada: Retienen a trabajadores de Midland para impedir huelga en Cd. Juárez,2009-06-07,-0.6597,Jornada,-0.1027
La Jornada: Cerraron 200 mil productores de leche en 5 años por baja de precio,2009-06-07,-0.7096,Jornada,-0.2732
La Jornada: Mueren 3 por choque cerca de San Cristóbal,2009-06-07,-0.4767,Jornada,-0.7579
"La Jornada: Ajenos al festejo, veteranos y viudas de la Revolución malviven con 15 pesos diarios",2009-06-07,-0.9766,Jornada,-0.2023
"La Jornada: Falleció Alejandro Rossi, ensayista, literato y referente filosófico del país",2009-06-07,0.7506,Jornada,-0.5574
La Jornada: Esquizofrénica forma de pensar la realidad,2009-06-07,0.0,Jornada,0.0
La Jornada: Acto solitario y justiciero,2009-06-07,-0.0258,Jornada,-0.3612
La Jornada: Amigos de Javier Wimer le brindaron un festivo adiós,2009-06-07,0.5859,Jornada,0.7269
"La Jornada: Miles de obras de arte, desaparecidas de edificios públicos de Francia",2009-06-07,-0.4019,Jornada,-0.296
La Jornada: Astucia de un detective,2009-06-07,-0.7269,Jornada,0.5106
La Jornada: El malestar en la cultura,2009-06-07,-0.4019,Jornada,0.0
La Jornada: Impulso reformista,2009-06-07,-0.765,Jornada,0.0
"La Jornada: Se inauguró Correspondencias, la gratitud plástica de Vicente Rojo",2009-06-07,0.0772,Jornada,0.5106
La Jornada: Liberan piratas barco nigeriano,2009-06-07,-0.296,Jornada,0.5106
"La Jornada: Barack Obama, por la integración plena de Turquía a la UE; Nicolas Sarkozy la rechaza",2009-06-07,-0.4404,Jornada,-0.4939
La Jornada: En postales a Obama piden liberar a cubanos,2009-06-07,0.0,Jornada,0.0
La Jornada: Confirma Ecuador su ingreso a la Alba,2009-06-07,0.0,Jornada,0.0
"La Jornada: Extraño, que EU descubra espías tras la resolución de la OEA: Fidel Castro",2009-06-07,0.6597,Jornada,-0.2023
La Jornada: Deslave en mina sepulta a 79 chinos,2009-06-07,-0.1779,Jornada,-0.3612
"La Jornada: Prueba para Berlusconi, las elecciones en Italia para el Parlamento Europeo",2009-06-07,0.4019,Jornada,-0.25
La Jornada: Inicia Irán la producción de nuevos misiles tierra-aire,2009-06-07,-0.7003,Jornada,0.0
La Jornada: Bolivia eliminará los libros de texto de la española Santillana,2009-06-07,0.5423,Jornada,0.0
La Jornada: Desplaza el ejército a las autoridades civiles en la amazonia peruana,2009-06-07,-0.9874,Jornada,0.1779
"La Jornada: Con 40% de boletaje, Aviacsa vuelve a volar",2009-06-07,0.0516,Jornada,0.0
La Jornada: Caída en las remesas afectará ingresos de familias pobres de varios estados del país,2009-06-07,-0.2023,Jornada,-0.6369
"La Jornada: Opaca brote de influenza lanzamiento del grupo hotelero OSTAR, de Carlos Slim",2009-06-07,-0.4404,Jornada,0.0
La Jornada: Cartones,2009-06-07,0.0,Jornada,0.0
La Jornada: Resistencia de naciones ricas a reformar el FMI,2009-06-07,0.0,Jornada,0.5574
La Jornada: WSJ: revierte flujos migratorios la desocupación en países desarrollados,2009-06-07,-0.765,Jornada,0.0
