article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Military deployed to 2 men who brought grenades of fragmentation,2009-03-15,-0.7579,Jornada,0.0
"La Jornada: Government attack on community and social radios, denounces senator",2009-03-15,-0.743,Jornada,-0.7184
La Jornada: Demanda Creel to enter fully into the investigation of narcos accounts,2009-03-15,-0.5859,Jornada,0.0
La Jornada: Capture involved in the murder of General Tello Quiñones in Cancun,2009-03-15,-0.5106,Jornada,-0.6908
"La Jornada: School desertion grows because of economic crisis, teachers denounce",2009-03-15,-0.8271,Jornada,-0.7579
"La Jornada: El Concord, presumed main operator of Los Zetas in Reynosa, arrested",2009-03-15,0.5267,Jornada,-0.4767
La Jornada: Laboratories accept health law plan,2009-03-15,-0.4939,Jornada,0.3818
La Jornada: Threatened narco to more than 20% of the judges who carry out their processes: Sedena,2009-03-15,-0.2436,Jornada,-0.4588
"La Jornada: Collaborationist, IFAI defends power groups and the government: UNAM expert",2009-03-15,0.6808,Jornada,0.0
"La Jornada: It weakens the IFE its obstinacy to protect Televisa, say parties",2009-03-15,-0.5719,Jornada,0.4588
La Jornada: The Sagarpa will tender a germplasm bank,2009-03-15,0.0,Jornada,0.0
La Jornada: Laboratories could fail to supply SSA with drugs due to the crisis,2009-03-15,-0.34,Jornada,-0.8225
"La Jornada: On the 18th, the PAN will appoint another package of candidates for deputies",2009-03-15,0.0,Jornada,0.0
La Jornada: Justifica the institute the use of double standards to address problems,2009-03-15,0.0,Jornada,-0.4019
La Jornada: They find in Ciudad Juárez a clandestine grave with nine corpses; Two beheaded,2009-03-15,0.6929,Jornada,-0.3818
La Jornada: Sedena develops new herbicides for the fight against marijuana and poppy,2009-03-15,0.25,Jornada,-0.3818
La Jornada: The Honeycomb seeks to detach itself from the SNTE,2009-03-15,-0.296,Jornada,0.0
La Jornada: There are still no reports on the purchase of the Learjet 45 in which Mouriño died,2009-03-15,-0.2732,Jornada,-0.7003
La Jornada: IFAI: Cisen must inform why its director related narcos with campaigns,2009-03-15,0.128,Jornada,0.0
"La Jornada: Becar to children of the military, Calderón scheme to benefit private schools: experts",2009-03-15,0.7096,Jornada,0.4588
La Jornada: Organized crime blasts charge 17 lives in seven states,2009-03-15,-0.8807,Jornada,-0.5423
La Jornada: Defends Elvira sanitary landfill in Morelos,2009-03-15,0.0,Jornada,0.0
La Jornada: Inhabitants of Hueyapan demand that all three levels of government repair the pipes,2009-03-15,-0.7906,Jornada,-0.128
"La Jornada: Today, the PRD will choose candidates for mayors and deputies in Edomex",2009-03-15,0.128,Jornada,0.0
La Jornada: Indigenous people protest in Ayutla de los Libres to demand clarification of the death of 2 Mixtec leaders,2009-03-15,0.7783,Jornada,-0.7506
La Jornada: PRIEST Aristotle Sandoval goes for the mayor of Guadalajara,2009-03-15,0.0,Jornada,0.0
La Jornada: Reveal diversion of federal resources in BC in favor of teachers commissioned to SNTE,2009-03-15,0.25,Jornada,0.4019
La Jornada: The struggle of the Aztec sun is against the cacicazgo priísta mexiquense: Luis Sánchez Jiménez,2009-03-15,-0.7579,Jornada,-0.3182
"La Jornada: Liberated, wineries of sugar mills in Veracruz",2009-03-15,0.0,Jornada,0.0
La Jornada: Exaggerated review of SLP police officers attending musical festival,2009-03-15,-0.1531,Jornada,0.4215
La Jornada: Postponed PRI convention in Colima,2009-03-15,0.0,Jornada,-0.2023
"La Jornada: From the center, they would define the presidential candidate in Sonora",2009-03-15,0.3612,Jornada,0.0
The Journey: Ratzinger published article in 1998 in an ultra-right magazine,2009-03-15,0.9423,Jornada,0.0
"La Jornada: Approach with Cuba, Venezuela and Bolivia, Lula asks Barack Obama",2009-03-15,-0.5994,Jornada,0.0
"La Jornada: Today, presidential elections in El Salvador marked by tense environment and irregularities",2009-03-15,-0.8591,Jornada,-0.34
The Day: Accuses Bin Laden to moderate Arab countries of complicity with Israel,2009-03-15,-0.8074,Jornada,-0.34
La Jornada: Evo Morales delivers to the Guaraní people an enforceable title for 17 thousand hectares,2009-03-15,0.6124,Jornada,0.0
La Jornada: Correa will not welcome Prince Charles,2009-03-15,-0.1027,Jornada,-0.357
La Jornada: Alert against opposition protest in Pakistan,2009-03-15,0.0,Jornada,0.0516
"La Jornada: Parking long-range bombers in Cuba and Venezuela, studying aviation in Russia",2009-03-15,0.8176,Jornada,0.0
La Jornada: Malagasy opposition takes office,2009-03-15,0.1779,Jornada,0.0
La Jornada: Germany could not attend meeting on racism,2009-03-15,0.0,Jornada,-0.6249
La Jornada: G-20 agrees to raise IMF resources and prevent financial risks,2009-03-15,-0.5994,Jornada,-0.0516
La Jornada: Food and beverage companies use the Internet to reach children and young people,2009-03-15,0.0516,Jornada,0.0258
"La Jornada: Despite the slight rebound in the peso, analysts still expect bad economic data",2009-03-15,-0.5106,Jornada,-0.5423
La Jornada: The number of inactive or missing construction companies grows,2009-03-15,-0.34,Jornada,-0.2263
La Jornada: Will sell the Stanford Bank of Venezuela,2009-03-15,-0.5859,Jornada,0.0
La Jornada: Rejects SME wage increase of 3.5%; Tomorrow the strike would break out,2009-03-15,-0.7096,Jornada,-0.34
"La Jornada: Significant fire increase, experts predict",2009-03-15,-0.7351,Jornada,0.1779
La Jornada: There will be 50 million refugees in 2050 due to climate change,2009-03-15,-0.7906,Jornada,0.0
"La Jornada: Amoral, covering about to enter literary acts",2009-03-15,-0.9274,Jornada,-0.3818
La Jornada: Voracious corruption,2009-03-15,-0.4767,Jornada,0.0
La Jornada: Transgressive philosophy of love,2009-03-15,0.9682,Jornada,0.6369
