article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: If the government does not invest in science, opportunities are lost, says Obama",2009-03-10,-0.6486,Jornada,0.0772
The Journey: Cause Euphoria Among US Scientists Presidential Order Reversing Bush Decision,2009-03-10,0.0,Jornada,0.6486
La Jornada: Sarkozy offers to respect the sovereignty of Mexico,2009-03-10,-0.6124,Jornada,0.4767
La Jornada: PRI: enmugra AN politics with dirty war,2009-03-10,0.0,Jornada,-0.7783
La Jornada: Leave paved the way for Florence Cassez to return to France,2009-03-10,-0.5994,Jornada,-0.0516
"La Jornada: The struggle for politicization, another drag on the fight against narco",2009-03-10,-0.9735,Jornada,-0.7003
La Jornada: Execute the head of public security in Guerrero municipality,2009-03-10,0.3182,Jornada,0.34
"La Jornada: In dispute, the Mexican judicial system",2009-03-10,0.4588,Jornada,-0.4019
"La Jornada: Out of all discussion, a US military intervention in the country, says Calderón",2009-03-10,-0.7096,Jornada,0.0
La Jornada: Military arrests of 26 suspects in Tijuana party,2009-03-10,0.5106,Jornada,-0.3818
"La Jornada: 37,000 seafarers are being offered scholarships to study in private schools",2009-03-10,0.5267,Jornada,0.0
"La Jornada: PAN, PRI and PVEM will only be reprimanded for dirty campaigns",2009-03-10,0.2732,Jornada,-0.4404
La Jornada: Suspend session for legal loopholes,2009-03-10,-0.5994,Jornada,-0.2023
"La Jornada: The commission, unconstitutional",2009-03-10,-0.9413,Jornada,0.0
"La Jornada: Inhabitants of the Chiapasan ejido of Lázaro Cárdenas, in resistance by abuses of CFE",2009-03-10,-0.3041,Jornada,-0.5574
"La Jornada: Florence Cassez committed six crimes, Judge Rivera",2009-03-10,-0.954,Jornada,0.2732
La Jornada: The world expects more from Mexico: Sarkozy,2009-03-10,0.5719,Jornada,0.0
La Jornada: 64% increase in the files classified by the government so far this year,2009-03-10,0.4588,Jornada,0.3182
La Jornada: López Obrador concludes his tour of 2 thousand 38 municipalities of the country,2009-03-10,-0.7003,Jornada,0.0
"La Jornada: Collaboration without limits in intelligence and police technology, offered by Sarkozy",2009-03-10,0.8658,Jornada,-0.3724
La Jornada: Increased cases of military abuses in the fight against drug trafficking,2009-03-10,0.872,Jornada,-0.6249
La Jornada: The PRD campaign will be deployed in search of 7.8 million votes in the next elections,2009-03-10,0.0,Jornada,0.0
La Jornada: Plan to build another prison in Cancún,2009-03-10,-0.765,Jornada,-0.5106
La Jornada: Investigations on fraud in Merida begin,2009-03-10,-0.3818,Jornada,-0.5859
"La Jornada: Edomex: hundreds of PRDs, after the mayors",2009-03-10,0.25,Jornada,0.0
La Jornada: NL governor asks 10% discount on natural gas,2009-03-10,0.7096,Jornada,0.3612
La Jornada: Light inspection mothers at La Casita shelter in Cancun,2009-03-10,-0.128,Jornada,0.0
La Jornada: Herran Salvatti accused of diverting resources seized to drug trafficking,2009-03-10,0.8402,Jornada,-0.296
La Jornada: Evaluates the PRD alliances in the north,2009-03-10,0.0,Jornada,0.0
La Jornada: Chiapanecos call for compensation,2009-03-10,0.0,Jornada,0.0
La Jornada: Workers and academics hold unemployment in the U of Sonora,2009-03-10,-0.0516,Jornada,-0.4404
La Jornada: Protest Zacatecan housewives for lack of water,2009-03-10,0.128,Jornada,-0.5106
La Jornada: It will support Nezahualcóyotl with $ 500 monthly to mothers heads of household,2009-03-10,0.0,Jornada,0.4019
La Jornada: Doctors in Guanajuato deny abortions and denounce women,2009-03-10,-0.9758,Jornada,-0.5859
La Jornada: Vázquez Mota inaugurates today the National Autonomous University of Querétaro,2009-03-10,-0.296,Jornada,0.0
The Journey: Deten to involved in the News Divine case,2009-03-10,0.6249,Jornada,0.5574
La Jornada: Neighbors of Tetela del Volcán cut off water supply to Hueyapan,2009-03-10,-0.8481,Jornada,-0.2732
La Jornada: Looting church in Zacatecas,2009-03-10,0.0,Jornada,0.0
La Jornada: Looking to ban it in Puebla,2009-03-10,0.4215,Jornada,-0.5574
"La Jornada: Assembly, the liberation of Betancourt: former consul",2009-03-10,0.0,Jornada,0.0
La Jornada: Evo Morales expels second secretary of the US embassy in Bolivia,2009-03-10,0.5994,Jornada,-0.3818
La Jornada: Correa accuses the opposition of seeking to involve him in drug trafficking,2009-03-10,-0.7964,Jornada,-0.34
La Jornada: EU accuses China of harassment against a ship sailing in international waters,2009-03-10,-0.4404,Jornada,-0.7096
La Jornada: Venezuelan government expropriates land,2009-03-10,0.0,Jornada,0.0
La Jornada: Investigates Salvadoran public prosecutor's office Funes bank account,2009-03-10,-0.4019,Jornada,0.0
La Jornada: Ulster police killed,2009-03-10,0.0,Jornada,-0.6705
Tsvangirai rules out attack,2009-03-10,-0.875,Jornada,-0.4767
La Jornada: Recriminations in the first session of the Defense Council of Unasur,2009-03-10,0.6249,Jornada,0.128
La Jornada: The Sudanese government releases the opposition leader who asked Bashir to turn himself in to the ICC,2009-03-10,-0.872,Jornada,0.0
La Jornada: Denied permission for the march of the veterans of the Latvian legion of the Nazi SS,2009-03-10,-0.9531,Jornada,-0.4404
La Jornada: Supply traders demand administrative ease,2009-03-10,0.0,Jornada,0.25
La Jornada: Negotiates Cemex to rethink payment of 14 thousand 500 mdd,2009-03-10,0.0,Jornada,0.0
The Journey: US and Canada: far from departure,2009-03-10,-0.875,Jornada,0.0
La Jornada: Inflation of 0.22% in February and 6.20 the annualized: BdeM,2009-03-10,-0.3612,Jornada,0.0
La Jornada: Bimbo continues to lie by offering 100% full bread,2009-03-10,0.0,Jornada,0.0
"La Jornada: Miami Herald company announces 1,600 layoffs",2009-03-10,0.3182,Jornada,0.0
Merck buys rival Shering-Plow for $ 41 billion,2009-03-10,0.4939,Jornada,0.0
