article,pub_date,nltk_score,source,nltk_score_title
"Suspect AIDS Ad on USA Today’s Site, Too",2009/03/26,0.952,ProPublica,-0.296
New York Times: Sketchy AIDS Agency’s Ad Stands,2009/03/26,-0.697,ProPublica,0.0
CDC Makes Progress (Sort of) on Long-Promised Children’s Health Study,2009/03/26,0.7887,ProPublica,0.4215
Software Firm Borrows ProPublica’s Stimulus Data,2009/03/26,0.9786,ProPublica,0.0
Stop the Clock: Treasury Releases Bailout Contract,2009/03/26,0.964,ProPublica,-0.2023
"The Geithner Calendars: As Citigroup Crashes, Meetings and Close Contacts",2009/03/26,0.7717,ProPublica,0.0
"Bonus Social Security Payments, Like Flowers, to Sprout in May",2009/03/26,0.9516,ProPublica,0.8126
Quick Picks: Sneaky Drug Marketing and Emanuel’s Freddie Stint,2009/03/26,0.9455,ProPublica,-0.2263
"The Geithner Calendars: As Citigroup Crashes, Meetings and Close Contacts",2009/03/26,0.7717,ProPublica,0.0
"Morning Cup of Stimulus: Laws, Pols, and Jobs",2009/03/26,0.7811,ProPublica,0.0
Sketchy AIDS Charity Rolls Back Claims on Web Site,2009/03/26,0.9571,ProPublica,0.4215
