article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Pide la CEM mantener la prevención,2009-05-12,0.6705,Jornada,0.0
La Jornada: Regresan a clases en 24 estados,2009-05-12,-0.6249,Jornada,0.0
"La Jornada: Combatir la corrupción, meta de cambios a la ley de adquisiciones gubernamentales",2009-05-12,-0.7003,Jornada,0.0
"La Jornada: Se hizo lo correcto, insiste Calderón",2009-05-12,0.34,Jornada,0.0
La Jornada: Decide la Corte que los usuarios del espacio radioeléctrico paguen los mismos derechos,2009-05-12,0.5267,Jornada,-0.1027
"La Jornada: En México habría 23 mil contagiados de influenza H1N1, señala equipo científico",2009-05-12,-0.9661,Jornada,-0.4939
"La Jornada: Urge declarar emergencia nacional por el derrumbe económico, asegura AMLO",2009-05-12,-0.9694,Jornada,-0.6124
La Jornada: Indaga la PGR negativa de la Cámara de Diputados a reinstalar empleados,2009-05-12,0.0,Jornada,-0.5719
La Jornada: Suprime Singapur el requisito de visa para viajeros mexicanos,2009-05-12,0.0,Jornada,0.0
La Jornada: En el IFE consideran inviable multa al tabasqueño por violar alerta sanitaria,2009-05-12,-0.0516,Jornada,-0.128
La Jornada: El gobierno mexicano ocultó la epidemia por la visita de Obama: Fidel Castro,2009-05-12,-0.5423,Jornada,0.0
La Jornada: Mueren tres policías durante emboscada en Michoacán; otros dos resultan heridos,2009-05-12,-0.7717,Jornada,-0.802
La Jornada: Los ingresos de aerolíneas han caído más de 70% por las medidas contra la influenza,2009-05-12,-0.3818,Jornada,-0.3612
La Jornada: Sesgo político en tiempos de radio y tv,2009-05-12,0.0258,Jornada,-0.1027
"La Jornada: En 15 días, la Secretaría de Marina responderá a recomendación de la CNDH",2009-05-12,0.7506,Jornada,0.0
"La Jornada: Sedena calla el paradero de general preso, acusan",2009-05-12,-0.9595,Jornada,-0.296
La Jornada: Comienza la impresión de 81 millones de boletas para los próximos comicios,2009-05-12,0.3818,Jornada,0.0
La Jornada: Continúa a la baja la epidemia de influenza en el país: Córdova,2009-05-12,0.8176,Jornada,0.0
La Jornada: La salud pública se brinda en condiciones deficientes: CNDH,2009-05-12,-0.9231,Jornada,-0.4767
"La Jornada: Firmeza ante China, piden legisladores",2009-05-12,0.6705,Jornada,0.0
"La Jornada: Revocar multa al Verde puede vulnerar el blindaje electoral, apunta consejero",2009-05-12,0.4019,Jornada,-0.7351
La Jornada: Cifras de la influenza,2009-05-12,0.0,Jornada,0.0
La Jornada: Ortega se opone a difundir espot de AMLO,2009-05-12,-0.1531,Jornada,0.0
"La Jornada: SEP: presentaron 91,357 alumnos síntomas de males respiratorios",2009-05-12,-0.9451,Jornada,0.0
La Jornada: Detecta Cuba primer caso del nuevo virus; es un estudiante mexicano,2009-05-12,-0.836,Jornada,0.0
La Jornada: Los Cendi regresaron a 23 agripados,2009-05-12,0.0,Jornada,0.0
La Jornada: Modifican el calendario escolar,2009-05-12,-0.1531,Jornada,0.0
"La Jornada: OMS: en el mundo, 4 mil 694 casos confirmados de influenza A",2009-05-12,-0.7096,Jornada,0.0
La Jornada: En 7 días se registraron 651 incendios forestales,2009-05-12,-0.891,Jornada,0.0
La Jornada: Piden retirar transporte pirata en el Edomex,2009-05-12,0.0,Jornada,0.0
La Jornada: Entregan cadáveres de 3 levantados por militares,2009-05-12,0.5574,Jornada,0.0
La Jornada: Pedirá el PRI-Coahuila permitir actos masivos en campañas para diputados,2009-05-12,-0.4404,Jornada,0.2263
La Jornada: Piden 17 años de cárcel para maestra en Oaxaca,2009-05-12,-0.8934,Jornada,-0.4588
La Jornada: Enfermeros de Veracruz piden plazas,2009-05-12,0.0,Jornada,0.0
La Jornada: Protestan trigueros de Guanajuato,2009-05-12,-0.296,Jornada,-0.2263
La Jornada: Arraigan a 21 ex funcionarios de Chiapas por desvío de fondos para reconstrucción,2009-05-12,0.7003,Jornada,-0.4767
La Jornada: Se fugan 6 reos de cárcel en Chihuahua,2009-05-12,-0.8625,Jornada,-0.3818
La Jornada: Monreal: el narco infiltró el gobierno de Zacatecas,2009-05-12,-0.0772,Jornada,0.0
La Jornada: Crean fondo por $750 millones para enfrentar crisis del sector productivo jalisciense,2009-05-12,-0.4939,Jornada,-0.4588
La Jornada: Tamaulipas: consume incendio 500 hectareas,2009-05-12,-0.7269,Jornada,-0.34
La Jornada: Desaparecerá la licenciatura en educación especial en Querétaro,2009-05-12,-0.4588,Jornada,0.2023
