article,pub_date,nltk_score,source,nltk_score_title
A Flare-Up in the Quiet War over Caribbean Rum,2009/05/06,0.9481,ProPublica,-0.5994
Steal Our Stories,2009/05/06,0.9909,ProPublica,-0.4939
Steal Our Stories,2009/05/06,0.9909,ProPublica,-0.4939
Steal Our Stories,2009/05/06,0.9909,ProPublica,-0.4939
Steal Our Stories,2009/05/06,0.9909,ProPublica,-0.4939
Steal Our Stories,2009/05/06,0.9909,ProPublica,-0.4939
Steal Our Stories,2009/05/06,0.9909,ProPublica,-0.4939
Steal Our Stories,2009/05/06,0.9909,ProPublica,-0.4939
Steal Our Stories,2009/05/06,0.9909,ProPublica,-0.4939
Steal Our Stories,2009/05/06,0.9909,ProPublica,-0.4939
Weatherization Funds: Cold vs. Warm Weather States,2009/05/06,0.8625,ProPublica,0.2263
How States Stack Up on Weatherization Funds,2009/05/06,0.6369,ProPublica,0.0
"Bank Bailouts: $45.5 Million Goes out, $125.2 Million Comes in",2009/05/06,0.7884,ProPublica,0.0
Teacher Slackers and Subprime Backers,2009/05/06,0.7454,ProPublica,0.0
Dig Into More Obama Admin. Financial Disclosures,2009/05/06,0.9554,ProPublica,0.0
Bailout for Breakfast: Mind The $34 Billion Gap,2009/05/06,0.9183,ProPublica,-0.1027
Morning Cup: Oversight or Overkill?,2009/05/06,0.9453,ProPublica,0.0
