article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Se fractura la disidencia del SME por la pretensión de crear una empresa terciaria,2009-11-11,-0.7351,Jornada,0.296
La Jornada: La CEM podría desaparecer comisiones,2009-11-11,-0.7269,Jornada,-0.2263
La Jornada: El pueblo de Necaxa fenece con la extinción de Luz y Fuerza,2009-11-11,0.4019,Jornada,0.4939
La Jornada: Los soldados deben salir de las calles: Iglesia católica,2009-11-11,-0.128,Jornada,-0.0516
La Jornada: Brutal aumento de acciones de la ASF para recuperar fondos públicos,2009-11-11,-0.6808,Jornada,-0.1531
La Jornada: El gobierno infiltrará provocadores: Esparza,2009-11-11,-0.6369,Jornada,0.0
"La Jornada: Con finiquito, 53.5% de electricistas: SAE",2009-11-11,0.0,Jornada,0.0
"La Jornada: Serenidad, demanda Gómez Mont",2009-11-11,-0.128,Jornada,0.0
La Jornada: Expertos identifican con el fascismo el decreto de Calderón contra Luz y Fuerza,2009-11-11,-0.8225,Jornada,0.4939
"La Jornada: Visas, tema central a tratar con Canadá",2009-11-11,0.0,Jornada,0.0
La Jornada: Desecha el ministro Cossío la controversia de la ALDF contra la extinción de LFC,2009-11-11,0.6249,Jornada,0.0
La Jornada: Suspenden labores universitarios y politécnicos en apoyo a electricistas,2009-11-11,-0.8074,Jornada,0.1027
"La Jornada: Permanecerán Sectur, SRA y SFP: diputado",2009-11-11,0.0,Jornada,0.0
La Jornada: Acuerdan en la Cámara ofrecer disculpas a reporteros por acusación de Ramírez Acuña,2009-11-11,-0.7269,Jornada,0.1027
La Jornada: Presenta misión de extranjeros informe sobre comicios de julio,2009-11-11,-0.6597,Jornada,0.0
La Jornada: Wilfrido Robledo Madrid será el nuevo titular de la Policía Federal,2009-11-11,0.8658,Jornada,0.0
La Jornada: Negociación del presupuesto retrasa debate sobre controversia por LFC,2009-11-11,-0.9287,Jornada,0.0
La Jornada: Mujeres del SME en la STPS,2009-11-11,-0.6808,Jornada,0.0
La Jornada: Cae la calificación del país en transparencia,2009-11-11,0.0,Jornada,0.0
La Jornada: Plantea AN bajar 50% de fondos a partidos,2009-11-11,0.6597,Jornada,0.128
La Jornada: Diputado de PRD propone cuota del Estado para pagar el Seguro Popular,2009-11-11,0.25,Jornada,0.5574
La Jornada: Avala el Senado embajada en Londres para Medina Mora,2009-11-11,-0.6597,Jornada,0.0
"La Jornada: Mitin de campesinos, hoy en San Lázaro",2009-11-11,0.0,Jornada,0.0
La Jornada: Busca Calderón abrir a la IP servicios públicos de la más amplia naturaleza,2009-11-11,0.0,Jornada,0.0
"La Jornada: Fincar culpas a funcionarios que desacaten recomendaciones, pide el nuevo ombudsman",2009-11-11,0.0258,Jornada,-0.6486
"La Jornada: Preocupante, el papel que desempeñará, dicen familiares de desaparecidos políticos",2009-11-11,0.4019,Jornada,-0.2263
"La Jornada: Rechazan PRI, PAN y PRD instaurar un doble puente el 16 y 20 de noviembre",2009-11-11,0.0,Jornada,-0.296
La Jornada: ONG recomienda no descentralizar programas sociales,2009-11-11,-0.5106,Jornada,0.2263
La Jornada: Proponen dos adiciones al presupuesto,2009-11-11,0.4939,Jornada,0.0
"La Jornada: No me vengan con que no pueden apretarse el cinturón, dice senadora panista a Villa Rivera",2009-11-11,-0.9753,Jornada,0.0
La Jornada: Aminoran liquidaciones,2009-11-11,0.0,Jornada,0.0
La Jornada: Aboga Calderón por más gasto para Oportunidades,2009-11-11,-0.6808,Jornada,0.4336
La Jornada: Comparece edil de San Pedro casi cinco horas ante la PGR,2009-11-11,-0.7906,Jornada,0.0
"La Jornada: Un calvario, reclamar salarios, finiquitos y pensiones alimentarias",2009-11-11,0.0,Jornada,0.0
La Jornada: Negocia PRI votar no a la controversia constitucional por la extinción de LFC,2009-11-11,-0.3818,Jornada,0.0
La Jornada: Exige AMLO diálogo entre el gobierno usurpador y el SME,2009-11-11,-0.9057,Jornada,0.0
La Jornada: Reportan al menos 29 ejecuciones,2009-11-11,-0.8074,Jornada,0.0
"La Jornada: La extinción de LFC, definitiva: Gómez Mont, Kessel y Lozano",2009-11-11,0.8316,Jornada,0.0
La Jornada: Uso excesivo de antibióticos en Europa extiende resistencia de las bacterias,2009-11-11,-0.9726,Jornada,0.128
La Jornada: Dieta baja en grasa mantiene el buen humor,2009-11-11,-0.5719,Jornada,0.4404
La Jornada: Piden que se declare al koala especie en peligro de extinción,2009-11-11,0.0,Jornada,-0.5267
La Jornada: La restauración de mural de Tamayo se iniciará en 2010: Lucía García Noriega,2009-11-11,-0.8316,Jornada,0.0
La Jornada: Pugnan artistas por involucrar a la iniciativa privada con el teatro y la danza,2009-11-11,-0.7269,Jornada,0.0
"La Jornada: Diputados, por más recursos para cultura",2009-11-11,0.4019,Jornada,0.0
"La Jornada: Anuncia el INBA el remozamiento de La Tallera, espacio cultural creado por Siqueiros en Cuernavaca",2009-11-11,-0.9186,Jornada,0.25
La Jornada: El Museo Bello recupera su esplendor y celebra 65 años,2009-11-11,0.7096,Jornada,0.8271
La Jornada: Comenzó el 20 coloquio cervantino,2009-11-11,-0.1779,Jornada,0.0
La Jornada: Celebración y crítica al capitalismo salvaje enmarcaron el debate en la UNAM,2009-11-11,-0.3612,Jornada,0.0
La Jornada: Piden que Ssa promueva consumo de leche y no refrescos,2009-11-11,0.0,Jornada,0.3818
La Jornada: Llaman académicos a emprender el rescate de los libros de texto gratuitos,2009-11-11,-0.765,Jornada,0.765
La Jornada: Evitan entrada de árboles de Navidad con plagas,2009-11-11,-0.802,Jornada,0.0258
"La Jornada: Minera San Xavier está operando legalmente, afirma la Semarnat",2009-11-11,0.7906,Jornada,0.1027
"La Jornada: Al conocer el fallo del tribunal, la empresa canadiense en vez de clausurar actividades las incrementó: FAO",2009-11-11,-0.2023,Jornada,0.2732
La Jornada: No se avizora pronta solución para la huelga en el Colegio de Bachilleres,2009-11-11,0.0,Jornada,-0.1027
La Jornada: Recibirá el país 70 millones de dólares para prevenir propagación del sida,2009-11-11,0.4939,Jornada,0.0258
"La Jornada: La automedicación, práctica generalizada en México, grave riesgo para la salud: especialista",2009-11-11,0.1531,Jornada,-0.34
La Jornada: Intentan linchar a presuntos secuestradores en el Edomex,2009-11-11,-0.0772,Jornada,-0.2263
La Jornada: Impugnan la reforma electroral en Hidalgo,2009-11-11,0.5267,Jornada,0.0
La Jornada: IEE de Aguascalientes no podrá regular espots,2009-11-11,0.8519,Jornada,0.0
La Jornada: Alcaldesa dueña de zoológico pide licencia,2009-11-11,0.0,Jornada,0.0
La Jornada: Inundaciones arrasan 2 comunidades en Tabasco; 10 permanecen aisladas,2009-11-11,0.0,Jornada,-0.7506
"La Jornada: Michoacán: 3,555 casos de dengue en este año",2009-11-11,-0.296,Jornada,0.0
La Jornada: Proclaman a Celso Pulido líder perredista,2009-11-11,0.0,Jornada,0.0
La Jornada: Rechazan proyecto turístico en Colima,2009-11-11,0.0,Jornada,-0.4019
La Jornada: Ordenan proteger a implicados en vejación a jóvenes de Nayarit,2009-11-11,-0.8979,Jornada,-0.2263
La Jornada: Oaxaca: señalan dados cargados en elección de candidato del PRI,2009-11-11,0.8807,Jornada,0.0
La Jornada: Capturan al jefe de escoltas de Hank Rhon,2009-11-11,0.0516,Jornada,0.0
La Jornada: Investigan al gobierno de Bours por manejo irregular del erario de Sonora,2009-11-11,0.0,Jornada,0.2023
La Jornada: La Antigua y Veracruz disputan proyecto de inmobiliaria española,2009-11-11,-0.1027,Jornada,-0.4019
La Jornada: Torreblanca rehúsa pagar cuotas al PRD,2009-11-11,0.0,Jornada,-0.1027
La Jornada: Asaltan a camaroneros en Sinaloa,2009-11-11,0.0,Jornada,-0.4588
La Jornada: Ceremonia en Fort Hood en honor de las 13 víctimas fatales del tiroteo,2009-11-11,-0.9531,Jornada,-0.3818
La Jornada: Atentado suicida en un mercado de Pakistán deja 32 muertos y 50 heridos,2009-11-11,-0.8979,Jornada,-0.9169
La Jornada: Cumple 90 años el creador del Kalashnikov,2009-11-11,-0.7269,Jornada,0.0
La Jornada: EU protesta por trato a blogueros de Cuba,2009-11-11,0.0,Jornada,-0.2263
La Jornada: Solidaridad de la OEA con El Salvador,2009-11-11,-0.7096,Jornada,0.296
La Jornada: Sanciones a personas ligadas al cártel de Cali,2009-11-11,0.0,Jornada,0.0
La Jornada: Rafael García narra los planes conspirativos del gobierno de Colombia contra Venezuela,2009-11-11,0.9393,Jornada,-0.5267
La Jornada: Fue ejecutado el francotirador de Washington,2009-11-11,-0.7845,Jornada,0.0
La Jornada: Trabajadores del Metro de Buenos Aires paralizan las seis líneas y provocan caos,2009-11-11,0.4215,Jornada,-0.5719
La Jornada: Orden de arresto para aliado de Berlusconi,2009-11-11,-0.25,Jornada,-0.34
La Jornada: Eleva la tensión entre las dos Coreas breve incidente en zona limítrofe del Mar Amarillo,2009-11-11,-0.5574,Jornada,-0.3182
La Jornada: Obama pide a Japón mantener bases de EU,2009-11-11,0.0,Jornada,0.0
La Jornada: Multitudinaria protesta de burócratas chilenos,2009-11-11,0.0,Jornada,-0.25
La Jornada: Afirma la OEA que no hay condiciones para mandar observadores electorales a Honduras,2009-11-11,-0.875,Jornada,-0.296
La Jornada: Llama Bolivia a Sudamérica a prepararse para una eventual invasión de Estados Unidos,2009-11-11,-0.1027,Jornada,0.4215
La Jornada: Catalanes piden enviar observadores de la UE,2009-11-11,0.4019,Jornada,0.0
La Jornada: Reciben embajadas en NY polvo inofensivo,2009-11-11,0.0,Jornada,0.25
