article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Sustento académico al plan económico de PRD,2009-10-02,0.0,Jornada,0.4019
"La Jornada: Una canallada, retener los recursos de Oportunidades en Oaxaca: AMLO",2009-10-02,-0.836,Jornada,0.0
"La Jornada: Bofetada a la comunidad internacional, posible allanamiento de embajadas: Bueso",2009-10-02,-0.296,Jornada,0.0
La Jornada: Iniciativa para que Infonavit no venda su cartera vencida,2009-10-02,0.25,Jornada,0.0
"La Jornada: Evitar que los tachen de terroristas, piden a asistentes a la marcha por la matanza del 68",2009-10-02,-0.7269,Jornada,-0.743
La Jornada: Arraigan a 40 personas detenidas en Sonora,2009-10-02,0.0,Jornada,-0.7351
La Jornada: Avala TEPJF negativa a registrar a Godoy Toscano,2009-10-02,0.5106,Jornada,0.0
La Jornada: Pide AI al Senado transparencia en la elección del nuevo titular de la CNDH,2009-10-02,-0.8779,Jornada,0.0
La Jornada: Critican al EMP en Morelia,2009-10-02,0.34,Jornada,-0.3612
La Jornada: Exigen jueces capitalinos a Calderón entregar fondos para infraestructura,2009-10-02,0.296,Jornada,-0.128
La Jornada: Exhiben puerta de la prepa 1 que hace 40 años recibió un bazucazo del Ejército,2009-10-02,0.0,Jornada,0.0
La Jornada: Desahoga el Senado 53 puntos en 60 minutos,2009-10-02,-0.296,Jornada,0.0
La Jornada: Nueva queja contra abusos del Ejército,2009-10-02,-0.5267,Jornada,-0.7003
La Jornada: Sólo 9 por ciento de los adictos a las drogas en América reciben tratamiento,2009-10-02,-0.128,Jornada,0.0
"La Jornada: Se arraiga la narcopolítica en varias regiones del país, admite César Nava",2009-10-02,-0.765,Jornada,0.296
La Jornada: Aumenta la lucha contra la impunidad: Serapaz,2009-10-02,0.7506,Jornada,-0.3818
La Jornada: Analizarán posible conflicto de intereses del presidente de la Comisión de Hacienda,2009-10-02,-0.7906,Jornada,0.1779
"La Jornada: La emisión de la ficha roja de Morett no es orden para detenerla, señala Rosario Ibarra",2009-10-02,-0.9246,Jornada,-0.296
"La Jornada: Hay opacidad en liquidación del PSD, dicen",2009-10-02,-0.7964,Jornada,0.0
La Jornada: Iniciativa de Calderón plantea cambios en la estructura de la Armada,2009-10-02,-0.128,Jornada,0.0
La Jornada: No hay tráfico de armas por el mar: Saynez,2009-10-02,0.0,Jornada,-0.296
"La Jornada: Estrategia correcta en el combate al crimen organizado, dice Chávez Chávez",2009-10-02,0.9612,Jornada,-0.7269
La Jornada: Se perfila otro colaborador de Lozano Gracia para llegar a la PGR,2009-10-02,-0.6908,Jornada,0.0258
La Jornada: Festeja el PAN la propuesta priísta de canasta básica libre de impuestos,2009-10-02,-0.4215,Jornada,0.5719
La Jornada: Diputadas Juanitas faltan a sesiones para ser sustituidas automáticamente,2009-10-02,0.4588,Jornada,-0.296
La Jornada: Justificará el IFE los 9 mil 200 millones que solicita para 2010,2009-10-02,-0.6597,Jornada,0.0
"La Jornada: La Comisión del DF no será espacio de confrontación, afirma Vázquez Mota",2009-10-02,-0.6597,Jornada,0.2411
La Jornada: Narro busca que diputados den marcha atrás al recorte educativo,2009-10-02,0.128,Jornada,-0.2732
La Jornada: Pretende Calderón que ahorros para el retiro financien proyectos de la IP,2009-10-02,0.25,Jornada,0.0
La Jornada: Asesinan a 5 elementos de seguridad en diferentes ataques del crimen organizado,2009-10-02,0.5994,Jornada,-0.8555
La Jornada: Consigna la PGR a presunto autor de explosiones en bancos,2009-10-02,-0.9652,Jornada,-0.4939
La Jornada: EU destina 5 mil millones de dólares a la ciencia médica,2009-10-02,-0.6597,Jornada,0.0
"La Jornada: Manipulación genética de una proteína, fuente de la eterna juventud",2009-10-02,0.0,Jornada,-0.296
"La Jornada: Fósil descubierto en Etiopía, el homínido más antiguo: expertos",2009-10-02,0.3182,Jornada,0.0
"La Jornada: México, parte de red multinacional para estudiar el cáncer",2009-10-02,0.0,Jornada,-0.6597
La Jornada: Comenzó la segunda Feria del Libro Teatral en el Centro Cultural del Bosque,2009-10-02,-0.6249,Jornada,0.3182
La Jornada: Galardonan a Saviano en Alemania,2009-10-02,-0.5994,Jornada,0.4019
La Jornada: La Filarmónica de NY suspende visita a Cuba,2009-10-02,0.0,Jornada,0.0
La Jornada: Huicholes mostraron sus rituales en urbes europeas,2009-10-02,0.0772,Jornada,0.0
La Jornada: Ginecóloga comparte tanta belleza vista en retratos del Renacimiento,2009-10-02,0.6908,Jornada,0.7414
La Jornada: La crisis es el pretexto perfecto para el desdén oficial a la cultura,2009-10-02,0.0,Jornada,-0.5423
"La Jornada: Autor holandés propone múltiples interrogantes, dijo López Colomé",2009-10-02,0.0,Jornada,0.0
La Jornada: Cambiar las instituciones que se corrompen ya es una revolución: Enrique Dussel,2009-10-02,-0.7964,Jornada,0.0
La Jornada: Durango es el estado con mayor rezago cultural en el noroeste del país,2009-10-02,-0.34,Jornada,0.6369
La Jornada: Más de 40 artistas exploran las prácticas objetuales de dos décadas,2009-10-02,0.6249,Jornada,0.0
La Jornada: Vigilarán elecciones en el sindicato petrolero,2009-10-02,-0.926,Jornada,0.0
"La Jornada: Prepara el gobierno toma de Luz y Fuerza del Centro y el SME, advierte Esparza",2009-10-02,0.0,Jornada,-0.1027
"La Jornada: Hasta el miércoles, casi 33 mil casos de A",2009-10-02,-0.5106,Jornada,0.0
La Jornada: Canadá detiene a obispo efebófilo,2009-10-02,0.3818,Jornada,0.0
La Jornada: Desempleo en AL y el Caribe alcanzó 8.5% en segundo trimestre: Cepal y OIT,2009-10-02,-0.7003,Jornada,-0.3612
La Jornada: Recomiendan científicos medidas para proteger el maíz nativo,2009-10-02,0.8807,Jornada,0.6249
La Jornada: Operativo en España contra la pornografía infantil,2009-10-02,-0.8442,Jornada,0.0
La Jornada: Entrega comisión primer informe sobre incendio en guardería ABC,2009-10-02,0.25,Jornada,0.2023
La Jornada: Más de 5 mil migrantes muertos en 15 años de Operación Guardián,2009-10-02,0.0,Jornada,-0.6705
"La Jornada: Falleció ayer Cintio Vitier, figura de la cultura cubana contemporánea",2009-10-02,-0.7269,Jornada,0.0
La Jornada: Preocupa a autoridades pasatiempos de bachilleres,2009-10-02,-0.5,Jornada,0.0
La Jornada: Desdeñan plan para producir vacunas contra la influenza,2009-10-02,-0.93,Jornada,0.0
La Jornada: Genera la subasta en reversa ahorros en el IMSS por unos $500 millones,2009-10-02,-0.6249,Jornada,0.0
La Jornada: Gómez Urrutia pide al Senado retirar concesiones dadas a Grupo México,2009-10-02,-0.891,Jornada,0.0
"La Jornada: Se relega en el país la importancia de la semilla, señala especialista",2009-10-02,-0.0258,Jornada,0.3612
La Jornada: Pagó el gobierno de NL por predios para autopista privada,2009-10-02,0.3182,Jornada,0.0
La Jornada: Mueren sepultados 2 jóvenes en Chiapas,2009-10-02,-0.4767,Jornada,0.0
La Jornada: Colima: Convergencia y Panal pierden registro,2009-10-02,0.5719,Jornada,-0.4019
La Jornada: Revienta una facción de priístas sesión del Congreso de Morelos,2009-10-02,-0.1779,Jornada,0.0
La Jornada: Despide el PRI de Sonora 80 empleados,2009-10-02,0.0,Jornada,0.0
La Jornada: Ordenan redistritación en Chihuahua para 2010,2009-10-02,-0.6486,Jornada,0.0
La Jornada: Piden a CFE aclarar indemnizaciones a los afectados por la presa El Cajón,2009-10-02,-0.4939,Jornada,-0.1531
La Jornada: Toman posesión 58 ediles en SLP,2009-10-02,0.5423,Jornada,0.0
La Jornada: Nuevo obispo para Ciudad Obregón,2009-10-02,0.0,Jornada,0.0
La Jornada: Confirman la muerte de cinco bebés,2009-10-02,-0.875,Jornada,-0.5994
La Jornada: Dimite el rector de la Autónoma de BCS,2009-10-02,0.5423,Jornada,0.0
La Jornada: Prohíbe SCJN desvío de fondos en Yucatán,2009-10-02,0.0,Jornada,0.0
La Jornada: Intentan vincular con la guerrilla a dirigente de la OCEZ detenido,2009-10-02,-0.3182,Jornada,-0.4019
"La Jornada: En Veracruz, 50 mil afectados por lluvias",2009-10-02,0.0,Jornada,-0.1531
La Jornada: Anuncia Calzada Rovirosa revisión de cuentas públicas en Querétaro,2009-10-02,0.3182,Jornada,0.0
La Jornada: PRD: negocia auditor de Guerrero con el PRI,2009-10-02,0.0,Jornada,0.0
"La Jornada: Carlos Menem y ex funcionarios, procesados por obstruir la investigación del atentado a la AMIA",2009-10-02,-0.9753,Jornada,0.0
La Jornada: Inspeccionará la AIEA la nueva planta nuclear iraní de Qom,2009-10-02,0.3182,Jornada,0.0
La Jornada: Esperanza de que al iniciar el diálogo se suspenda la represión en Honduras: OEA,2009-10-02,0.8625,Jornada,-0.4215
"La Jornada: Los ex presidentes Flores Facussé y Ricardo Maduro, autores materiales del golpe a Zelaya",2009-10-02,0.1027,Jornada,0.0
"La Jornada: Murieron al menos mil 100 personas por el sismo en Sumatra; unas 200, en Samoa",2009-10-02,-0.7717,Jornada,-0.6705
"La Jornada: Con un desfile militar y civil, celebra 60 años la República Popular China",2009-10-02,-0.2732,Jornada,0.5719
"La Jornada: Destetar en AL ejércitos, pide Evo Morales",2009-10-02,0.34,Jornada,0.0
La Jornada: Este año una cuarta parte de los desempleados de AL serán de México,2009-10-02,-0.5994,Jornada,0.0
"La Jornada: Caída de remesas acumula 10 meses consecutivos, reporta el Banco de México",2009-10-02,0.25,Jornada,0.0
La Jornada: Defiende Zedillo la presencia del Estado para la recuperación,2009-10-02,0.0,Jornada,0.0
La Jornada: Zapatazo contra Strauss-Kahn en Estambul,2009-10-02,-0.7184,Jornada,0.0
La Jornada: Cemex vende a Holcim sus activos en Australia,2009-10-02,0.0,Jornada,0.1779
La Jornada: Retrasan eliminación de pago de larga distancia,2009-10-02,0.0,Jornada,0.0
"La Jornada: No hay violación en el caso Banamex, afirma la CNBV",2009-10-02,-0.9686,Jornada,-0.6597
La Jornada: Senadores priístas se manifiestan en contra de la desaparición de la Sectur,2009-10-02,-0.34,Jornada,-0.25
La Jornada: Caen 14% las ventas en la ciudad de México,2009-10-02,0.0,Jornada,0.0
"La Jornada: Tras 50 años, LA Times y Washington Post dejan de colaborar",2009-10-02,-0.3612,Jornada,-0.296
La Jornada: Crisis inhíbe compra de vivienda: Casas Geo,2009-10-02,0.0,Jornada,-0.6249
