article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Baja de 7.5% en recursos del AICM,2009-09-14,0.25,Jornada,0.0
La Jornada: Se saludan Navarrete y Calderón,2009-09-14,0.5267,Jornada,0.3182
La Jornada: El 20 de noviembre el PRD valorará si es factible un partido único de izquierda,2009-09-14,0.4939,Jornada,0.4019
"La Jornada: El aumento generalizado del IVA, muerto y enterrado: senadores",2009-09-14,-0.2023,Jornada,-0.4588
La Jornada: Justificación de SRE,2009-09-14,0.1779,Jornada,0.0
La Jornada: Atacan con granadas a policías de Puerto Vallarta; un herido,2009-09-14,-0.128,Jornada,-0.4767
La Jornada: Juez halla elementos para procesar al presidente municipal de Múgica,2009-09-14,-0.9485,Jornada,0.0
"La Jornada: Opera el IFE con menos recursos de los que demanda, revela informe",2009-09-14,0.5994,Jornada,0.0
"La Jornada: El caso Godoy, manipulado contra el PRD",2009-09-14,0.0,Jornada,-0.3818
La Jornada: Con 144 agentes el Grupo Beta debe atender a casi 500 mil migrantes,2009-09-14,-0.9393,Jornada,0.0
La Jornada: Legisladores: aún no hay fecha para que comparezca Arturo Chávez,2009-09-14,0.0772,Jornada,-0.296
La Jornada: Mínimo incremento al Conacyt en la propuesta presupuestal de Calderón,2009-09-14,-0.5267,Jornada,0.3182
La Jornada: La Jornada 2007,2009-09-14,-0.9545,Jornada,0.0
"La Jornada: La SRA estorbaba al gobierno panista, señalan investigadores",2009-09-14,-0.4404,Jornada,0.0
La Jornada: Se luchará para que a las empresas de mero arriba las obliguen a pagar impuestos: AMLO,2009-09-14,-0.1027,Jornada,-0.4019
La Jornada: Ratifican las fuerzas armadas respaldo a Calderón en la lucha contra el narcotráfico,2009-09-14,0.0,Jornada,0.0258
La Jornada: Reprograma el aeropuerto 189 vuelos,2009-09-14,-0.5994,Jornada,0.0
La Jornada: Incumple el gobierno derechos debido a políticas inadecuadas: Centro Vitoria,2009-09-14,-0.9042,Jornada,-0.7184
La Jornada: Abreva el FPDT en la vida zapatista en intenso encuentro en el caracol de Oventic,2009-09-14,0.9517,Jornada,0.0772
"La Jornada: Policías, deportistas, héroes, todo concepto entró en el desfile Niños del Bicentenario",2009-09-14,0.5267,Jornada,0.5106
"La Jornada: La rendición de cuentas, tema relegado",2009-09-14,0.2023,Jornada,0.0
"La Jornada: AN debe buscar el origen de su debacle en el mal gobierno de Calderón, afirman priístas",2009-09-14,0.128,Jornada,-0.5423
La Jornada: Denuncian falsedades en el libro de primero sobre naturaleza y sociedad,2009-09-14,-0.4019,Jornada,-0.34
"La Jornada: Murió Norman Borlaug, padre de la revolución verde",2009-09-14,-0.0258,Jornada,0.0
La Jornada: Organismo oficial pide que la IP participe en el servicio de agua,2009-09-14,-0.9136,Jornada,0.0
La Jornada: Oportunidades tiene deficiencias en salud y educación; deben repararse: Coneval,2009-09-14,-0.5423,Jornada,0.3818
La Jornada: Anula la crisis financiera todos los aumentos salariales de 2009,2009-09-14,-0.765,Jornada,-0.7184
"La Jornada: En Guerrero, entrega paralela de la medalla Sentimientos de la Nación",2009-09-14,0.0,Jornada,0.4767
La Jornada: Reclaman en Ecatepec conservar universidad,2009-09-14,0.0,Jornada,0.0
La Jornada: Rescatan a niña en BC,2009-09-14,0.0,Jornada,0.5106
"La Jornada: Damnificados de Valle Dorado, inconformes con indemnización",2009-09-14,0.0,Jornada,-0.6249
La Jornada: Recuerdan masacre de presos en Tijuana,2009-09-14,0.0,Jornada,-0.5106
La Jornada: Pagan electricidad con sueldo de funcionarios,2009-09-14,0.0,Jornada,-0.1027
La Jornada: Festeja Hidalgo la feria del charape,2009-09-14,0.7184,Jornada,0.7184
La Jornada: Riña entre priístas de Aguascalientes,2009-09-14,-0.296,Jornada,0.0
La Jornada: Acusan a ex diputado de arrasar con 158 hectáreas,2009-09-14,0.4939,Jornada,-0.296
La Jornada: Profanan ladrones iglesia en Yucatán,2009-09-14,0.0,Jornada,-0.5106
La Jornada: Protestan en Chiapas por abusos de la CFE,2009-09-14,0.0,Jornada,-0.6808
"La Jornada: Entre abucheos, Eduardo Bours deja la gubernatura de Sonora",2009-09-14,-0.8689,Jornada,0.0
La Jornada: Antidoping sorpresa a vigilantes de escuelas,2009-09-14,0.4404,Jornada,0.2732
La Jornada: Crece uso de drogas entre adolescentes en 15 municipios del estado de México,2009-09-14,0.2023,Jornada,0.1779
La Jornada: Rediciones literarias en madera integran reciente muestra de Reynaldo Velázquez,2009-09-14,-0.1027,Jornada,0.0
"La Jornada: Jóvenes autores lanzan Crisálida, para demostrar que la cultura es divertida y autosustentable",2009-09-14,0.0,Jornada,0.5106
"La Jornada: Beatriz Zamora rinde Tributo al negro, recuerdo de lo que en realidad somos",2009-09-14,0.7269,Jornada,0.0
"La Jornada: En charla post mortem, Hidalgo y Allende reconocen sus regadas",2009-09-14,-0.3182,Jornada,0.0
La Jornada: El Padre de la Patria se presenta ante los más pequeños en Dimes y diretes...,2009-09-14,0.0,Jornada,0.0
"La Jornada: Eugenio Aguirre publica Hidalgo, no sobre el viejito calvo, sino el apuesto y seductor",2009-09-14,-0.2732,Jornada,0.6486
La Jornada: Sería ideal que en 2010 se hiciera un corte de caja de la historia nacional,2009-09-14,0.2732,Jornada,0.3182
La Jornada: Rechaza Evo Morales la presencia de fuerzas militares extranjeras,2009-09-14,-0.2732,Jornada,-0.4939
La Jornada: Shimon Peres deja el hospital tras desmayo,2009-09-14,-0.3818,Jornada,0.0
La Jornada: Actos de extremistas en Alemania,2009-09-14,0.0,Jornada,0.0
La Jornada: Adquiere Venezuela préstamo por más de 2 mil mdd para comprar armas a Rusia,2009-09-14,0.3818,Jornada,0.0
"La Jornada: Irán, dispuesto a negociaciones, sin abordar el tema nuclear: Ahmadinejad",2009-09-14,0.4019,Jornada,0.3612
La Jornada: Legislador no volverá a disculparse con Obama,2009-09-14,0.0,Jornada,-0.0762
La Jornada: Referendo en pueblo catalán; 96% vota en favor de separarse del Estado español,2009-09-14,0.7783,Jornada,0.4019
La Jornada: Cien muertos por epidemias en Papúa,2009-09-14,-0.7506,Jornada,-0.6705
La Jornada: Difunden supuesto mensaje de Bin Laden a EU,2009-09-14,-0.7783,Jornada,0.0
La Jornada: Perecen 50 presuntos talibanes en combates con tropas invasoras en el oeste de Afganistán,2009-09-14,-0.9501,Jornada,-0.7506
La Jornada: Para Juan Almeida enfrentar la muerte era un deber como tantos que cumplió: Fidel Castro,2009-09-14,-0.7269,Jornada,0.1689
La Jornada: Marchan en Chile por los desaparecidos,2009-09-14,0.0,Jornada,-0.296
La Jornada: Convocan organizaciones magisteriales a un nuevo paro contra el gobierno de facto,2009-09-14,0.0,Jornada,-0.128
"La Jornada: Analistas: como está, la propuesta fiscal de Calderón provocará desequilibrios",2009-09-14,-0.9337,Jornada,0.0
La Jornada: América Latina perdió 300 mil mdd desde que comenzó la crisis: Cepal,2009-09-14,-0.4404,Jornada,-0.7506
La Jornada: Hace un año Lehman Brothers desató el caos,2009-09-14,0.8658,Jornada,-0.5719
"La Jornada: Decepcionante, la propuesta económica para 2010: CEESP",2009-09-14,-0.9393,Jornada,-0.4939
La Jornada: Obama marcará hoy el paso de políticas de salvamento a las de crecimiento,2009-09-14,-0.8979,Jornada,0.7096
La Jornada: Lanza Hacienda respuesta mediática a las críticas al presupuesto de egresos para 2010,2009-09-14,-0.3612,Jornada,-0.4404
La Jornada: Dejan sin efecto actos de la SCT contra Iusacell,2009-09-14,0.4939,Jornada,0.0
La Jornada: El paquete económico pone en riesgo al transporte,2009-09-14,-0.296,Jornada,-0.2732
"La Jornada: Erróneo, el impuesto antipobreza: analistas",2009-09-14,-0.891,Jornada,-0.4215
