article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Impulsan PRD y AN reforma a legislación de radio y tv, pese a la oposición priísta",2010-04-16,0.875,Jornada,0.0
"La Jornada: STUNAM, CNTE y la Unión de Juristas censuran la reforma laboral del PRD",2010-04-16,0.0,Jornada,0.0
"La Jornada: Muy importante, la visita de Calderón a EU: Napolitano",2010-04-16,0.34,Jornada,0.2716
La Jornada: Reunión militar trinacional,2010-04-16,0.3182,Jornada,0.0
La Jornada: Preocupan al IFE amagos de violencia contra procesos electorales locales,2010-04-16,0.2648,Jornada,-0.7845
"La Jornada: En apretada votación, rechaza el Senado expresar condena al gobierno de Cuba",2010-04-16,0.6908,Jornada,-0.7906
La Jornada: Aprueban que la Armada participe en ejercicios de Unitas,2010-04-16,-0.4767,Jornada,0.0
La Jornada: Proponen legisladores priístas dotar de mayor autonomía a la banca de desarrollo,2010-04-16,0.5859,Jornada,0.3612
La Jornada: Cartones,2010-04-16,0.0,Jornada,0.0
La Jornada: Senadores reducen a 30 días el plazo para el retiro paulatino del Ejército,2010-04-16,0.7003,Jornada,0.0258
La Jornada: Los políticos nos utilizan: mujeres presas en Querétaro,2010-04-16,-0.7351,Jornada,-0.5106
La Jornada: La ceniza puede hacer fallar los motores,2010-04-16,-0.8885,Jornada,-0.5423
"La Jornada: Prohibición constitucional a candidatos para contratar espots, demanda el TEPJF",2010-04-16,0.4019,Jornada,-0.5574
"La Jornada: Oficial, el SNTSS deja la UNT",2010-04-16,-0.296,Jornada,0.0
La Jornada: Culminó la visita de Michelle Obama,2010-04-16,-0.9231,Jornada,0.0
"La Jornada: Indolencia e hipocresía generan violencia, no el gobierno: SG",2010-04-16,-0.9601,Jornada,-0.6249
La Jornada: Solicita la CEM dar protección a los clérigos extorsionados por criminales,2010-04-16,-0.8885,Jornada,-0.5719
La Jornada: Mueren 38 personas en 12 estados en choques armados y ajustes de cuentas,2010-04-16,0.2023,Jornada,-0.6705
La Jornada: Ni en los atentados de NY reaccionó Londres así,2010-04-16,0.3612,Jornada,-0.2023
La Jornada: Demanda congelada,2010-04-16,-0.4404,Jornada,-0.128
"La Jornada: Se atascarán en San Lázaro cambios a la ley de medios, prevé Gobernación",2010-04-16,-0.296,Jornada,-0.25
La Jornada: Pemex declara inexistente información solicitada,2010-04-16,0.3818,Jornada,0.0
"La Jornada: En suspenso, 16 operaciones desde el AICM",2010-04-16,-0.296,Jornada,-0.4767
La Jornada: Invade a Europa una nube tóxica nacida en Islandia,2010-04-16,-0.296,Jornada,0.0
La Jornada: El mando policiaco único otorgará más fortaleza a los estados: Rodrigo Medina,2010-04-16,-0.9371,Jornada,0.7178
"La Jornada: Miente la indígena que afirma fue violada por militares, dicen autoridades ante la CIDH",2010-04-16,-0.975,Jornada,-0.8402
La Jornada: Consignan a 10 agentes de la PF comisionados en Juárez,2010-04-16,-0.4939,Jornada,0.0
La Jornada: Detiene la Armada en NL a tres presuntos miembros de Los Zetas,2010-04-16,-0.1531,Jornada,-0.4767
"La Jornada: México, entre los países donde más se recluta a jóvenes para prostituirlas",2010-04-16,-0.91,Jornada,0.0
La Jornada: Excarcelan a activista de la APPO,2010-04-16,-0.6808,Jornada,0.0
La Jornada: La inseguridad puede ser un ancla para el desarrollo del turismo,2010-04-16,0.0,Jornada,-0.4215
La Jornada: Descubre yacimiento de gas natural,2010-04-16,0.2263,Jornada,0.3612
La Jornada: Contratos de Pemex implican nuevo marco legal: consejero,2010-04-16,0.6249,Jornada,0.128
La Jornada: BBVA Bancomer coloca notas de capital por mil millones de dólares,2010-04-16,0.0,Jornada,0.0
La Jornada: Se busca que México sea destino premium para viajeros de elite,2010-04-16,0.0,Jornada,0.0
La Jornada: Telefónicas entregan con lentitud los datos de usuarios al Renaut,2010-04-16,-0.9246,Jornada,0.0
La Jornada: Aprueba la Cámara de Diputados la Estrategia Nacional de Energía,2010-04-16,0.7203,Jornada,0.5859
"La Jornada: Prioridad, procesar todos los usuarios",2010-04-16,-0.5267,Jornada,0.0
La Jornada: Ofrece Calderón ir por reformas necesarias y no sólo las políticamente convenientes,2010-04-16,-0.8591,Jornada,0.0
La Jornada: Cuatro dependencias concentran 90% de compras a pymes,2010-04-16,0.34,Jornada,0.0
La Jornada: No se van a caer proyectos por falta de financiamiento,2010-04-16,0.0,Jornada,-0.5423
La Jornada: Rehúsa Gobernación decir cómo validará el registro de celulares,2010-04-16,-0.0516,Jornada,0.3612
La Jornada: La CND refrendará la admiración y respeto por la coreógrafa y docente Nellie Happee,2010-04-16,-0.0772,Jornada,0.836
La Jornada: Remozan la casa natal de Venustiano Carranza,2010-04-16,0.4767,Jornada,0.0
La Jornada: Dictamina el INAH que 252 objetos de la colección Patterson son falsos,2010-04-16,-0.886,Jornada,0.0
"La Jornada: Muere Enrique Nalda, eminente especialista en la cultura maya",2010-04-16,-0.8176,Jornada,-0.5994
"La Jornada: Se creará un centro de producción de danza contemporánea, anuncia el INBA",2010-04-16,-0.6486,Jornada,0.25
"La Jornada: Herederos de Dalí, sin derecho a beneficios por obra del artista en Francia",2010-04-16,0.5994,Jornada,0.1027
La Jornada: Promete Obama que astronautas llegarán a Marte antes de 30 años,2010-04-16,-0.1531,Jornada,0.3818
La Jornada: Hallan en Coahuila fósil de calamar gigante,2010-04-16,0.0,Jornada,0.0
La Jornada: El Papa llama a la penitencia,2010-04-16,-0.802,Jornada,0.0
"La Jornada: Registro sanitario para medicamentos biocomparables, en unos 4 años: Cofepris",2010-04-16,-0.0258,Jornada,0.0
"La Jornada: Incorrecto, que el sistema educativo gire en torno a Enlace: líder del SNTE",2010-04-16,-0.7964,Jornada,0.0
La Jornada: Expertos: urge cambiar el modelo de manejo hídrico en el valle de México,2010-04-16,-0.7269,Jornada,0.2023
"La Jornada: Problema crítico, los hundimientos en la zona metropolitana: José Luis Luege",2010-04-16,0.0516,Jornada,-0.6124
La Jornada: La invasión de erotismo socava celibato y respeto a niños: obispo,2010-04-16,-0.8271,Jornada,0.1779
La Jornada: Cofepris: no se debe fumar en estadios y sitios abiertos,2010-04-16,-0.2023,Jornada,0.0
"La Jornada: Habrá alta demanda de aspirantes a ingresar a la UAM, señala el rector",2010-04-16,-0.7269,Jornada,0.1779
La Jornada: Cuestionan diputados medidas contra la obesidad,2010-04-16,-0.6808,Jornada,0.0
La Jornada: Avanza prohibición para vender cartera vencida de Infonavit,2010-04-16,-0.7269,Jornada,0.0
La Jornada: Posterga la Corte decisión sobre el caso Posadas Ocampo,2010-04-16,-0.7351,Jornada,0.0
La Jornada: Vacían un cajero automático en alcaldía,2010-04-16,-0.6486,Jornada,-0.2023
La Jornada: Reunirá Fox dinero para la campaña de Xóchitl Gálvez,2010-04-16,-0.0516,Jornada,0.0
La Jornada: Falla deja sin agua a 35 mil en Aguascalientes,2010-04-16,0.0,Jornada,0.0
La Jornada: Explosión en sucursal bancaria del Edomex,2010-04-16,-0.6597,Jornada,0.0
"La Jornada: Deuda de BCS, bomba de tiempo: Leonel Cota",2010-04-16,0.0,Jornada,-0.6908
La Jornada: Ex procurador va por magistratura,2010-04-16,0.5267,Jornada,0.0
"La Jornada: Acercarse a los votantes y evitar confrontaciones, estrategia del PRI",2010-04-16,0.8519,Jornada,-0.5994
La Jornada: Prevén sequía menos severa en el Golfo,2010-04-16,-0.296,Jornada,-0.3415
La Jornada: Roban dinero de becas para niños en Durango,2010-04-16,0.0,Jornada,-0.4939
La Jornada: Hacen de la crianza natural de pavos un negocio rentable,2010-04-16,0.0,Jornada,0.6597
La Jornada: Aprueban reinstalar al edil de Zitácuaro,2010-04-16,-0.8074,Jornada,0.4215
La Jornada: Gana Zacatecas juicio contra Telmex; cobrará impuesto por colocar casetas,2010-04-16,0.0516,Jornada,0.5859
La Jornada: Amenaza la temporada de calor a damnificados por sismo en BC,2010-04-16,0.0258,Jornada,-0.6908
La Jornada: Hallan presunto centro de espionaje en QR,2010-04-16,0.0,Jornada,0.0
"La Jornada: Silencio en Cuba sobre la muerte de un chileno, gerente de empresa investigada por corrupción",2010-04-16,-0.5574,Jornada,-0.5994
La Jornada: Adolescente sicario en Guatemala,2010-04-16,-0.8591,Jornada,0.0
"La Jornada: Desigual, injusto e incapaz, el actual orden internacional, denuncia Lula",2010-04-16,-0.5267,Jornada,-0.875
La Jornada: Histórico debate en tv de candidatos en GB,2010-04-16,0.0,Jornada,0.0
La Jornada: Lluvias en India dejan miles de damnificados,2010-04-16,-0.5994,Jornada,-0.3612
La Jornada: Los Obama ganaron más de 5 mdd en 2009,2010-04-16,0.3182,Jornada,0.5719
"La Jornada: Frío, altitud y falta de transporte dificultan el auxilio en la provincia china de Qinghai",2010-04-16,-0.8591,Jornada,-0.5859
La Jornada: Chávez promete más ayuda a Nicaragua,2010-04-16,0.0,Jornada,0.3818
La Jornada: Comparece Garzón ante el Tribunal Supremo; niega haber recibido dinero de Santander,2010-04-16,-0.8481,Jornada,0.2023
La Jornada: Dimite el presidente de Kirguistán y abandona el país; viaja a Kazajstán,2010-04-16,-0.4939,Jornada,-0.3182
La Jornada: Marchan argentinos en favor de la ley de medios,2010-04-16,0.4767,Jornada,0.4019
La Jornada: Gates: el acuerdo con Brasil no es injerencista ni es sólo militar,2010-04-16,0.9468,Jornada,0.4939
