article,pub_date,nltk_score,source,nltk_score_title
Additional Detail from Magnetar Response,2010/04/09,0.8344,ProPublica,0.0
The Timeline of Magnetar’s Deals,2010/04/09,-0.1406,ProPublica,0.0
Magnetar Gets Started,2010/04/09,0.9892,ProPublica,0.0
E-mails Give Glimpse of How Magnetar Worked,2010/04/09,-0.7498,ProPublica,0.0
The Timeline of Magnetar’s Deals,2010/04/09,-0.1406,ProPublica,0.0
The Magnetar Trade: How One Hedge Fund Helped Keep the Bubble Going,2010/04/09,-0.9821,ProPublica,0.0
Magnetar’s (Nearly) Perpetual Money Machine,2010/04/09,0.8729,ProPublica,0.0
A Lawsuit Suggests Merrill Lynch’s Role,2010/04/09,-0.5191,ProPublica,-0.2263
Magnetar’s Exit: A Deal So Bad Even a Credit-Rating Agency Balked,2010/04/09,0.9823,ProPublica,-0.5849
The Magnetar Trade: How One Hedge Fund Helped Keep the Bubble Going,2010/04/09,0.9988,ProPublica,0.0
JPMorgan Gets Into the Game—And Loses,2010/04/09,0.9684,ProPublica,-0.3182
The Anatomy of the Magnetar Trade,2010/04/09,-0.5719,ProPublica,0.0
Concerns About ‘Reputational Risks’,2010/04/09,-0.0985,ProPublica,0.0
Fannie Execs Blame Failure on Company’s ‘Impossible’ Dual Purpose,2010/04/09,0.9342,ProPublica,-0.6908
Investigations You Need to Read: Friday,2010/04/09,0.9455,ProPublica,0.0
