article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Exige Encinas respetar la legislación para evitar la ingobernabilidad en San Lázaro,2010-08-26,-0.9169,Jornada,0.2263
La Jornada: Los políticos del país se pelean por brindar beneficios a las televisoras: Javier Corral,2010-08-26,0.6486,Jornada,0.0
La Jornada: Votos nulos fortalecen a partidos: IFE,2010-08-26,0.2732,Jornada,0.6124
La Jornada: Presenta hoy Calderón iniciativa contra el lavado de dinero,2010-08-26,0.0,Jornada,0.0
La Jornada: México SOS apoyo las recompensas,2010-08-26,0.0,Jornada,0.6808
La Jornada: Calderón propone policías con mando único estatal; varios alcaldes se rebelan,2010-08-26,-0.8176,Jornada,-0.1531
La Jornada: El narco quebró la armonía en la Tarahumara: Alice Micheli,2010-08-26,-0.7269,Jornada,-0.0258
La Jornada: Demanda el Ifai concretar la reforma a la Ley Federal de Transparencia,2010-08-26,0.0997,Jornada,0.0
"La Jornada: En 2010, la Cámara de Diputados prevé un gasto operativo de $5 mil 734 millones",2010-08-26,0.0,Jornada,0.0
La Jornada: Calderón no irá al Senado: Madero,2010-08-26,0.4588,Jornada,0.0
La Jornada: Interrogan a policías tras hallar patrulla clonada en Zacatecas,2010-08-26,0.765,Jornada,-0.3818
"La Jornada: Consternación en El Salvador, Guatemala y EU",2010-08-26,-0.4588,Jornada,0.0
"La Jornada: Militares en retiro, dispuestos a volver para combatir el crimen organizado",2010-08-26,-0.2732,Jornada,-0.4215
"La Jornada: De los más sanguinarios, se les vincula a extorsión, plagio y tráfico de indocumentados",2010-08-26,-0.8126,Jornada,0.0
La Jornada: Condena Alto Comisionado la violencia en Oaxaca,2010-08-26,-0.8885,Jornada,-0.8126
La Jornada: Calderón violó la Constitución en materia electoral; ninguna sanción,2010-08-26,-0.9062,Jornada,-0.6705
La Jornada: ONG exigen acciones del gobierno,2010-08-26,0.25,Jornada,-0.128
La Jornada: Comisiones de derechos humanos se reúnen con Blake,2010-08-26,0.0772,Jornada,0.0
La Jornada: Condena de Calderón a la matanza en San Fernando,2010-08-26,0.0,Jornada,-0.5859
"La Jornada: Ni un peso más a Calderón en el presupuesto de 2011, advierten priístas",2010-08-26,-0.7184,Jornada,-0.3818
La Jornada: Exhorta Martí a castigar en las urnas a malos gobiernos,2010-08-26,-0.765,Jornada,-0.7845
"La Jornada: Igual que hace 200 años, México padece pobreza e inequidad, dice Peña Nieto",2010-08-26,-0.2023,Jornada,-0.7506
La Jornada: Esperan los dos ecologistas que brille la justicia y la CIDH los declare inocentes,2010-08-26,0.8225,Jornada,0.7003
"La Jornada: Rojas regala iPads a 236 diputados priístas; nos adelantamos al Congreso virtual, dice",2010-08-26,0.7096,Jornada,0.0
La Jornada: Zetas ejecutaron por la espalda a los 72 migrantes; no pudieron pagar rescate,2010-08-26,-0.8126,Jornada,0.0762
La Jornada: Ordena juez a aeropuertos dar servicio a la empresa,2010-08-26,0.25,Jornada,0.0
La Jornada: Piñera vende Chilevisión a Time Warner,2010-08-26,0.4588,Jornada,0.0
La Jornada: ABM: la falta de reforma fiscal contrae la inversión productiva y el consumo,2010-08-26,-0.5267,Jornada,-0.3182
La Jornada: Se vende el diario The Washington Times,2010-08-26,0.7506,Jornada,0.0
La Jornada: Sale más capital en el cuatrienio de Calderón que en el de Fox,2010-08-26,0.5106,Jornada,0.0
La Jornada: La Permanente presenta controversia contra Calderón por nombrar a De Swaan,2010-08-26,0.25,Jornada,0.0
La Jornada: Hay otros inversionistas interesados además de Tenedora K: Lizette Clavel,2010-08-26,-0.7783,Jornada,0.4019
La Jornada: Inegi: hay casi 2.7 millones de mexicanos desocupados,2010-08-26,-0.8278,Jornada,0.0
La Jornada: Deshabilita Mexicana página de Internet,2010-08-26,-0.2732,Jornada,0.0
