article,pub_date,nltk_score,source,nltk_score_title
La Jornada: 11% growth in the telecommunications business,2010-12-10,-0.296,Jornada,0.3818
La Jornada: Senators of the PAN bring down changes to the competition law,2010-12-10,-0.296,Jornada,0.0
La Jornada: 17 billionaires added to the philanthropic initiative of Gates and Buffett,2010-12-10,-0.296,Jornada,0.0
La Jornada: Sectur: return of Mexicana to benefit tourism,2010-12-10,0.128,Jornada,0.4588
La Jornada: Process against Cemex in the EU,2010-12-10,-0.6597,Jornada,0.0
"La Jornada: Computer and high-speed Internet, for few Mexicans",2010-12-10,-0.9287,Jornada,0.0
"La Jornada: Until the first half of the year, the SCT underwent 40% of its budget",2010-12-10,0.0,Jornada,0.0
La Jornada: Grupo Salinas to file criminal complaint against Nextel for using spectrum,2010-12-10,-0.8271,Jornada,-0.6808
La Jornada: Mexico issues warrants for 2 thousand million dollars: SHCP,2010-12-10,0.3818,Jornada,0.0
La Jornada: Profeco and CRE to regulate natural gas service,2010-12-10,0.2732,Jornada,0.3612
La Jornada: CFE changes its administrative structure,2010-12-10,0.0,Jornada,0.0
La Jornada: New technique allows to detect hereditary evils in the fetus,2010-12-10,-0.6597,Jornada,-0.5719
La Jornada: Associated smoking with hyperactivity in children,2010-12-10,0.8442,Jornada,0.0
La Jornada: Piedras Negras will have two new museums; 60% advance in the North Border,2010-12-10,-0.7269,Jornada,0.0
"La Jornada: Codex AQ, a fresh and valid re-reading of the work of Quezada",2010-12-10,-0.3612,Jornada,0.3182
La Jornada: There is creativity; The bad thing is to reduce resources to the culture,2010-12-10,-0.296,Jornada,-0.2263
La Jornada: They danced like the gods,2010-12-10,0.4404,Jornada,0.3612
La Jornada: Double passes for El niño y la música,2010-12-10,0.0,Jornada,0.0
La Jornada: Chimalhuacán deprived of funds for security,2010-12-10,0.0,Jornada,-0.1779
"La Jornada: Police surveillance in Durango for the arrival of about 10,000 Mexicans",2010-12-10,0.0,Jornada,0.0
La Jornada: Condemns Amnesty International attacks and threats against activist,2010-12-10,0.0,Jornada,-0.8402
"La Jornada: Suspends Diconsa supplies in Durango, by wave of assaults",2010-12-10,0.0516,Jornada,-0.5423
La Jornada: The attorney of Aguascalientes,2010-12-10,0.0,Jornada,0.0
"La Jornada: Chiconcuac and Texcoco, no dumping ground",2010-12-10,-0.8957,Jornada,-0.5423
"La Jornada: Sister of Xóchitl Gálvez, in the list of aviators, accuses the tricolor of Hidalgo",2010-12-10,-0.6705,Jornada,-0.34
La Jornada: Hiding military intervention in evictions,2010-12-10,-0.2023,Jornada,-0.296
La Jornada: The PRI will seek a coalition in Edomex,2010-12-10,0.128,Jornada,0.0
La Jornada: Block two CFE offices in Guaymas,2010-12-10,0.4767,Jornada,-0.4404
La Jornada: Governor of Coahuila justifies his aspiration to lead the Institutional,2010-12-10,0.0,Jornada,0.0
La Jornada: PRI and section 22 of the SNTE reject the ratification of Irma Piñeyro in Oaxaca,2010-12-10,-0.6808,Jornada,-0.4019
La Jornada: Frost has left 11 dead in Chihuahua; Carom in Edomex,2010-12-10,-0.6249,Jornada,-0.6486
La Jornada: Farmers demand increase in agricultural spending in Guanajuato,2010-12-10,0.0,Jornada,0.2023
La Jornada: The UdeG is in crisis because a mafia loots it: Emilio González,2010-12-10,-0.5267,Jornada,-0.6249
La Jornada: Presents Chiapas law to mitigate climate change,2010-12-10,0.5267,Jornada,0.0
La Jornada: Calderón urges delegates to overcome recriminations and concentrate efforts,2010-12-10,-0.7783,Jornada,0.0
La Jornada: UAM Researcher seeks help for Haiti,2010-12-10,-0.296,Jornada,0.4019
"La Jornada: Mexico, victim of global warming, plays with the executioner",2010-12-10,0.296,Jornada,0.128
La Jornada: Microalgae help human health and ecology,2010-12-10,0.0,Jornada,0.4019
La Jornada: SOS of climate refugees,2010-12-10,-0.2732,Jornada,0.0
"La Jornada: Cancun may be the grave of the Kyoto Protocol, NGOs warn",2010-12-10,0.4767,Jornada,-0.4588
La Jornada: Reform to maintain a public university,2010-12-10,-0.296,Jornada,0.0
The Day: Avoiding a new Copenhagen requires Evo Morales,2010-12-10,-0.8271,Jornada,-0.34
La Jornada: EU rules out making any COP 16 agreement mandatory,2010-12-10,-0.0516,Jornada,0.5423
La Jornada: National Bicentennial Youth Award,2010-12-10,0.5423,Jornada,0.5423
