article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Los funcionarios estatales viviremos en Ciudad Juárez, asegura Baeza Terrazas",2010-02-08,-0.6249,Jornada,0.0
La Jornada: Hallan la cabeza de un jefe policiaco del municipio guerrerense de Petatlán,2010-02-08,-0.6808,Jornada,0.0
La Jornada: Misa y protesta,2010-02-08,0.0,Jornada,-0.25
La Jornada: Presionan mineros para saber si Grupo México financia a disidentes,2010-02-08,-0.1779,Jornada,0.0
La Jornada: Prevé el sol azteca recibir $428.2 millones y gastar 11% más en 2010,2010-02-08,0.0,Jornada,0.0
La Jornada: Aumentan accidentes laborales,2010-02-08,-0.5267,Jornada,0.0
La Jornada: En Bucareli aprietan el paso para que se apruebe la reforma política de Calderón,2010-02-08,0.9153,Jornada,0.0
La Jornada: La crisis ya había sido advertida,2010-02-08,-0.9413,Jornada,-0.7351
La Jornada: Televisa y Tv Azteca no han pagado un solo peso de multas,2010-02-08,0.25,Jornada,0.0
"La Jornada: Robaron miles de millones de pesos al ejecutar la extinción de LFC, denuncia Martín Esparza",2010-02-08,-0.9062,Jornada,-0.4939
La Jornada: El zigzagueo es fatal en política; no hay que moverse ni siquiera al centro: AMLO,2010-02-08,-0.6597,Jornada,-0.5423
La Jornada: Enfrentamiento por el predio Bolón Ajaw deja 12 indígenas heridos,2010-02-08,-0.4588,Jornada,-0.6124
"La Jornada: Alianzas con PT, Convergencia y AN, aprueba consejo del PRD",2010-02-08,0.5423,Jornada,0.0
La Jornada: Organizaciones proponen referendo para revocar el mandato de Calderón,2010-02-08,0.0,Jornada,0.0
"La Jornada: La ASF, sin armas: Jaime Cárdenas",2010-02-08,-0.296,Jornada,0.0
La Jornada: Envío de ayuda a Haití exhibe el abandono en que se encuentra la Armada mexicana,2010-02-08,-0.296,Jornada,-0.5267
"La Jornada: Los partidos se dedican a administrar su patrimonio, asegura ex aspirante chileno",2010-02-08,0.7506,Jornada,0.6908
La Jornada: Se dificulta la recuperación de aerolíneas,2010-02-08,-0.6486,Jornada,-0.3612
La Jornada: Responde Gobernación a Baeza,2010-02-08,-0.6249,Jornada,0.0
La Jornada: Realiza el SAT auditorías específicas a trasnacionales ante denuncias de elusión,2010-02-08,0.3818,Jornada,-0.4019
"La Jornada: Comisionado con mando policiaco y militar, la propuesta para Juárez",2010-02-08,0.6597,Jornada,0.0
La Jornada: Exigen renuncia de funcionario de la Cámara,2010-02-08,0.4939,Jornada,-0.4019
La Jornada: El traslado de poderes no resolverá los asesinatos en la ciudad fronteriza,2010-02-08,-0.6486,Jornada,0.3875
La Jornada: Poco a poco el PRI deja atrás la crisis que le restó poder de convencimiento,2010-02-08,-0.8834,Jornada,-0.34
La Jornada: La UE busca su recuperación con un nuevo plan económico para los próximos 10 años,2010-02-08,-0.1779,Jornada,0.0
La Jornada: Autorizan importar 250 mil toneladas de azúcar para frenar los precios,2010-02-08,0.7351,Jornada,0.0
La Jornada: Cayó 3.4% el financiamiento directo de la banca al sector privado en diciembre,2010-02-08,0.9349,Jornada,0.0
La Jornada: Descarta Geithner nueva recesión en EU,2010-02-08,-0.9584,Jornada,-0.5859
La Jornada: Es insuficiente el descuento temporal en tarifas eléctricas para la industria,2010-02-08,-0.6179,Jornada,0.0
La Jornada: Prevén aumento de 10% en el PIB chino este año,2010-02-08,0.0,Jornada,0.3182
"La Jornada: Excedentes hasta de 5 mil mdd por venta de crudo, calculan",2010-02-08,-0.5994,Jornada,-0.5719
La Jornada: Analistas estiman improbable la fusión de América Móvil-Telmex,2010-02-08,-0.4588,Jornada,0.0
La Jornada: JAL seguirá en sociedad con American Airlines,2010-02-08,0.0,Jornada,0.0
"La Jornada: México, lejos de comenzar el crecimiento, dice Concamin",2010-02-08,-0.6124,Jornada,0.3818
La Jornada: EU desea resolver el litigio atunero con México fuera de la OMC y el TLCAN,2010-02-08,-0.8689,Jornada,0.2023
La Jornada: Confirma el instituto que aún no hay concurso,2010-02-08,-0.5267,Jornada,-0.296
La Jornada: Irán rompe relaciones con el Museo Británico,2010-02-08,-0.5267,Jornada,0.0
La Jornada: Julia Jones tomará al podio de la Royal Opera House de Londres,2010-02-08,-0.9451,Jornada,0.0
La Jornada: Ya está abierto el noveno Festival de la Lectura de Paseo de la Reforma,2010-02-08,0.0,Jornada,0.4939
"La Jornada: Mokurito, novedosa técnica japonesa de grabado, por primera vez en el país",2010-02-08,-0.8779,Jornada,0.0
La Jornada: El INBA aún no licita para la ampliación del museo Tamayo,2010-02-08,-0.9501,Jornada,0.0
La Jornada: Reportan filtraciones de lluvia en la bóveda de la Catedral Metropolitana,2010-02-08,0.0,Jornada,0.0
La Jornada: Francisco Ugarte interviene la casa de Luis Barragán y la transforma en reflejos,2010-02-08,0.128,Jornada,0.0
La Jornada: Logra la Cruz Roja recuperar su prestigio tras el conflicto de 1998,2010-02-08,-0.9423,Jornada,-0.3182
La Jornada: Servicios que brinda el organismo en México,2010-02-08,0.0,Jornada,0.0
"La Jornada: Matrimonio, institución vetusta y obsoleta, dice investigadora",2010-02-08,-0.9081,Jornada,0.0
La Jornada: Instan a la SEP a cumplir pacto sobre la enseñanza de filosofía en bachillerato,2010-02-08,0.7506,Jornada,0.4404
La Jornada: Fracasan planes de la Conafor pese a su presupuesto creciente,2010-02-08,-0.8074,Jornada,-0.6147
La Jornada: Aprueban dirigencias plataforma y programa de la coalición en Oaxaca,2010-02-08,0.836,Jornada,0.0
La Jornada: Hoy podría ingresar el frente frío 30,2010-02-08,0.0,Jornada,0.0
"La Jornada: Las inundaciones, por la negligencia del gobierno: pobladores de Neza a Peña Nieto",2010-02-08,-0.891,Jornada,0.0
La Jornada: Peligran 38 escuelas en Tlaxcala,2010-02-08,-0.296,Jornada,0.0
La Jornada: El megaproyecto turístico de Jalisco carece de plan maestro,2010-02-08,-0.7783,Jornada,-0.296
La Jornada: Se enfrentan clanes de Monreal y García Medina por Zacatecas,2010-02-08,-0.2023,Jornada,0.0
"La Jornada: Beatriz Zavala, candidata de AN en Mérida",2010-02-08,-0.4939,Jornada,0.0
La Jornada: Deslaves han causado 22 muertes en Michoacán; 83 desaparecidos,2010-02-08,-0.9169,Jornada,-0.296
La Jornada: Minera insiste en explotar reserva en BCS,2010-02-08,0.3182,Jornada,-0.4404
La Jornada: Aventaja Rajoy a Rodríguez Zapatero,2010-02-08,0.0,Jornada,0.0
La Jornada: India lleva a cabo exitoso ensayo del misil tierra-tierra Agni III: Defensa,2010-02-08,0.25,Jornada,0.6486
La Jornada: Las FARC liberarán a dos rehenes este mes,2010-02-08,0.4767,Jornada,0.5106
La Jornada: Gana en Costa Rica la socialdemócrata Laura Chinchilla con más de 46% de votos,2010-02-08,-0.296,Jornada,0.5719
La Jornada: Obama plantea cumbre sobre reforma,2010-02-08,0.0,Jornada,0.0
La Jornada: Ordena Ahmadinejad producir uranio enriquecido a 20% en plantas iraníes,2010-02-08,0.7845,Jornada,0.0
La Jornada: Cae popularidad de Berlusconi,2010-02-08,-0.4767,Jornada,0.4767
La Jornada: Tropas de EU se quedarán en Haití el tiempo necesario,2010-02-08,0.0,Jornada,0.0
La Jornada: Laboristas británicos se recuperan,2010-02-08,0.1779,Jornada,0.0
La Jornada: EU: explosión en planta eléctrica deja 5 muertos,2010-02-08,-0.9201,Jornada,-0.6486
La Jornada: OTAN plantea alianza con India y China,2010-02-08,0.0,Jornada,0.0
La Jornada: Nueva Orleáns tiene alcalde blanco,2010-02-08,-0.296,Jornada,0.0
"La Jornada: Baltimore, Washington y Filadelfia, a la tarea de dragar casi un metro de nieve",2010-02-08,0.2732,Jornada,0.0
"La Jornada: Para mantener continuidad, Chávez va por 110 diputados en septiembre",2010-02-08,-0.9469,Jornada,0.0
"La Jornada: Viktor Yanukovich, posible ganador en la segunda ronda por la presidencia en Ucrania",2010-02-08,0.7269,Jornada,0.5859
La Jornada: Argentina: operan al ex presidente Kirchner,2010-02-08,0.0,Jornada,0.0
