article,pub_date,nltk_score,source,nltk_score_title
La Jornada: El capitalismo llegó a su crisis terminal: González Casanova,2010-01-03,0.9674,Jornada,-0.6249
"La Jornada: Un policía, entre los 18 muertos que dejó ayer la ola de violencia",2010-01-03,-0.5267,Jornada,-0.8625
La Jornada: Avalan Infonavit y notario venta de edificio hipotecado: 17 defraudados,2010-01-03,-0.0258,Jornada,0.0
"La Jornada: Peligran 240 islas mexicanas por falta de registro oficial, denuncia senador de AN",2010-01-03,-0.9169,Jornada,-0.8126
La Jornada: Pide CIOAC supervisar fondos para el campo,2010-01-03,-0.296,Jornada,0.0
"La Jornada: Crisis, inseguridad y alza en impuestos afectarán los comicios estatales este año",2010-01-03,0.0516,Jornada,-0.7845
La Jornada: Crisis y falta de certificación pega fuerte a locutores: Buaún,2010-01-03,-0.9313,Jornada,-0.4767
La Jornada: Aprehenden a uno de los asesinos de la familia del marino caído en Morelos,2010-01-03,-0.128,Jornada,-0.7783
"La Jornada: Detienen en Sinaloa a Carlos Beltrán Leyva, hermano de El jefe de jefes",2010-01-03,-0.0258,Jornada,0.0
"La Jornada: Los incrementos a productos y servicios pulverizan minisalarios, afirma el CILAS",2010-01-03,-0.9246,Jornada,0.0
La Jornada: Aumentó a casi 10 millones de barriles diarios la producción rusa de petróleo,2010-01-03,-0.4939,Jornada,0.2732
La Jornada: Se aprestan en Dubai a estrenar el edificio más alto del mundo,2010-01-03,0.34,Jornada,0.0
La Jornada: Despide The Washington Times a 370 empleados,2010-01-03,0.1531,Jornada,0.0
La Jornada: Caída de 20% del crédito al consumo otorgado por la banca en 2009: BdeM,2010-01-03,0.9001,Jornada,0.5574
La Jornada: Evidenció la crisis insuficiencia de ingresos tributarios y ausencia de reformas: Santander,2010-01-03,-0.128,Jornada,-0.6249
La Jornada: Subirán tarifas de electricidad según inflación y combustibles,2010-01-03,0.3818,Jornada,0.0
La Jornada: Antología de narradores eslovenos refleja la relación entre identidad y literatura,2010-01-03,-0.1027,Jornada,0.0
"La Jornada: Archivo y órgano de la parroquia de Dolores, en estado deplorable",2010-01-03,-0.5423,Jornada,0.0
La Jornada: Se cumplirá medio siglo de la muerte del escritor francés Albert Camus,2010-01-03,-0.8074,Jornada,-0.5994
"La Jornada: Roban 30 obras, algunas de Picasso y Rosseau",2010-01-03,0.0,Jornada,0.0
La Jornada: Herrera da vigencia al relato del descenso al Mictlán desde nuevas coordenadas,2010-01-03,0.25,Jornada,0.0
La Jornada: José Muñoz dota de claroscuros al mundo del jazz de El perseguidor,2010-01-03,-0.2263,Jornada,0.0
La Jornada: Sarah Thornton aborda las definiciones y subculturas del mundo del arte,2010-01-03,0.0,Jornada,0.0
La Jornada: Popurrí de novelas,2010-01-03,0.8271,Jornada,0.0
La Jornada: Desfile descomunal en China,2010-01-03,0.3182,Jornada,0.0
"La Jornada: Negligencia en servicios de hemodiálisis subrogados por el IMSS, dicen enfermos",2010-01-03,-0.8625,Jornada,0.0
"La Jornada: En riesgo de desaparecer, pequeños y medianos productores de leche",2010-01-03,-0.3818,Jornada,-0.2732
La Jornada: Existe déficit político y financiero en educación para jóvenes y adultos en AL,2010-01-03,-0.9231,Jornada,-0.4019
La Jornada: Hallan restos del primer avión que llegó a la Antártida,2010-01-03,-0.1027,Jornada,0.0
La Jornada: La UNAM reanuda sus labores mañana,2010-01-03,0.0,Jornada,0.0
"La Jornada: En crisis, el modelo tradicional de la masculinidad hegemónica",2010-01-03,-0.4019,Jornada,-0.6249
"La Jornada: La violencia, un patrón de relación socialmente no condenado",2010-01-03,-0.9866,Jornada,-0.6249
La Jornada: Riña en los Altos de Chiapas; 20 heridos,2010-01-03,0.0,Jornada,-0.4019
La Jornada: Suman 11 víctimas del frío en Chihuahua,2010-01-03,0.0,Jornada,-0.3182
La Jornada: Desplome en plaza de toros de Jalisco deja 33 heridos,2010-01-03,0.0,Jornada,-0.4019
La Jornada: Continuará recuperación de playas de Cancún: Sectur,2010-01-03,0.7003,Jornada,0.0
"La Jornada: 2009, el año más violento en la historia de Chihuahua; documentan 3,500 ejecuciones",2010-01-03,-0.8519,Jornada,-0.6361
La Jornada: Indagan mortandad de peces en Veracruz,2010-01-03,0.0,Jornada,0.0
La Jornada: Deplora Aguilar Padilla levantón de periodista,2010-01-03,0.0,Jornada,0.0
La Jornada: Cae autobús a un barranco en la vía Tijuana-Mexicali; 14 muertos,2010-01-03,-0.128,Jornada,-0.6486
La Jornada: Al Qaeda en Yemen entrenó y armó a Umar Faruk Abdulmutallab: Obama,2010-01-03,-0.802,Jornada,0.0
La Jornada: Aumentan a 93 los muertos en el atentado durante un juego de voleibol en Pakistán,2010-01-03,-0.9638,Jornada,-0.8225
La Jornada: Crece a 22 cifra de muertos por bombardeo en Colombia,2010-01-03,-0.296,Jornada,-0.5994
La Jornada: Denuncia el presidente de Ecuador una conspiración contra su gobierno,2010-01-03,-0.128,Jornada,-0.743
La Jornada: Rechaza el Parlamento afgano a 17 de 24 ministros propuestos por Hamid Karzai,2010-01-03,-0.9509,Jornada,-0.4939
La Jornada: Ultimátum de un mes de Irán a Occidente para aceptar condiciones de canje de uranio,2010-01-03,0.5719,Jornada,0.3818
La Jornada: Piratas somalíes capturan dos cargueros; recibe otro grupo 4 mdd por un navío chino,2010-01-03,-0.7269,Jornada,0.0
La Jornada: Prevén babalawos un año convulso,2010-01-03,0.5267,Jornada,0.0
