article,pub_date,nltk_score,source,nltk_score_title
Mahalo,2010/01/27,0.9455,ProPublica,0.0
Pennsylvania’s Gas Wells Booming—But So Are Spills,2010/01/27,-0.994,ProPublica,0.25
When Is a ‘No’ Really a ‘No’,2010/01/27,0.9865,ProPublica,0.0
MinnPost Coming On Board,2010/01/27,0.6444,ProPublica,0.0
And More Help,2010/01/27,0.9455,ProPublica,0.4576
Latest Super Bowl Blitz Update,2010/01/27,0.8086,ProPublica,0.5994
Dozens of Allegations of Sexual Violence Crop Up at Chicago Nursing Homes,2010/01/27,-0.988,ProPublica,-0.6249
Journalists Around Country Join Our Super Bowl Blitz,2010/01/27,0.926,ProPublica,0.7269
A Fix,2010/01/27,0.5994,ProPublica,0.0
Unemployment Insurance Funds in Colorado and New Hampshire Go Bankrupt—And Start Borrowing,2010/01/27,0.9543,ProPublica,-0.4404
