article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Siete policías, entre las 25 ejecuciones de las últimas horas en todo el país",2010-07-18,0.6249,Jornada,0.0
La Jornada: Proceso sobreseído,2010-07-18,-0.7003,Jornada,0.0
La Jornada: Dos detenidos tras tiroteo en Sinaloa,2010-07-18,-0.2023,Jornada,-0.4767
La Jornada: Deja fría a Margarita Zavala porra de scouts contra la inseguridad en Juárez,2010-07-18,-0.93,Jornada,-0.1935
La Jornada: Presidirá Beltrones el Senado desde septiembre próximo,2010-07-18,0.6369,Jornada,0.0
La Jornada: Obispo Vera relaciona a autoridades del INM con secuestro de migrantes,2010-07-18,-0.2023,Jornada,-0.5859
La Jornada: Busca el SME que se reconozca la ratificación de sus dirigentes,2010-07-18,0.4767,Jornada,0.0
La Jornada: América del Valle: nunca quise ser factor de conflicto,2010-07-18,-0.4404,Jornada,-0.3182
"La Jornada: Habrá una acción contundente contra criminales, asegura Blake",2010-07-18,-0.9186,Jornada,-0.5719
La Jornada: Tardía reacción oficial en el caso de América del Valle,2010-07-18,0.0,Jornada,0.0
La Jornada: Avanzan negociaciones sobre la reforma política: Graco Ramírez,2010-07-18,-0.4939,Jornada,0.0
La Jornada: Avala AMLO acuerdo del Dia sobre candidato único en 2012,2010-07-18,0.5994,Jornada,0.4939
"La Jornada: Cambiar de estrategia, pide Labastida",2010-07-18,-0.8316,Jornada,0.0
La Jornada: Refuerzan colonias juarenses,2010-07-18,0.34,Jornada,0.0
"La Jornada: Inseguridad, principal amenaza a nuestra libertad, dice Calderón",2010-07-18,0.886,Jornada,-0.25
"La Jornada: Hago la huelga de hambre por rabia y dignidad, afirma Miguel Ángel Ibarra",2010-07-18,-0.886,Jornada,-0.5994
La Jornada: Descartan académicos ataques narcoterroristas,2010-07-18,-0.9001,Jornada,-0.5994
La Jornada: Agentes migratorios de Puebla golpean a fotoperiodista,2010-07-18,-0.25,Jornada,0.0
"La Jornada: Coahuila, primero en creación de empleos",2010-07-18,0.3182,Jornada,0.2732
"La Jornada: El gobierno de Hugo Chávez, satisfecho con el desenlace",2010-07-18,-0.6908,Jornada,0.4215
La Jornada: Obama arrecia crítica contra republicanos por bloquear la ayuda para desempleados,2010-07-18,-0.872,Jornada,-0.6124
La Jornada: Anuncia el gobierno británico que disminuirá recursos a la BBC,2010-07-18,0.0,Jornada,0.0
La Jornada: Detecta la ASF faltante de $20 mil 578 millones en fondos de Pemex,2010-07-18,-0.8934,Jornada,-0.296
La Jornada: Retira Telefónica su propuesta para comprar participación de la brasileña Vivo,2010-07-18,-0.5423,Jornada,0.0
La Jornada: Congelan UE y FMI rescate de Hungría,2010-07-18,0.5267,Jornada,0.5423
La Jornada: Amenaza Rusia con prohibir la importación de celulares,2010-07-18,-0.296,Jornada,-0.7351
La Jornada: Honduras debe devaluar su moneda: FMI,2010-07-18,0.0,Jornada,0.0
La Jornada: Cuarenta y seis carteles dan cuenta de la vastedad creativa del artista Francisco Toledo,2010-07-18,0.886,Jornada,0.4404
La Jornada: Analizan supuesto Caravaggio a 400 años de su muerte,2010-07-18,0.0,Jornada,-0.5994
"La Jornada: Historia, ecología y espectáculo, en la Expo Guanajuato Bicentenario",2010-07-18,-0.5267,Jornada,0.0
La Jornada: Icono del dispendio y el derroche de recursos: opositores,2010-07-18,-0.5859,Jornada,-0.4215
La Jornada: En el DF y otras 54 ciudades del mundo se representará la danza Los caporales,2010-07-18,0.1027,Jornada,0.0
La Jornada: Horrores de guerra,2010-07-18,-0.27,Jornada,-0.8225
La Jornada: El maestro de Juchitán ha dado vida a seres fantásticos de autores universales,2010-07-18,0.0,Jornada,0.5574
La Jornada: El argentino Guillermo Orsi gana el Dashiell Hammett de la Semana Negra,2010-07-18,0.9552,Jornada,0.5719
La Jornada: Afecta la violencia a 63% de los alumnos del IPN,2010-07-18,-0.979,Jornada,-0.6249
La Jornada: Impulsa la Conferencia del Episcopado creación de radios católicas por Internet,2010-07-18,0.0,Jornada,0.6124
"La Jornada: Insuficientes, los programas de desarrollo científico: diputados",2010-07-18,-0.9231,Jornada,0.0
La Jornada: Garantiza la SEP confidencialidad del examen que aplica a maestros,2010-07-18,-0.34,Jornada,0.0
La Jornada: Boda de Rubén Moreira reúne a la clase política,2010-07-18,0.0,Jornada,0.0
La Jornada: Moreno Valle: se sancionarán posibles anomalías en el gobierno de Mario Marín,2010-07-18,-0.6597,Jornada,0.0
La Jornada: Propondrá legisladora cesar a titular del Imug,2010-07-18,0.0,Jornada,0.0
La Jornada: Renuncia lideresa del PRI en Chiapas,2010-07-18,-0.8934,Jornada,0.0
La Jornada: Capacitan a vecinos de Chalco para enfrentar contingencias,2010-07-18,0.0,Jornada,0.0
La Jornada: El taller Cusibani rescata tradiciones zapoteca y mediterránea,2010-07-18,0.0,Jornada,0.3182
"La Jornada: En diez días, cinco dirigentes sociales detenidos en Chiapas",2010-07-18,-0.7845,Jornada,-0.4019
La Jornada: Condiciones precarias de menores en tutelar,2010-07-18,-0.802,Jornada,0.0
"La Jornada: Autoridades de Coahuila, en alerta por lluvias",2010-07-18,-0.1779,Jornada,0.296
La Jornada: Cesan a 88 policías en Tabasco,2010-07-18,0.8625,Jornada,0.0
La Jornada: Marcha en Michoacán contra la ley Arizona,2010-07-18,0.0,Jornada,0.0
"La Jornada: Chiapas, principal productor de alimentos orgánicos del país",2010-07-18,-0.6249,Jornada,0.0
La Jornada: Detiene Teherán a 40 sospechosos por el atentado del jueves en la mezquita Jamia,2010-07-18,-0.9559,Jornada,-0.6705
La Jornada: Confía BP en que la pesadilla haya terminado,2010-07-18,-0.9559,Jornada,0.4939
La Jornada: 18 muertos deja ataque a civiles en Pakistán,2010-07-18,-0.5267,Jornada,-0.8225
La Jornada: Condiciona Mahmoud Abbas iniciar diálogo de paz directo con Tel Aviv,2010-07-18,0.8957,Jornada,0.5423
La Jornada: Homenaje en Bolivia a víctimas del cuartelazo perpetrado hace 30 años,2010-07-18,0.8316,Jornada,-0.3182
La Jornada: Reitera Bogotá que demostrará la presencia de jefes rebeldes colombianos en Venezuela,2010-07-18,0.836,Jornada,-0.1531
