article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Ordena IFAI revelar gastos por liquidar Luz y Fuerza,2010-06-13,-0.296,Jornada,0.0
"La Jornada: Poseer armas en EU, casi una religión",2010-06-13,-0.9875,Jornada,-0.4404
La Jornada: A partir de la ofensiva de Calderón se multiplicaron arsenales de cárteles,2010-06-13,-0.9856,Jornada,-0.4588
La Jornada: Repudia la Comisión Permanente represión contra miembros del SME,2010-06-13,0.7579,Jornada,-0.3818
La Jornada: Acre debate en la interparlamentaria México-EU por el tema migratorio,2010-06-13,-0.872,Jornada,0.0
"La Jornada: Tras 50 días, continúan 19 electricistas en ayuno",2010-06-13,-0.4588,Jornada,0.0
La Jornada: El PRI ganará en Sinaloa porque la entidad tiene memoria histórica: Paredes,2010-06-13,0.1779,Jornada,0.5859
"La Jornada: Las 77 ejecuciones del viernes, resultado de tradicionales rivalidades: Gobernación",2010-06-13,-0.886,Jornada,0.0
La Jornada: Molinar y Bours deben ser enjuiciados: AMLO,2010-06-13,-0.4019,Jornada,0.0
La Jornada: Exigen comisiones legislativas mesa de diálogo por el caso Cananea,2010-06-13,-0.875,Jornada,-0.2263
La Jornada: Exigen justificar acción en Pasta de Conchos,2010-06-13,-0.6597,Jornada,-0.128
La Jornada: El segundo peritaje en ABC busca exculpar a funcionarios,2010-06-13,-0.3182,Jornada,0.0
La Jornada: Tregua en Cananea; aguardan pláticas,2010-06-13,-0.3182,Jornada,0.1027
La Jornada: Chocan militares y gatilleros en Nuevo León; al menos siete muertos,2010-06-13,-0.802,Jornada,-0.6808
"La Jornada: Salinas, entreguista en el TLCAN, confirma legislador estadunidense",2010-06-13,0.6369,Jornada,0.0
"La Jornada: Ineptitud panista nos restituirá el poder, pese a nuestros vicios: PRI",2010-06-13,-0.9313,Jornada,0.296
"La Jornada: La violencia, cobijada por el Estado fallido",2010-06-13,-0.8126,Jornada,-0.8126
La Jornada: Esparza denunciará ante OIT la política antilaboral de Calderón,2010-06-13,-0.7184,Jornada,0.0
La Jornada: Legisladores: debe cambiarse lucha antinarco,2010-06-13,-0.8481,Jornada,-0.3818
La Jornada: Hay aspirantes a la Presidencia que no son los más capaces: Rafael Loret de Mola,2010-06-13,-0.9732,Jornada,-0.3401
La Jornada: Han regresado 3 mil mexicanos con el plan de repatriación voluntaria: INM,2010-06-13,-0.8126,Jornada,0.0
La Jornada: Defiende Zapatero proyecto de reforma laboral,2010-06-13,-0.296,Jornada,0.0
La Jornada: Crédito bancario impulsa el crecimiento,2010-06-13,0.9274,Jornada,0.7579
La Jornada: Prevén tasas sin cambios lo que resta del año,2010-06-13,-0.2732,Jornada,0.0
La Jornada: Reaccionan alemanes e italianos contra los planes de austeridad,2010-06-13,-0.6808,Jornada,0.0
La Jornada: Vivir en una gran urbe,2010-06-13,0.3182,Jornada,0.0
"La Jornada: Realzan la labor de Guillermo Ruiz, padre de la talla directa en México",2010-06-13,0.0,Jornada,0.0
La Jornada: Una mujer rebelde,2010-06-13,-0.5106,Jornada,-0.1531
La Jornada: Ser unos anormales,2010-06-13,-0.9274,Jornada,0.0
La Jornada: Viveza de las artes en Castilla; en León enfrentan crisis económica,2010-06-13,-0.9217,Jornada,-0.6249
La Jornada: Abren corredor cultural para honrar al artista de la Ruptura,2010-06-13,0.7845,Jornada,0.4939
La Jornada: Lacerante actualidad,2010-06-13,-0.9578,Jornada,0.0
La Jornada: Una historia dentro de otra,2010-06-13,-0.2263,Jornada,0.0
"La Jornada: La independencia es efecto de las guerras, no la causa, concluye Tomás Pérez Vejo",2010-06-13,-0.836,Jornada,-0.5574
"La Jornada: Rivera, el cardenal de las elites política y económica: analistas",2010-06-13,0.7003,Jornada,0.0
"La Jornada: Continuará el plantón, en espera de que la SG dé respuesta a peticiones: CNTE",2010-06-13,-0.6249,Jornada,0.0
La Jornada: Paro laboral contra plan de la SEP,2010-06-13,-0.8591,Jornada,0.0
La Jornada: Algunas frases del religioso,2010-06-13,-0.6486,Jornada,0.0
"La Jornada: El caso ABC reveló que no tiene sustento ceder guarderías a particulares, dice ONG",2010-06-13,0.2023,Jornada,0.128
La Jornada: Plan empresarial de candidato en Veracruz,2010-06-13,0.0,Jornada,0.0
La Jornada: Indagan proselitismo de consejero electoral,2010-06-13,-0.296,Jornada,0.0
La Jornada: Acuerdan fin del paro en la Rural Femenil de Aguascalientes,2010-06-13,0.3182,Jornada,-0.4404
La Jornada: La coalición en Quintana Roo no sustituirá a Gregorio Sánchez,2010-06-13,-0.936,Jornada,0.0
"La Jornada: Detenidos, 11 priístas durante una riña en Ecatepec",2010-06-13,0.5859,Jornada,-0.6908
La Jornada: Retienen a periodistas en Michoacán,2010-06-13,0.0,Jornada,-0.4767
"La Jornada: Aspirante al gobierno de Durango, sin dinero",2010-06-13,0.0,Jornada,0.0
La Jornada: Lanzan bombas molotov contra oficinas del Partido Acción Nacional en Culiacán,2010-06-13,-0.9501,Jornada,0.4019
La Jornada: Pide Corral enviar numeroso grupo de observadores a comicios de Oaxaca,2010-06-13,-0.8591,Jornada,0.0
La Jornada: Ordena edil de Querétaro quitar los anuncios de católicas sobre el aborto,2010-06-13,-0.9153,Jornada,0.0
La Jornada: Niega Sandoval Íñiguez que se permita la interrupción del proceso de gestación,2010-06-13,0.7096,Jornada,-0.1531
La Jornada: Luege: ya no se inundarán Atizapán ni Tlalnepantla,2010-06-13,-0.7783,Jornada,-0.296
"La Jornada: En 10 años, creció 300% número de niños trabajadores en San Cristóbal de las Casas",2010-06-13,-0.3818,Jornada,0.3818
La Jornada: Enfrentamientos entre kirguisos y minoría uzbeka dejan unos 75 muertos y mil heridos,2010-06-13,-0.9801,Jornada,-0.6705
La Jornada: Norcorea amenaza atacar altavoces colocados en la frontera sudcoreana,2010-06-13,-0.9643,Jornada,-0.6908
La Jornada: EU da hasta el lunes a BP para lograr resultados que detengan el derrame,2010-06-13,-0.8225,Jornada,-0.296
"La Jornada: Saudiarabia abre su espacio aéreo a Israel, que podría así atacar Irán",2010-06-13,-0.4404,Jornada,-0.4767
La Jornada: Libera Cuba a parapléjico; reubica a seis reos,2010-06-13,-0.7579,Jornada,0.6369
