article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Condenan Calderón y la SRE los asesinatos en Ciudad Juárez,2010-03-15,0.6249,Jornada,-0.765
La Jornada: Investigará la CNDH reducción salarial a jubilados y pensionados,2010-03-15,0.6808,Jornada,0.0
La Jornada: Hubo al menos 45 asesinatos en Guerrero entre sábado y domingo; 33 en Acapulco,2010-03-15,-0.6369,Jornada,-0.6124
La Jornada: Aeroméxico propone a sobrecargos un convenio multianual de revisiones salariales,2010-03-15,-0.5267,Jornada,0.4939
La Jornada: Más acciones contra Martín Esparza,2010-03-15,0.0,Jornada,0.0
La Jornada: Piden a la Corte evaluar caso de indígenas presas,2010-03-15,0.0258,Jornada,-0.5106
La Jornada: La PGR busca una ciudadanía más participativa y menos criticona,2010-03-15,0.5719,Jornada,-0.2516
La Jornada: El paro cívico se realizará en 25 entidades e implicará a unas 100 mil personas: SME,2010-03-15,-0.296,Jornada,-0.128
La Jornada: Diputados y gobernadores del tricolor intentan reparar la imagen de su líder,2010-03-15,0.7783,Jornada,0.0
La Jornada: Llama Rivera Carrera a la reconciliación,2010-03-15,-0.296,Jornada,0.0
La Jornada: Demandan pueblos indígenas al gobierno revertir ya las condiciones de desigualdad,2010-03-15,0.3182,Jornada,-0.128
La Jornada: Asegura el IFE que solamente recortará 120 plazas donde había duplicidad de funciones,2010-03-15,-0.6249,Jornada,-0.2732
La Jornada: Culpan a Los Aztecas del triple homicidio,2010-03-15,-0.886,Jornada,-0.34
La Jornada: Las ejecuciones muestran la ferocidad con que operan criminales: senadores,2010-03-15,-0.9313,Jornada,-0.6597
La Jornada: Documentan ONG el grave deterioro en la calidad de vida de las campesinas,2010-03-15,0.0,Jornada,-0.0772
La Jornada: La Iglesia católica debe denunciar a pederastas,2010-03-15,0.0,Jornada,-0.34
La Jornada: Indignación del presidente Obama,2010-03-15,0.5994,Jornada,-0.5106
La Jornada: Mueren ocho presuntos zetas durante un operativo de la Armada en Nuevo León,2010-03-15,-0.0772,Jornada,-0.7506
La Jornada: AMLO: criticar a Calderón ha devenido deporte nacional,2010-03-15,-0.7783,Jornada,-0.3612
"La Jornada: En manos de varios caciques, el control de la bancada del PRI en San Lázaro",2010-03-15,-0.4019,Jornada,0.0
La Jornada: Se busca desactivar caracoles al impulsar ciudades rurales sustentables: experta,2010-03-15,-0.296,Jornada,0.3612
La Jornada: Proliferan las irregularidades en el registro de corrientes internas del PRD,2010-03-15,-0.7003,Jornada,0.0
La Jornada: La Suprema Corte admite a trámite la solicitud de amparo de electricistas,2010-03-15,0.93,Jornada,0.7003
La Jornada: Cablemás bloqueó 30 portales,2010-03-15,-0.296,Jornada,-0.2732
La Jornada: Captará el gobierno 5 mil 400 mdd por excedentes de exportaciones de petróleo,2010-03-15,0.0258,Jornada,0.0
"La Jornada: Acabar con huelgas eternas, plantea la reforma laboral",2010-03-15,-0.296,Jornada,-0.3612
La Jornada: Mexicano será juez en órgano de apelación de la OMC,2010-03-15,0.0,Jornada,0.0
"La Jornada: México, mayor receptor de préstamos del BID en 30 años",2010-03-15,0.3818,Jornada,0.0
La Jornada: Complejidad y altos costos del sistema fiscal estimulan la evasión: CEESP,2010-03-15,0.6369,Jornada,0.2263
La Jornada: Poco interés de la iniciativa privada por participar en licitación de carreteras,2010-03-15,-0.1531,Jornada,0.4033
