article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Suspender pesquisas del caso Diego, acción indebida de la PGR, aseguran juristas",2010-05-24,0.4939,Jornada,0.0258
"La Jornada: Crear 10 plantas nucleares en 20 años, nuevo sueño",2010-05-24,0.7351,Jornada,0.4767
La Jornada: Asesinan a 47 personas entre sábado y domingo en 8 estados,2010-05-24,-0.1027,Jornada,-0.6705
La Jornada: Retiran a policías federales,2010-05-24,0.5267,Jornada,0.0
La Jornada: Nuevas divisiones en el PRD,2010-05-24,-0.7269,Jornada,0.0
La Jornada: Autoridades y grupos civiles de Arizona deben impugnar la Ley SB 1070: senadores,2010-05-24,0.5267,Jornada,0.0772
La Jornada: La ASF sólo ha recuperado en siete años poco más de 35 mil 145 millones de pesos,2010-05-24,0.4939,Jornada,0.0
La Jornada: Diputados intentan puente Calderón-SME,2010-05-24,-0.6124,Jornada,0.0
La Jornada: Internan a otro electricista ayunante con probable trombosis venosa,2010-05-24,-0.3008,Jornada,0.0
La Jornada: Mujeres del SME piden asilo a Rivera,2010-05-24,0.4215,Jornada,0.0
La Jornada: El Ejecutivo decomisa jet a la Armada para evitar envidias,2010-05-24,0.8834,Jornada,-0.5106
La Jornada: Afectación a las comunidades,2010-05-24,0.6486,Jornada,0.0
La Jornada: Quieren hacer creer que el PRI salvará al país: López Obrador,2010-05-24,-0.8625,Jornada,0.5423
"La Jornada: Ganará el PRI en Puebla, dice Paredes",2010-05-24,0.875,Jornada,0.5859
"La Jornada: Inversiones ilegales de Moreno Valle, tema de campaña en Puebla",2010-05-24,0.5423,Jornada,-0.5574
La Jornada: Presenta SFP dos denuncias ante PGR por quebranto patrimonial a Pemex,2010-05-24,-0.5423,Jornada,-0.6124
La Jornada: Exigen medida cautelar para poblado nahua,2010-05-24,-0.6249,Jornada,0.0
"La Jornada: Asesinos, los que organizan caravanas, dice Jiménez Macías",2010-05-24,0.0,Jornada,0.0
La Jornada: Prepara el IFE informe sobre el comportamiento de votantes,2010-05-24,0.9136,Jornada,0.0
La Jornada: ¿Y los desechos radiactivos?,2010-05-24,-0.8658,Jornada,-0.4215
"La Jornada: Mexicanos prefieren emplearse en el sector informal, lamenta el CCE",2010-05-24,-0.7269,Jornada,-0.3612
La Jornada: Exige EU acceso justo y sin discriminación para sus empresas al mercado chino,2010-05-24,-0.4939,Jornada,0.3182
La Jornada: Caen 90.5% las devoluciones del SAT por ISR,2010-05-24,0.0,Jornada,0.0
La Jornada: Repunta ingreso de divisas traídas por viajeros,2010-05-24,0.0,Jornada,0.0
La Jornada: La regulación financiera le costará cara a Wall Street,2010-05-24,-0.7269,Jornada,0.0
"La Jornada: Pemex debe pagar deuda por 7,700 mdd, 40% más que en 2009",2010-05-24,0.9042,Jornada,-0.4404
La Jornada: A un año de las crisis sanitaria y económica no se recupera el turismo en Guanajuato,2010-05-24,-0.6705,Jornada,-0.6249
La Jornada: Expertos sugieren suspender la licitación del espectro radioeléctrico,2010-05-24,0.5719,Jornada,0.0
"La Jornada: Tiene que nacer un movimiento comunista; se necesita, afirma Brom",2010-05-24,-0.9821,Jornada,0.0
"La Jornada: Carlos Avilés exhibe Atrópolis, y rompe con esquemas conocidos de la fotografía",2010-05-24,-0.8316,Jornada,0.0
"La Jornada: Hay gran deseo por estudiar música, mas no escuelas públicas",2010-05-24,-0.9042,Jornada,0.5267
"La Jornada: Larga, costosa y difícil, la carrera académica musical",2010-05-24,-0.9153,Jornada,-0.3612
La Jornada: Moisés Zabludovsky presenta el libro México: la colonia de los Doctores,2010-05-24,-0.4939,Jornada,0.0
La Jornada: Apremia la CNDH a instrumentar un plan integral para atender a migrantes,2010-05-24,-0.6369,Jornada,0.7964
La Jornada: Capacitan a víctimas de violencia para entrar al mercado laboral,2010-05-24,-0.9726,Jornada,-0.7506
"La Jornada: Reporta ASA pasivos por $5 mil 708 millones; con Pemex, 68% de adeudos",2010-05-24,0.0,Jornada,-0.2023
La Jornada: Hoy reiniciarían actividades en el Tec de Durango,2010-05-24,0.2198,Jornada,0.0
La Jornada: Amenaza la Iglesia católica al Inegi con boicotear el censo de población 2010,2010-05-24,-0.802,Jornada,-0.5994
La Jornada: Con inversión de 600 millones de pesos impulsarán 13 cultivos en nueve estados,2010-05-24,0.0,Jornada,0.4019
La Jornada: Alertan de marejadas en costas del Pacífico,2010-05-24,0.1779,Jornada,0.296
La Jornada: Balacera durante sepelio en Chiapas; dos muertos,2010-05-24,-0.3612,Jornada,-0.7783
La Jornada: Querétaro: cierran el parque Bicentenario,2010-05-24,0.0,Jornada,0.0
La Jornada: Detienen a ex alcalde panista por peculado,2010-05-24,-0.5423,Jornada,-0.4767
"La Jornada: La victoria en Yucatán, ejemplo para todos los priístas: Eviel Pérez",2010-05-24,0.6124,Jornada,0.0
La Jornada: Habrá abstención histórica por violencia en Chihuahua: diputado,2010-05-24,-0.9313,Jornada,-0.6249
La Jornada: Discrimina el IMSS a pareja gay en Querétaro,2010-05-24,-0.5267,Jornada,0.0
La Jornada: Renuncian militantes panistas en Sinaloa,2010-05-24,0.0,Jornada,-0.25
"La Jornada: Sin guardería, 80 mil obreras de maquiladoras en Ciudad Juárez",2010-05-24,-0.8658,Jornada,0.4939
La Jornada: Aplanadora tricolor en el Congreso local,2010-05-24,-0.296,Jornada,0.0
La Jornada: Agentes de la PF atacan a líder minero,2010-05-24,0.5859,Jornada,-0.4767
La Jornada: Xóchitl Gálvez reta a Olvera a un debate,2010-05-24,0.0,Jornada,0.0772
La Jornada: Bases del PT y Convergencia abandonan alianza en Tlaxcala,2010-05-24,0.128,Jornada,-0.4404
La Jornada: Reconoce Ramírez Acuña a perredistas,2010-05-24,0.0,Jornada,0.0
La Jornada: Se triplica el robo de autos en Guanajuato,2010-05-24,0.0,Jornada,0.0
La Jornada: Exigen reparar daños de Pemex en Tabasco,2010-05-24,0.9477,Jornada,-0.5267
"La Jornada: El gobierno cubano hospitalizará a presos opositores, aseguran disidentes",2010-05-24,0.7906,Jornada,-0.5106
La Jornada: Martinelli marcha contra la inseguridad,2010-05-24,0.7096,Jornada,-0.4215
La Jornada: El bloqueo israelí impide reconstruir la parte afectada durante la ofensiva a Gaza: ONU,2010-05-24,-0.875,Jornada,-0.5106
La Jornada: Siguen los desfiles en Argentina por el bicentenario,2010-05-24,0.7783,Jornada,0.0
La Jornada: Marejadas en el Pacífico hondureño,2010-05-24,-0.3818,Jornada,0.0
La Jornada: Estado de emergencia en la capital de Jamaica,2010-05-24,-0.9231,Jornada,-0.3818
La Jornada: Japoneses protestan contra base de EU,2010-05-24,-0.5267,Jornada,-0.25
"La Jornada: Bajo tortura, ex dueña traspasó Papel Prensa a La Nación, Clarín y La Razón",2010-05-24,-0.9886,Jornada,-0.5994
"La Jornada: Empate técnico entre Santos y Mockus, aspirantes presidenciales en Colombia",2010-05-24,0.1027,Jornada,0.0
La Jornada: Cartones,2010-05-24,0.0,Jornada,0.0
La Jornada: Aprueba el Congreso de Bolivia ley que suspende a autoridades que enfrenten cargos judiciales,2010-05-24,0.8885,Jornada,-0.2732
La Jornada: La erupción del volcán islandés terminó,2010-05-24,-0.296,Jornada,0.0
