article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: 50% increase in theft of trucks on the country's roads, says Canacar",2010-11-30,-0.4767,Jornada,0.3182
La Jornada: With revision tasks Iberia gets 10% of its income,2010-11-30,0.0,Jornada,0.0
La Jornada: With merger of British Airways and Iberia emerges the second European air group,2010-11-30,-0.5994,Jornada,0.0
The Day: Obama Proposes Freeze for Two Years Bureaucrat Wages,2010-11-30,0.1779,Jornada,0.0516
La Jornada: Still slow growth,2010-11-30,-0.886,Jornada,0.3818
The Day: Euro falls and bags for lack of confidence in Ireland rescue,2010-11-30,-0.2263,Jornada,0.6486
La Jornada: They demand that the government pressure the EU to comply with what is signed in NAFTA,2010-11-30,0.4588,Jornada,-0.4019
La Jornada: 6 years to Greece to pay the ransom,2010-11-30,0.0,Jornada,-0.1027
La Jornada: New Metro strike in London in protest of labor cuts,2010-11-30,-0.4215,Jornada,-0.5719
"La Jornada: In September, the worst fall in the manufacturing sector",2010-11-30,0.0,Jornada,-0.6249
La Jornada: Replacement of trachea from skin and fragments of ribs,2010-11-30,-0.8481,Jornada,0.0
The Journey: Analyze in US effects of drugs against prostate cancer,2010-11-30,0.0,Jornada,-0.6597
La Jornada: Study benefits of fish and negative impact of mercury,2010-11-30,0.0,Jornada,-0.2732
La Jornada: Relate the development of allergies with paracetamol,2010-11-30,0.0,Jornada,0.0
La Jornada: There is always the remnant of what has not been said about the dictatorship: Valenzuela,2010-11-30,0.2023,Jornada,0.0
La Jornada: Sergio Pitol: I am present in more than 50 years of writing,2010-11-30,-0.5994,Jornada,0.0
La Jornada: Montemayor receives tribute at ALDF,2010-11-30,-0.5994,Jornada,0.0
La Jornada: Writers and Publishers have ignored the story and published retacerías,2010-11-30,-0.743,Jornada,-0.3182
La Jornada: An electrician reveals valuable new collection of Picasso,2010-11-30,-0.8225,Jornada,0.4767
La Jornada: Proposes author a metaphor of the ungovernable DF,2010-11-30,-0.7579,Jornada,0.0
The Journey: Memory,2010-11-30,-0.25,Jornada,0.0
La Jornada: Prevent increased tourism investment,2010-11-30,0.93,Jornada,0.296
La Jornada: Arraig to presumed fraudster in Querétaro,2010-11-30,-0.1531,Jornada,-0.5423
