article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Reclaman diputados a Guevara Manzo su pasividad ante problemas como Mexicana,2010-10-13,-0.8074,Jornada,-0.0516
La Jornada: Gobiernos de Asia contienen flujos de capital,2010-10-13,-0.296,Jornada,0.0
La Jornada: Convenio para que el Inegi elabore los índices de precios del Banco de México,2010-10-13,-0.0258,Jornada,0.4939
La Jornada: Forma la industria del transporte frente unificado para defender intereses comunes,2010-10-13,-0.2263,Jornada,0.5574
La Jornada: Aprueban Ley de Asociaciones Público Privadas; se subasta el futuro: Monreal,2010-10-13,-0.8625,Jornada,0.4215
La Jornada: Comienza colocación de $2 mil millones en Bondes D: BdeM,2010-10-13,0.0,Jornada,0.4466
La Jornada: La tasa de desocupación en México se ubicó en 5.2% en agosto: OCDE,2010-10-13,-0.9382,Jornada,-0.4404
La Jornada: APJS pide no aplicarle ley de lavado de dinero,2010-10-13,-0.296,Jornada,0.0
"La Jornada: Televisoras, únicas consultadas para adelantar apagón analógico",2010-10-13,-0.9274,Jornada,0.0
La Jornada: Anuncia SCT que hay nuevos interesados en Mexicana de Aviación,2010-10-13,0.0,Jornada,0.0
La Jornada: Levanta EU suspensión a perforaciones en aguas profundas,2010-10-13,-0.6597,Jornada,0.0
La Jornada: Contratará Televisa deuda por 10 mil millones de pesos,2010-10-13,0.0,Jornada,-0.3612
La Jornada: Nueva huelga en Francia contra la reforma a pensiones,2010-10-13,-0.6908,Jornada,-0.128
La Jornada: Hungría estatiza empresa culpable del derrame de lodo tóxico,2010-10-13,-0.8807,Jornada,-0.4215
La Jornada: UE pide respetar derechos de palestinos luego que Israel les exigió jurar fidelidad al Estado judío,2010-10-13,0.0516,Jornada,0.25
La Jornada: Indígenas conmemoran el Día de la Resistencia en varios países de AL,2010-10-13,0.3612,Jornada,0.0
La Jornada: Irán confirma detención de alemanes,2010-10-13,0.0,Jornada,-0.3612
La Jornada: EU: juez prohíbe política sobre gays en el ejército,2010-10-13,0.0,Jornada,0.0
La Jornada: Juicio a ex preso de Guantánamo,2010-10-13,-0.6124,Jornada,0.0
La Jornada: En los grandes diarios de Brasil no hay espacio neutral para Lula,2010-10-13,-0.7269,Jornada,-0.296
La Jornada: Identifican al policía que se robó y entregó a la dueña de Clarín una bebé en noviembre de 1976,2010-10-13,-0.1779,Jornada,0.0
La Jornada: Más comentarios de Fidel Castro sobre libro de Woodward,2010-10-13,0.0,Jornada,0.0
La Jornada: Colombia: abren investigación a Uribe,2010-10-13,0.0772,Jornada,0.0
La Jornada: Insulta y abuchea la ultraderecha al presidente del gobierno de España,2010-10-13,-0.5719,Jornada,-0.4215
La Jornada: Gobernadores electos apoyan a Calderón en la lucha anticrimen,2010-10-13,0.9766,Jornada,0.0258
