article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Empresarios de países nórdicos en México crean cámara de comercio,2010-10-28,0.1779,Jornada,0.2732
"La Jornada: Caen 1.57% las remesas; entran $1,714 millones",2010-10-28,0.0,Jornada,0.0
"La Jornada: Suben 22% las ganancias de BBVA en México, pero bajan 12.2 en España",2010-10-28,0.1027,Jornada,0.2382
La Jornada: Trifulca de trabajadores de Mexicana de Aviación con efectivos de la Policía Federal,2010-10-28,-0.8402,Jornada,0.0
La Jornada: Triplica Gruma utilidades en el tercer trimestre del año,2010-10-28,0.0,Jornada,0.4404
La Jornada: Desafío para AL administrar ingresos por la venta de materias primas: FMI,2010-10-28,-0.25,Jornada,0.0772
La Jornada: Subieron 41% ganancias de Grupo Carso,2010-10-28,0.0,Jornada,0.6486
La Jornada: Reporta Pemex resultados financieros negativos por $56 mil 172 millones,2010-10-28,0.4939,Jornada,-0.5719
La Jornada: Donan $10 millones para reconstruir zonas dañadas en Veracruz,2010-10-28,-0.2263,Jornada,-0.4404
"La Jornada: Nueva desaceleración en 2011, con crecimiento de 3.2%: BdeM",2010-10-28,-0.5719,Jornada,0.3818
La Jornada: Baja Cofetel 54% las tarifas de interconexión entre Axtel y Telefónica,2010-10-28,0.25,Jornada,-0.2732
La Jornada: Expropia Venezuela fábrica de envases de EU,2010-10-28,0.0,Jornada,0.0
"La Jornada: Irán será socio en el proceso de industrialización de reservas de litio boliviano, afirma Evo Morales",2010-10-28,-0.34,Jornada,0.0
La Jornada: Destituye la procuraduría colombiana a Piedad Córdoba,2010-10-28,0.0,Jornada,0.0
La Jornada: El Pentágono perdió contacto con 50 misiles nucleares balísticos durante 45 minutos,2010-10-28,-0.7906,Jornada,-0.3182
La Jornada: Dilma Rousseff pide el voto de brasileños como regalo de cumpleaños para Lula,2010-10-28,0.891,Jornada,0.4404
La Jornada: Arrestan a sospechoso de tramar ataque en EU,2010-10-28,0.5267,Jornada,-0.7717
La Jornada: Reprimen marcha contra un grupo israelí de ultraderecha; diez detenidos,2010-10-28,-0.34,Jornada,-0.34
La Jornada: Aumentan a 300 los muertos en Indonesia,2010-10-28,-0.6249,Jornada,-0.6705
La Jornada: Analistas de EU discuten qué tan grave será la derrota demócrata,2010-10-28,-0.8658,Jornada,-0.5106
La Jornada: Suprema Corte aprueba ejecución en Arizona,2010-10-28,-0.802,Jornada,0.743
"La Jornada: Ordena juzgado de Quito la detención del coronel César Carrión, ex director del Hospital de la Policía",2010-10-28,-0.8625,Jornada,-0.34
La Jornada: Bin Laden lanza amenaza a Francia,2010-10-28,-0.6249,Jornada,-0.5267
La Jornada: OMS: el cólera en Haití puede intensificarse,2010-10-28,0.0,Jornada,0.0
La Jornada: Consejeros salientes admiten que el IFE fue un árbitro controvertido en 2006,2010-10-28,0.7717,Jornada,0.296
La Jornada: Beneplácito de Gobernación,2010-10-28,0.1027,Jornada,0.0
La Jornada: La SHCP debe dar a conocer convenios con estados: Ifai,2010-10-28,0.1027,Jornada,0.2732
La Jornada: Fox se equivocó; no actuó a tiempo contra el crimen: Calderón,2010-10-28,-0.5719,Jornada,-0.765
La Jornada: Una multitud rinde homenaje al ex presidente y se solidariza con su esposa,2010-10-28,-0.9231,Jornada,0.0
