article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Otros $16 mil 664.8 millones para rescate bancario a 16 años de éste,2010-09-11,0.802,Jornada,0.5106
La Jornada: Elevan a 62 años la edad para jubilarse en Francia,2010-09-11,0.0,Jornada,0.0
La Jornada: Se suicidan 5 empleados más de France Telecom,2010-09-11,0.0,Jornada,-0.5106
"La Jornada: Aprueba el FMI otros 3,300 mdd para Grecia",2010-09-11,0.0,Jornada,0.4019
La Jornada: Emplaza Profeco a procedimiento administrativo a 20 negocios en el DF,2010-09-11,0.34,Jornada,0.0
La Jornada: Subsidiarias de Mexicana solicitaron a la autoridad entrar a concurso mercantil,2010-09-11,-0.6705,Jornada,0.0772
La Jornada: Se debilitará crecimiento a finales de año: FMI,2010-09-11,-0.4939,Jornada,-0.0516
"La Jornada: Bancos suspenderán actividades los días 16 y 17, informa la ABM",2010-09-11,-0.6808,Jornada,-0.3182
"La Jornada: Desde hoy, el noveno aumento del año a gasolinas Magna y Premium, y al diesel",2010-09-11,0.3818,Jornada,0.3182
La Jornada: Deja cuatro muertos y 52 heridos la explosión de gasoducto en San Francisco,2010-09-11,-0.9136,Jornada,-0.6486
La Jornada: Me malinterpretaron; lo que ya no sirve es el sistema capitalista de EU: Castro,2010-09-11,-0.4588,Jornada,-0.5574
La Jornada: Ataca guerrilla colombiana a policías y militares; al menos seis muertos,2010-09-11,-0.8126,Jornada,-0.802
"La Jornada: Crecientes peligros, según informe",2010-09-11,0.0,Jornada,-0.3612
"La Jornada: EU, país bajo un Dios que puede ser llamado con varios nombres: Obama",2010-09-11,0.6486,Jornada,0.2732
"La Jornada: La amenaza puede tener consecuencias terribles en Afganistán, alerta la OTAN",2010-09-11,-0.5994,Jornada,-0.7845
La Jornada: Diputados chilenos desalojados con violencia por la policía trasladan ayuno a central sindical,2010-09-11,-0.9186,Jornada,-0.5859
La Jornada: Exige AI al gobierno mexicano plan contra abusos a migrantes,2010-09-11,-0.4588,Jornada,-0.5574
