article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Cristina Fernández de Kirchner announces improvements in social policies,2011-04-19,-0.8402,Jornada,0.3182
La Jornada: UN and Gaddafi agree to aid teams in Tripoli,2011-04-19,-0.0516,Jornada,0.3612
La Jornada: Evo Morales agrees with the COB; Grants 11% increase to public employees,2011-04-19,0.8658,Jornada,0.6124
"La Jornada: Approved, Raul Castro's reform plan; Elect the Central Committee",2011-04-19,-0.6597,Jornada,0.4215
La Jornada: Evaluates Japan to freeze nuclear programs,2011-04-19,0.0,Jornada,0.0516
La Jornada: Proceses two cases of deportation: a tortured exile and a general torturer,2011-04-19,-0.9571,Jornada,-0.7845
"The Journey: EU Finances since 2006 to opponents in Syria, signal Wikileaks cables",2011-04-19,0.2263,Jornada,0.0
La Jornada: Hungary approves new constitution,2011-04-19,0.4215,Jornada,0.4019
La Jornada: Palestinians march in memory of activist,2011-04-19,0.0,Jornada,0.0
La Jornada: Santos clarifies sayings about the FARC,2011-04-19,0.0,Jornada,0.2263
The Day: Reveal that US and GB were distributed to Iraqi energy before the invasion,2011-04-19,0.6597,Jornada,0.2732
La Jornada: Zelaya to return to Honduras in May,2011-04-19,0.0,Jornada,0.0
La Jornada: The JJ is prosecuted for using fake document,2011-04-19,-0.0258,Jornada,-0.4528
La Jornada: Increase of telephone operators,2011-04-19,0.4939,Jornada,0.3182
La Jornada: The PRI criticizes the anticrime strategy,2011-04-19,0.0,Jornada,-0.34
La Jornada: 32 zetas fall in Hidalgo,2011-04-19,0.0,Jornada,0.0
La Jornada: Mexico must avoid repeating the San Fernando massacre: IACHR,2011-04-19,-0.6908,Jornada,-0.296
"La Jornada: Mexican Democracy, the most expensive: Coparmex",2011-04-19,0.3182,Jornada,0.0
La Jornada: International Tribunal to evaluate labor policy of the Mexican government,2011-04-19,0.2023,Jornada,0.0
La Jornada: The IFE will focus on attracting the vote of Mexicans in the US,2011-04-19,0.4939,Jornada,0.4767
La Jornada: Calls for help family of Swiss kidnapped in Cuernavaca,2011-04-19,-0.8225,Jornada,0.4019
"La Jornada: Identified, points of danger for migrants in 16 states, says the CNDH",2011-04-19,0.34,Jornada,-0.5267
La Jornada: Earn pensioners battle at Infonavit,2011-04-19,0.5859,Jornada,-0.3818
"The Journey: Incredible, that no one noticed",2011-04-19,-0.9136,Jornada,-0.296
"La Jornada: Anegada, seat of the Senate",2011-04-19,0.0,Jornada,0.0
La Jornada: Increasing US training for Mexican federal forces,2011-04-19,0.6124,Jornada,0.0
La Jornada: Command attacks and burns four stores and gas stations in downtown Durango,2011-04-19,-0.836,Jornada,-0.4404
La Jornada: 16 policemen ensnared in Los Zetas,2011-04-19,0.5574,Jornada,0.0
La Jornada: The probability that a young man in LA is killed is 70 times greater than in Japan,2011-04-19,-0.886,Jornada,-0.4588
La Jornada: AMLO calls to face with values ​​the current decline,2011-04-19,0.0772,Jornada,0.4019
La Jornada: PRI Reform: political and salary flexibility for entrepreneurs,2011-04-19,0.296,Jornada,0.34
La Jornada: Shed light on the fate of the dictatorship in Argentina,2011-04-19,0.8658,Jornada,0.0
"La Jornada: For expanding roads, they destroy part of the Albarradón de Ecatepec",2011-04-19,0.4939,Jornada,-0.5423
The Day: Cairo reinforces security to safeguard its ancient treasures,2011-04-19,0.4215,Jornada,0.7783
"La Jornada: The dictatorship failed to silence Argentine artists, says diplomatic",2011-04-19,0.0,Jornada,-0.5106
"La Jornada: Announce multiple acts in honor of Octavio Paz, 13 years after his death",2011-04-19,0.9325,Jornada,-0.1779
La Jornada: Agreden in museum of Avignon two works of New York photographer,2011-04-19,0.0,Jornada,0.0
La Jornada: Report finding fossils in the Nicolaíta,2011-04-19,-0.296,Jornada,0.0
La Jornada: The 49 archaeological pieces restored to Mexico will arrive by diplomatic bag,2011-04-19,-0.4939,Jornada,0.34
La Jornada: The PRD will define today candidate in Nayarit,2011-04-19,0.3182,Jornada,0.0
"La Jornada: Control fissure in the Company, after 36 hours of maneuvers",2011-04-19,-0.9643,Jornada,0.0
La Jornada: Dengue mosquito detected in N. Laredo,2011-04-19,0.0,Jornada,0.0
La Jornada: Search edil to privatize cleaning service,2011-04-19,0.0,Jornada,0.0
La Jornada: Accidents in Jalisco leave 25 dead on the weekend,2011-04-19,-0.9545,Jornada,-0.7783
