article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Costa de Marfil intenta volver a la normalidad; Gbagbo, en su búnker",2011-04-09,-0.872,Jornada,0.0
"La Jornada: Luis Posada Carriles, absuelto en Texas",2011-04-09,-0.9729,Jornada,0.25
La Jornada: Fallecen 30 manifestantes durante protestas en Siria contra el presidente Bashar Assad,2011-04-09,-0.9246,Jornada,-0.7003
La Jornada: Toledo se ofrece en Perú para salvar a la democracia ante dinastías y extremismos,2011-04-09,-0.1779,Jornada,0.4939
La Jornada: Japón: provoca el nuevo sismo fuga radiactiva en otra central nuclear,2011-04-09,-0.5423,Jornada,-0.34
"La Jornada: Matanzas, con motivación étnica: ONU",2011-04-09,0.0,Jornada,0.34
La Jornada: Patrullarán Francia e Italia costas de Túnez para frenar ola migratoria,2011-04-09,0.4404,Jornada,0.0
La Jornada: GB lamenta la muerte de rebeldes por error,2011-04-09,-0.9451,Jornada,-0.8625
La Jornada: Continúa el bombardeo israelí contra objetivos de Hamas en la franja de Gaza,2011-04-09,-0.9382,Jornada,0.0
"La Jornada: Reprueba EU a Cuba, Nicaragua y Venezuela en derechos humanos",2011-04-09,0.9217,Jornada,-0.4939
La Jornada: Sepultan a 12 niños y adolescentes ultimados el jueves en Río de Janeiro,2011-04-09,-0.891,Jornada,-0.6705
"La Jornada: La Cámara de Diputados, sin fecha para debatir la ley de transparencia",2011-04-09,0.7269,Jornada,-0.296
"La Jornada: Calderón y García Luna sólo tienen imaginación para la violencia, afirma Sicilia",2011-04-09,-0.9926,Jornada,-0.6249
La Jornada: Ex braceros exigen pago de adeudo,2011-04-09,0.0,Jornada,-0.128
La Jornada: Mujeres denuncian represión en Honduras,2011-04-09,-0.9313,Jornada,-0.6124
La Jornada: Enfrentaría el gobierno mexicano otra demanda por el caso Pasta de Conchos,2011-04-09,0.25,Jornada,-0.128
La Jornada: Amenazan con expulsar a alumnos de la FES Acatlán,2011-04-09,0.0,Jornada,-0.7096
"La Jornada: Encinas será candidato de PT, PRD y Convergencia: AMLO",2011-04-09,-0.1779,Jornada,0.0
"La Jornada: La violencia en México, por falta de atención a los pobres: Lula",2011-04-09,-0.9451,Jornada,-0.8591
"La Jornada: Aún no hay policías estatales confiables, insiste el Presidente en su visita a Acapulco",2011-04-09,-0.5574,Jornada,-0.296
La Jornada: Buscan destruir al magisterio: Gordillo,2011-04-09,-0.1779,Jornada,-0.5423
La Jornada: Hoy define Consejo Nacional perredista si hay alianza con AN en el estado de México,2011-04-09,-0.1531,Jornada,0.0
La Jornada: Atentan contra libertad religiosa: cardenal,2011-04-09,0.0,Jornada,0.6369
La Jornada: Fue liberado Juan Manuel Frayre,2011-04-09,-0.9231,Jornada,0.0
"La Jornada: Alarmante, la cifra de crímenes contra migrantes en México, reporta la ONU",2011-04-09,-0.9538,Jornada,-0.0516
"La Jornada: Disculparse por el michoacanazo, exigen legisladores del PRD a Marisela Morales",2011-04-09,0.0,Jornada,-0.0258
La Jornada: Inquieta a EU el hostigamiento contra activistas de derechos humanos,2011-04-09,-0.296,Jornada,-0.6908
La Jornada: Resuelven ONG no reunirse con delegados del gobierno federal,2011-04-09,-0.8402,Jornada,0.0
La Jornada: Al menos 37 ejecuciones en el país; sólo en Guerrero se reportaron nueve,2011-04-09,-0.5106,Jornada,0.0
