article,pub_date,nltk_score,source,nltk_score_title
"The Day: Manchester and Liverpool, plagued by looters",2011-08-11,-0.9758,Jornada,0.0
La Jornada: Chilean students refuse to attend work table proposed by Piñera,2011-08-11,-0.6808,Jornada,-0.296
"La Jornada: Technology, at the service of conveners to loot or clean up wreckage in GB",2011-08-11,-0.8979,Jornada,0.4019
La Jornada: Families of the victims wonder why ...?,2011-08-11,-0.296,Jornada,-0.3182
La Jornada: US sanctions two banks and Syria's top mobile operator,2011-08-11,-0.5719,Jornada,0.2023
The Journey: Cameron authorizes the use of rubber bullets; Workers question cuts to social policies,2011-08-11,-0.9801,Jornada,-0.296
La Jornada: EU asks for explanations to China for its first aircraft carrier,2011-08-11,-0.6597,Jornada,0.0
La Jornada: Former director of the missing News of the World arrested for telephone espionage,2011-08-11,-0.8271,Jornada,-0.6486
"La Jornada: Libya, Iran and Syria criticize repression in Britain",2011-08-11,0.0,Jornada,-0.6369
"La Jornada: Roqueros and chefs, among those affected",2011-08-11,-0.5859,Jornada,-0.1531
La Jornada: Exploring the eternal movement of the movement,2011-08-11,-0.7783,Jornada,0.0
La Jornada: Panama defends its historical heritage of poachers seekers wreck,2011-08-11,-0.5859,Jornada,-0.4404
La Jornada: Celebrate milestone of the company Contradanza,2011-08-11,0.0,Jornada,0.5719
La Jornada: Tribute to Taibo II in Fine Arts,2011-08-11,-0.0516,Jornada,0.2023
La Jornada: Let's demand that spaces for art and culture do not close: Ofelia Medina,2011-08-11,-0.9657,Jornada,-0.128
La Jornada: Russian soprano Anna Netrebko reappears at the Salzburg Festival,2011-08-11,0.0,Jornada,0.4939
"La Jornada: Economy and Lotenal sign agreement to certify 1,600 agents and billfolders",2011-08-11,0.7096,Jornada,0.4939
"La Jornada: Cyprus, on the way to the rescue: Fitch",2011-08-11,-0.296,Jornada,0.5106
La Jornada: It will be very difficult the next two years,2011-08-11,-0.296,Jornada,-0.4201
La Jornada: Obama does not give up on his vacation,2011-08-11,-0.6124,Jornada,0.0
La Jornada: Orders Sarkozy to reduce the deficit to avoid losing the credit rating,2011-08-11,-0.6369,Jornada,-0.5994
La Jornada: Sectur promotes tourism in Atlanta and Houston,2011-08-11,0.0,Jornada,0.34
La Jornada: Emplaza the president of the European Central Bank to governments to reduce their deficits,2011-08-11,0.6908,Jornada,0.0
La Jornada: The population still does not recover the level of income prior to 2008: BBVA,2011-08-11,-0.6808,Jornada,0.0
"La Jornada: No antidotes to deteriorating growth, says deputy secretary",2011-08-11,-0.8481,Jornada,0.1027
La Jornada: Lamb asked lawmakers to work out the budget together,2011-08-11,-0.5106,Jornada,0.0
La Jornada: Suspend review of fine against Telcel,2011-08-11,-0.1027,Jornada,-0.128
La Jornada: 400 companies will participate in food fair in Cancun,2011-08-11,0.0,Jornada,0.3182
La Jornada: Government will accelerate investment projects,2011-08-11,-0.4939,Jornada,0.0
La Jornada: There will be less growth and job creation will fall: Carstens,2011-08-11,-0.7096,Jornada,0.5279
