article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Military regime suspends sentences against 90 Egyptian civilians,2011-12-27,0.5574,Jornada,0.0516
La Jornada: The Afghan government accepts a Taliban office in Qatar to initiate peace talks,2011-12-27,0.8658,Jornada,0.7003
La Jornada: Arab League observers assess whether Syria meets peace plan,2011-12-27,0.2023,Jornada,0.5423
La Jornada: Argentine opponents will challenge before the SCJ the new law on newsprint,2011-12-27,0.8591,Jornada,0.0772
La Jornada: The Cuban State will rent premises to service providers,2011-12-27,0.8934,Jornada,0.0
"La Jornada: Deficient, the preparation of Tepco",2011-12-27,-0.743,Jornada,0.0
La Jornada: Nigerian Catholics urged to stop Islamic aggression against Christians,2011-12-27,-0.128,Jornada,-0.5267
La Jornada: Chinese dissident Chen Xi sentenced to 10 years in jail for subversion,2011-12-27,-0.9337,Jornada,-0.0258
La Jornada: Ship wrecks in lake of crocodiles,2011-12-27,0.0,Jornada,0.0
La Jornada: Israeli police clashes with ultra-Orthodox Jews from the village of Beit Shemesh,2011-12-27,-0.6808,Jornada,0.0
La Jornada: Typhoon Washi killed 249 people,2011-12-27,-0.6249,Jornada,-0.6705
The Journey: Women of Seoul pays tribute to Kim Jong-un,2011-12-27,0.3182,Jornada,0.0
La Jornada: Thousands remember in Indonesia and Thailand the 230 thousand victims of the 2004 tsunami,2011-12-27,-0.6597,Jornada,-0.3182
La Jornada: Extends the Uruguayan government the search for opponents disappeared by the military dictatorship,2011-12-27,0.8658,Jornada,-0.1027
La Jornada: The artistic community closes the year with the creation of a social security fund,2011-12-27,0.9716,Jornada,0.5423
"La Jornada: The millennial lines of Nasca, in Peru, are threatened by land invaders",2011-12-27,0.0,Jornada,-0.4588
La Jornada: The hope of this country lies in women: Eugenia Rico,2011-12-27,-0.6943,Jornada,0.0258
"The Journey: Back off the weight 3.56 cents; The interbank dollar, to $ 13.86",2011-12-27,0.2023,Jornada,0.0
La Jornada: Prevent attacks by cybercriminals,2011-12-27,0.0,Jornada,-0.4215
"La Jornada: Tarnished by the crisis, ten years of the euro",2011-12-27,0.0,Jornada,-0.6249
La Jornada: ICA Companies will relaunch the real estate and tourist development of Champotón,2011-12-27,-0.5267,Jornada,0.0
La Jornada: Grupo Televisa to have 10% stake in mobile telephony,2011-12-27,-0.128,Jornada,0.0
La Jornada: ICA-Maersk terminal construction concession awarded,2011-12-27,-0.5267,Jornada,0.4019
La Jornada: The European crisis will be sharpened in 2012: The Conference Board,2011-12-27,-0.802,Jornada,-0.6249
"La Jornada: Spain, on the way to recession; Decreases between 0.2 and 0.3% in the last quarter",2011-12-27,-0.7783,Jornada,-0.4215
The Journey: AL: moderate optimism,2011-12-27,-0.5859,Jornada,0.5423
"La Jornada: The CFE continues to promote projects with private participation; Earrings, 21",2011-12-27,0.25,Jornada,0.3818
La Jornada: Pre-candidates for AN in Guanajuato,2011-12-27,0.0,Jornada,0.0
La Jornada: Reject hydroelectric plant,2011-12-27,-0.296,Jornada,-0.4019
La Jornada: Investigate murder of young man in Cuernavaca,2011-12-27,-0.8442,Jornada,-0.6908
La Jornada: 2 babies die and old man gets cold in the north,2011-12-27,0.0,Jornada,-0.5994
"La Jornada: Certificates, between 8 and 10% of Edomex police officers",2011-12-27,0.3818,Jornada,0.0
La Jornada: Property increases in Aguascalientes,2011-12-27,0.0,Jornada,0.0
"La Jornada: Guerrero reported 2,980 work accidents this year: IMSS",2011-12-27,-0.926,Jornada,-0.3182
La Jornada: Ecologists fear to return to their community after kidnapping,2011-12-27,-0.7579,Jornada,-0.4939
La Jornada: Military accused of robbery and torture,2011-12-27,-0.7783,Jornada,-0.7269
"La Jornada: Asthma has 5% of Mexicans, according to INER",2011-12-27,0.4404,Jornada,0.0
