article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Historia reciente,2011-02-04,0.25,Jornada,0.0
"La Jornada: Manigat y Martelly, a segunda vuelta por la presidencia de Haití",2011-02-04,-0.128,Jornada,0.0
La Jornada: Convoca la Conaie a una protesta por la captura de 3 dirigentes indígenas en Ecuador,2011-02-04,-0.8625,Jornada,-0.25
La Jornada: Tras rutina de ejercicio muere un reo en Guantánamo,2011-02-04,-0.296,Jornada,0.0
La Jornada: Tormenta se dirige a la costa este de EU,2011-02-04,-0.34,Jornada,0.0
"La Jornada: Transición rápida y ordenada, reclaman líderes de Europa",2011-02-04,-0.9274,Jornada,0.0
La Jornada: Ayunan dos disidentes cubanos presos,2011-02-04,0.34,Jornada,-0.4767
La Jornada: Obama da tumbos ante su viejo aliado; opta por rezar,2011-02-04,-0.9201,Jornada,0.3182
La Jornada: Tensa calma en El Cairo; opositores resisten ataques,2011-02-04,-0.875,Jornada,-0.4588
La Jornada: Conmemoran el derrocamiento de Stroessner en Paraguay hace 22 años,2011-02-04,0.0,Jornada,0.0
"La Jornada: En el Día de ira, exigen miles cambio de régimen en Yemen",2011-02-04,-0.25,Jornada,-0.128
"La Jornada: Mubarak se irá mañana, clamor en la plaza Tahrir",2011-02-04,-0.9772,Jornada,-0.0516
La Jornada: Diputados niegan a la fiscalía de Milán permiso para investigar oficinas del contador de Berlusconi,2011-02-04,-0.5423,Jornada,-0.34
La Jornada: Exigen diputados británicos a la BBC disculparse por mofa sobre mexicanos,2011-02-04,0.8271,Jornada,-0.3182
La Jornada: Piden diputados al órgano electoral transparentar manejos financieros,2011-02-04,-0.6124,Jornada,0.0
La Jornada: Desalojan plantón de la otra campaña en la carretera Ocosingo-Palenque,2011-02-04,-0.8316,Jornada,0.0
"La Jornada: En el Día de ira, exigen miles cambio de régimen en Yemen",2011-02-04,-0.25,Jornada,-0.128
La Jornada: Obama da tumbos ante su viejo aliado; opta por rezar,2011-02-04,-0.9201,Jornada,0.3182
La Jornada: Obispos mexicanos irán a Colombia a intercambiar experiencias sobre violencia,2011-02-04,0.1027,Jornada,-0.6249
La Jornada: Abre Sedena al público el Campo Militar Número 1,2011-02-04,-0.2023,Jornada,0.0772
La Jornada: Rechaza jefe Diego alianzas PAN-PRD,2011-02-04,-0.296,Jornada,-0.4939
La Jornada: Instalaciones de Sempra no cumplen leyes de Ensenada,2011-02-04,-0.8979,Jornada,0.0
"La Jornada: Transición rápida y ordenada, reclaman líderes de Europa",2011-02-04,-0.9274,Jornada,0.0
"La Jornada: Busca EU la extradición de El Charro, vinculado a ejecución de 20 michoacanos",2011-02-04,-0.7579,Jornada,0.0
"La Jornada: Fernández de Cevallos, en favor de alianzas, pero entre PRI y PAN: López Obrador",2011-02-04,-0.296,Jornada,0.2144
La Jornada: Estamos en la ruta equivocada en la construcción del sistema de salud: Levy,2011-02-04,-0.4404,Jornada,-0.4767
La Jornada: Reportaron ayer 15 ejecuciones del crimen organizado en seis entidades,2011-02-04,0.0,Jornada,-0.5423
La Jornada: Llama Blake a depurar las policías,2011-02-04,0.0258,Jornada,0.0
La Jornada: Se tomará en cuenta todo lo hecho por los candidatos a sustituir a Gudiño en la Corte,2011-02-04,-0.6908,Jornada,0.0
La Jornada: Historia reciente,2011-02-04,0.25,Jornada,0.0
La Jornada: Queda en suspenso el dictamen para expedir la ley sobre trata de personas,2011-02-04,-0.8442,Jornada,-0.4767
La Jornada: El fuero no alcanza para abrigar la injuria: Blake,2011-02-04,0.3182,Jornada,-0.4215
La Jornada: Vincula HRW a militares y policías con muertes y desapariciones en NL,2011-02-04,-0.802,Jornada,0.0
La Jornada: Trasladaba dinero del narco,2011-02-04,0.0,Jornada,0.0
"La Jornada: Calderón ya tiene favorito para ocupar cargo en la SCJN, coinciden expertos",2011-02-04,-0.7184,Jornada,0.6705
La Jornada: Trifulca en San Lázaro por manta de PT y PRD ofensiva para Calderón,2011-02-04,-0.34,Jornada,-0.4588
La Jornada: Levantan a ex edil de Fresnillo,2011-02-04,0.4404,Jornada,0.0
"La Jornada: Mubarak se irá mañana, clamor en la plaza Tahrir",2011-02-04,-0.9772,Jornada,-0.0516
La Jornada: Realiza aerolínea Mexicana vuelo de certificación,2011-02-04,0.0516,Jornada,0.0
La Jornada: Reconoce Juan Sabines labor de taxistas vigilantes; entrega estímulos,2011-02-04,-0.5106,Jornada,0.1779
La Jornada: Formal prisión a dos federales en Juárez,2011-02-04,-0.9601,Jornada,-0.5106
La Jornada: Sobrecargos desconocen a Lizette Clavel como dirigente,2011-02-04,0.0,Jornada,-0.3612
La Jornada: Pide Godoy más inversión en el campo para detener los flagelos que azotan Michoacán,2011-02-04,-0.4215,Jornada,-0.296
La Jornada: ONU y Edomex suman esfuerzos en favor de la equidad de género,2011-02-04,-0.2732,Jornada,0.5994
La Jornada: Demandan senadores preservar la vida de ciudadanos en operativos,2011-02-04,-0.8555,Jornada,-0.128
La Jornada: Demanda el SME a la Secretaría de Gobernación reanudar negociaciones,2011-02-04,0.0,Jornada,0.0
La Jornada: Emitió el IFE 12.2 millones de credenciales,2011-02-04,0.0,Jornada,0.0
La Jornada: Cascada de cambios en el equipo de trabajo del gobernador neoleonés,2011-02-04,0.8957,Jornada,0.0
La Jornada: Llama la UNAM a legisladores a dar alta prioridad a la educación,2011-02-04,-0.6124,Jornada,0.0
La Jornada: Tensa calma en El Cairo; opositores resisten ataques,2011-02-04,-0.875,Jornada,-0.4588
La Jornada: Emboscan y asesinan al titular de seguridad pública en Nuevo Laredo,2011-02-04,-0.8834,Jornada,-0.5994
"La Jornada: La Camerata de Coahuila revolucionó la vida cultural del estado, dice su director",2011-02-04,-0.9702,Jornada,0.0
