article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Defiende el premier sueco a la justicia de su país por el caso contra Julian Assange,2011-02-10,-0.25,Jornada,0.5267
"La Jornada: Obama no se tiñe el pelo, dice su esposa",2011-02-10,0.0,Jornada,0.0
La Jornada: Atentado con coches bomba en Irak,2011-02-10,-0.5859,Jornada,-0.743
"La Jornada: Juicio inmediato a Berlusconi por prostitución de una menor y abuso de poder, pide fiscalía de Milán",2011-02-10,-0.25,Jornada,-0.8126
La Jornada: Secuestran un barco petrolero que iba a EU,2011-02-10,0.0,Jornada,0.0
La Jornada: Comienza a hablar la congresista Giffords,2011-02-10,0.0,Jornada,0.0
La Jornada: Enjuician en Argentina a dos jueces que colaboraron con la dictadura,2011-02-10,-0.8316,Jornada,0.0
La Jornada: La alternativa al diálogo podría ser un golpe: Suleiman,2011-02-10,-0.6908,Jornada,0.0
La Jornada: Asesinan a ministro de Sudán del Sur,2011-02-10,-0.296,Jornada,0.0
La Jornada: Liberan las FARC al concejal Baquero tras año y siete meses de secuestro,2011-02-10,0.0,Jornada,0.0
"La Jornada: Ruptura total con el pasado, proclama Sortu al registrarse ante el gobierno español",2011-02-10,-0.5267,Jornada,0.0
La Jornada: Trasladan a bodega de PGR precursores de drogas propiedad de Zhenli Ye Gon,2011-02-10,0.0,Jornada,0.0
La Jornada: Aprueba juez de Estados Unidos la extradición de Zhenli Ye Gon a México,2011-02-10,-0.7783,Jornada,0.4019
La Jornada: Asesinan al empresario juarense que mató en defensa propia a dos pistoleros en enero,2011-02-10,-0.9493,Jornada,-0.6705
"La Jornada: A pago de bonos, presupuesto adicional de 2009, año de gran crisis, informa la Cámara",2011-02-10,-0.5267,Jornada,0.0
La Jornada: Lozano se destapa para 2012,2011-02-10,0.0,Jornada,0.0
La Jornada: Condiciona el Senado acuerdos comerciales con tres países de AL,2011-02-10,-0.7906,Jornada,0.2732
La Jornada: Duda cónsul de EU de eficacia del Ejército en lucha antinarco,2011-02-10,-0.9747,Jornada,-0.3818
La Jornada: Inician ayuno en Juárez para exigir el rescate de la familia Reyes Salazar,2011-02-10,-0.6249,Jornada,0.4215
"La Jornada: Noble propósito del IFE, comprar edificios que ahora renta: consejeros",2011-02-10,-0.296,Jornada,0.4588
La Jornada: Gobernación no acatará petición de diputados,2011-02-10,-0.4588,Jornada,-0.2924
La Jornada: Temen ofensiva contra la libertad de expresión,2011-02-10,0.8658,Jornada,-0.25
"La Jornada: El TEPJF, para garantizar los comicios: Alanís",2011-02-10,-0.4939,Jornada,0.25
La Jornada: Hacienda nos volvió a ver la cara: PRI,2011-02-10,-0.0258,Jornada,0.0
"La Jornada: Lealtad, pide Galván a civiles y militares",2011-02-10,0.5994,Jornada,0.5423
"La Jornada: Legisladores instan a no tramitar la cédula de identidad; es riesgoso, dicen",2011-02-10,-0.2732,Jornada,-0.2023
La Jornada: Ineficaz combate al lavado de dinero,2011-02-10,0.0,Jornada,-0.4767
La Jornada: La operación de Sempra refleja hechos similares a la peor época de Al Capone,2011-02-10,0.2732,Jornada,-0.6249
La Jornada: No operan aquí grupos terroristas que amenacen intereses de EU: Pascual,2011-02-10,-0.9828,Jornada,-0.743
La Jornada: Intenso cabildeo en el Senado para nombrar por consenso al nuevo ministro de la Corte,2011-02-10,0.7506,Jornada,0.0
La Jornada: Alarman a la Academia de Medicina los rezagos que sufre el sector salud,2011-02-10,-0.5267,Jornada,-0.3612
"La Jornada: Calderón, con buen estado de salud, informan en Los Pinos",2011-02-10,0.25,Jornada,0.4404
La Jornada: Napolitano: preocupa a EU posible acción conjunta de narcos mexicanos y Al Qaeda,2011-02-10,-0.9565,Jornada,0.0
"La Jornada: Tiene AN 10 personajes para elegir candidato, dice Madero",2011-02-10,-0.6908,Jornada,0.0
La Jornada: Truena la IP de Baja California contra políticos que afectan inversiones,2011-02-10,0.6808,Jornada,0.0
La Jornada: Un berrinche presidencial digno de las dictaduras ocasionó mi cese: Aristegui,2011-02-10,-0.8225,Jornada,-0.2732
La Jornada: Dinero,2011-02-10,0.8689,Jornada,0.0
La Jornada: Fallecen en Tamaulipas 10 presuntos delincuentes durante ataques al Ejército,2011-02-10,-0.9661,Jornada,-0.872
La Jornada: Descalifica SRE lo dicho por el subsecretario del Ejército de EU,2011-02-10,0.0258,Jornada,0.0
"La Jornada: Nada respalda a Westphal, dice Blake",2011-02-10,-0.7506,Jornada,-0.0516
La Jornada: Piden que El Ponchis repare el daño por $3.5 millones a deudos de sus víctimas,2011-02-10,0.3182,Jornada,-0.6705
La Jornada: Activistas piden a magistrados no ceder a presiones de Francia en el caso Cassez,2011-02-10,-0.6597,Jornada,-0.3182
La Jornada: Bola rápida de Calderón en Los Pinos,2011-02-10,0.5859,Jornada,0.0
"La Jornada: Si alguien pudiera unificar al PRD sería Lázaro, afirma Cuauhtémoc Cárdenas",2011-02-10,-0.7783,Jornada,0.0
La Jornada: Rinden homenaje a Juan Soriano en el quinto aniversario luctuoso del artista,2011-02-10,0.7906,Jornada,-0.1027
La Jornada: Aomame,2011-02-10,-0.9882,Jornada,0.0
La Jornada: Lanzan en español monumental novela de Haruki Murakami,2011-02-10,-0.296,Jornada,0.3182
La Jornada: Señalan ONG proceso viciado contra indígena,2011-02-10,0.0,Jornada,0.0
La Jornada: Acuerdan reubicar a sexoservidores,2011-02-10,0.0258,Jornada,0.3612
La Jornada: Rarámuris recuperan predios invadidos,2011-02-10,0.0,Jornada,0.0
La Jornada: Evaden pago de agua 1.2 millones de mexiquenses; pasivo de $800 millones,2011-02-10,-0.296,Jornada,-0.2023
La Jornada: Premian a empresa que hará estadio en NL,2011-02-10,0.0,Jornada,0.5719
La Jornada: Ratifican a consejeros electorales queretanos,2011-02-10,0.0,Jornada,0.0
"La Jornada: Declara la Sagarpa desastre en 16 municipios de Sinaloa, por heladas",2011-02-10,-0.8402,Jornada,-0.6249
"La Jornada: En decadencia, el respeto a derechos humanos en Jalisco, advierte informe",2011-02-10,0.5267,Jornada,0.4019
La Jornada: Embargan al PAN-QR; proveedor exige pago,2011-02-10,-0.25,Jornada,0.0
La Jornada: Aumenta a 8 total de muertos por enfrentamiento en Oaxaca,2011-02-10,-0.5267,Jornada,-0.7783
"La Jornada: PRD, único culpable del fracaso en BCS: dirigente",2011-02-10,-0.128,Jornada,-0.5106
La Jornada: Perecen siete en tres percances viales; 33 heridos,2011-02-10,-0.7351,Jornada,-0.4019
La Jornada: Señalan alta mortalidad en hospitales públicos,2011-02-10,0.0,Jornada,0.0
La Jornada: Exigen choferes alza a pasajes en Hermosillo,2011-02-10,0.0,Jornada,-0.128
La Jornada: Amagan con paro en la Autónoma de Guerrero,2011-02-10,0.0,Jornada,-0.4404
La Jornada: Exigen agilizar reinstalación de Manuel Añorve,2011-02-10,0.0,Jornada,-0.128
"La Jornada: Cirugía de nódulos de la axila, innecesaria en cáncer incipiente",2011-02-10,-0.9953,Jornada,-0.6597
