article,pub_date,nltk_score,source,nltk_score_title
La Jornada: El informante inicial de Wikileaks denuncia maltrato en la prisión,2011-01-22,-0.5106,Jornada,-0.7351
La Jornada: Inicia juicio a ex presidente de Guatemala,2011-01-22,-0.2263,Jornada,0.0
La Jornada: Siguen protestas contra el gobierno de unidad tunecino,2011-01-22,-0.7096,Jornada,-0.2263
La Jornada: Ofrece Bin Laden a Francia liberar a secuestrados si se retira de Afganistán,2011-01-22,0.7351,Jornada,0.0
"La Jornada: Narcotraficantes, miembros de los servicios de seguridad iraníes: EU",2011-01-22,-0.9153,Jornada,0.34
La Jornada: Película sobre la vida de Assange,2011-01-22,-0.8316,Jornada,0.0
La Jornada: Hugo Chávez retira oferta de derogar ley para legislar por decreto durante 18 meses,2011-01-22,0.5574,Jornada,0.0
La Jornada: Condiciona Irán el diálogo con las potencias del Consejo de Seguridad de la ONU,2011-01-22,0.34,Jornada,0.34
"La Jornada: Baby Doc regresó a Haití para intentar recuperar 8 mdd, afirma funcionario del gobierno de Préval",2011-01-22,-0.5574,Jornada,0.0
La Jornada: Dejan tres muertos choques entre la oposición y la policía de Albania,2011-01-22,-0.4767,Jornada,-0.6705
La Jornada: Suspende Cuba envíos postales a Estados Unidos,2011-01-22,0.3612,Jornada,0.4215
La Jornada: Celebridades francesas fallecidas podrán volver a fumar en público,2011-01-22,0.34,Jornada,-0.6486
La Jornada: Protección Civil del DF todavía no emite el dictamen oficial sobre Bellas Artes,2011-01-22,-0.9337,Jornada,0.2023
La Jornada: Muestran en la Sala Nezahualcóyotl el potencial expresivo del rostro humano,2011-01-22,0.4588,Jornada,0.0
La Jornada: El Rey Lagarto en la hoguera,2011-01-22,-0.5423,Jornada,0.0
La Jornada: Caracoles zapatistas profundizan insólita experiencia en la prevención de enfermedades,2011-01-22,-0.8779,Jornada,0.0
La Jornada: Arturo Anaya: la lucha del bien y el mal detonará auge literario,2011-01-22,0.7351,Jornada,-0.6249
La Jornada: Industrial italiano del calzado financiará la restauración del Coliseo de Roma,2011-01-22,0.0,Jornada,0.0
"La Jornada: Desempleo, arriba de 5% en 2011: analistas",2011-01-22,-0.8271,Jornada,-0.4404
La Jornada: Gruma venderá 8.8% de sus acciones en Banorte,2011-01-22,-0.4939,Jornada,0.296
La Jornada: Evidencia irregularidades negar acceso a grabaciones y documentos de la licitación 21,2011-01-22,-0.7003,Jornada,-0.34
