article,pub_date,nltk_score,source,nltk_score_title
La Jornada: La Habana utiliza el cambio climático como plataforma política contra Washington,2011-01-24,0.0,Jornada,0.0
La Jornada: Israel: fue legal el asalto a flotilla humanitaria en Gaza en 2010,2011-01-24,0.0772,Jornada,-0.5106
"La Jornada: Religen a Cavaco Silva presidente de Portugal, en primera vuelta de comicios",2011-01-24,-0.296,Jornada,0.0
La Jornada: Exigen a EU detener ataques con aviones no tripulados,2011-01-24,-0.4404,Jornada,-0.6808
La Jornada: En 2009 la economía cubana era menos vulnerable que en la crisis post-soviética,2011-01-24,0.5106,Jornada,-0.6915
La Jornada: Piden gobierno provisional en Haití,2011-01-24,0.0,Jornada,0.0
La Jornada: Tribunal Supremo de Cuba acepta demanda contra ministra de Justicia,2011-01-24,0.4404,Jornada,0.8519
La Jornada: Partido de Berlusconi mantiene apoyo,2011-01-24,0.4588,Jornada,0.6597
La Jornada: Me pinto de colores en 2019: Hugo Chávez,2011-01-24,0.0,Jornada,0.0
La Jornada: Miles de tunecinos de zonas pobres se suman a manifestaciones contra el gobierno de unidad,2011-01-24,-0.0258,Jornada,-0.2263
La Jornada: Assange critica a Suiza por detener a ex banquero,2011-01-24,0.5267,Jornada,-0.34
La Jornada: Argentina: termina paro de productores agrarios,2011-01-24,-0.9638,Jornada,-0.4404
La Jornada: Bélgica rompe récord europeo sin gobierno estable,2011-01-24,0.0,Jornada,-0.2235
La Jornada: París: miles se forman durante horas para ver gran muestra de Monet,2011-01-24,-0.128,Jornada,0.0
"La Jornada: La obra de María Lagunes, alerta del vacío crítico en la escultura mexicana",2011-01-24,-0.296,Jornada,-0.0258
La Jornada: Conspiratio se suma al análisis de los problemas sociales a partir de su visión cristiana,2011-01-24,-0.9186,Jornada,-0.1779
"La Jornada: Archivo Histórico del IPN, 10 años al resguardo del alma politécnica",2011-01-24,-0.296,Jornada,0.0
"La Jornada: El horror del narco beneficia al poderoso, planteamiento de la novela Conspiración",2011-01-24,0.2023,Jornada,-0.1027
La Jornada: No hay escalada de precios: Hacienda,2011-01-24,0.0258,Jornada,-0.296
La Jornada: Grupo Salinas no se desistirá en juicios sobre la licitación 21,2011-01-24,-0.8625,Jornada,0.0
"La Jornada: México continúa estructuralmente débil, afirma la calificadora Fitch",2011-01-24,-0.7269,Jornada,-0.4404
La Jornada: Telefónica y Unicom robustecen alianza,2011-01-24,0.0,Jornada,0.3182
La Jornada: Probará Google con cupones de prepago y ofertas,2011-01-24,0.1779,Jornada,0.0
La Jornada: Se abordarán conflictos sociales en Foro de Davos,2011-01-24,-0.5994,Jornada,-0.3818
La Jornada: Agencias de viajes serán desplazadas,2011-01-24,0.0,Jornada,0.0
"La Jornada: Experto: sin base, pronóstico de crecimiento",2011-01-24,-0.7783,Jornada,0.1027
La Jornada: Crece 0.46 movilización de pasajeros en AICM,2011-01-24,0.0,Jornada,0.1779
"La Jornada: En piratería y contrabando, 12 millones de mexicanos, dicen comerciantes establecidos",2011-01-24,-0.1531,Jornada,-0.4767
