article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Eight high school students start a fast against the government of Chile,2011-07-21,-0.6369,Jornada,0.0
"The Journey: Cameron, under legislative fire for his links with Murdoch",2011-07-21,-0.7003,Jornada,-0.34
La Jornada: London court orders Scotland Yard to reveal information on telephone espionage,2011-07-21,-0.7845,Jornada,0.0
"La Jornada: Brazilian police, after the killers of the environmental partner opposed to clandestine logging",2011-07-21,-0.8957,Jornada,-0.6486
La Jornada: Rafael Correa wins lawsuit against an Ecuadorian newspaper,2011-07-21,-0.5267,Jornada,0.4215
The Day: The alleged war criminal Goran Hadzic is detained in Serbia; Of the EU,2011-07-21,-0.128,Jornada,-0.875
"La Jornada: Accused of corruption, resigned the head of the Generalitat de Valencia",2011-07-21,-0.8519,Jornada,-0.4939
La Jornada: Murdoch's women leave in their defense,2011-07-21,0.1779,Jornada,0.0772
La Jornada: President Sarkozy receives Libyan armed opposition,2011-07-21,-0.6249,Jornada,0.0
La Jornada: Israeli air force bombards the Gaza Strip in retaliation for Palestinian missile fire,2011-07-21,-0.4767,Jornada,-0.34
La Jornada: Ballet Independiente celebrated 45 years of artistic career in Fine Arts,2011-07-21,0.6908,Jornada,0.6705
"La Jornada: Changes in the book industry, e-books and turbulent economy annihilate Borders",2011-07-21,-0.5267,Jornada,0.0
La Jornada: They invite to admire colossal and millenary Olmec heads,2011-07-21,-0.3612,Jornada,0.5719
The Journey: Search playwright captivate the young through a playful and didactic theater,2011-07-21,0.25,Jornada,0.4404
La Jornada: El Parnasso closed due to the crisis in the editorial branch and a 250% increase in income,2011-07-21,-0.802,Jornada,-0.4215
La Jornada: Rejects CFE to increase rates,2011-07-21,0.5574,Jornada,-0.2263
La Jornada: 7.8% revenues of America Movil,2011-07-21,-0.128,Jornada,0.0
La Jornada: Interrogates French police to Socialist Party president on Strauss-Kahn case,2011-07-21,-0.9325,Jornada,0.4019
La Jornada: Germany and France reached agreement on second rescue to Greece,2011-07-21,0.8555,Jornada,0.7845
La Jornada: Review proposals for Tianguis,2011-07-21,-0.2263,Jornada,0.0
La Jornada: Presents Avanza Capital before Mexicana conciliator a guarantee for 300 mdd,2011-07-21,-0.8834,Jornada,0.25
"La Jornada: Consumer confidence, in levels of recession for debate in the US: financial institution",2011-07-21,-0.6808,Jornada,0.128
La Jornada: We are not tourist power: Miguel Torruco,2011-07-21,-0.4019,Jornada,0.0
The Day: Obama opens the door to temporary increase of the debt ceiling,2011-07-21,-0.6705,Jornada,-0.0516
La Jornada: Apple's share price approaching record $ 400,2011-07-21,0.7506,Jornada,0.296
La Jornada: Aeroméxico to raise pilot salary according to inflation,2011-07-21,0.4939,Jornada,0.0
The Journey: Dora becomes a level 4 hurricane; Alert on the Pacific coast,2011-07-21,-0.0516,Jornada,0.296
La Jornada: Colima will ask Jalisco to desist from the dispute for 500 square kilometers,2011-07-21,-0.25,Jornada,-0.4019
La Jornada: 12 intoxicated with clenbuterol in Aguascalientes,2011-07-21,0.0,Jornada,0.0
La Jornada: Former AN candidate in Nayarit will resume curul,2011-07-21,0.0,Jornada,0.0
"La Jornada: One hundred houses of Atizapán, flooded with black water",2011-07-21,-0.4215,Jornada,0.0
La Jornada: SLP: order to replace election of directors,2011-07-21,-0.6597,Jornada,0.0
La Jornada: Tamaulipas: 487 cases of tuberculosis this year,2011-07-21,0.0,Jornada,0.0
La Jornada: The Ssa-Guerrero owes more than one billion pesos to suppliers,2011-07-21,-0.25,Jornada,0.0
La Jornada: 400% boar population grows in Durango,2011-07-21,0.0,Jornada,0.0
"La Jornada: Figueroa Zamudio, after the mayor of Morelia",2011-07-21,0.0,Jornada,0.0
La Jornada: Emergency in 5 municipalities of Oaxaca,2011-07-21,-0.7717,Jornada,-0.3818
La Jornada: Condonará CFE debts to victims,2011-07-21,0.2732,Jornada,-0.3182
La Jornada: Impact of mass affiliations on blanquillazul,2011-07-21,0.0,Jornada,0.0
La Jornada: More than half of the municipalities of Guerrero lack potable water,2011-07-21,0.4404,Jornada,-0.3182
La Jornada: Monterrey: promises to relocate to sellers,2011-07-21,0.0772,Jornada,0.3818
La Jornada: Accused of proselytizing in Spain,2011-07-21,0.0,Jornada,-0.296
La Jornada: Juárez to build international bridge,2011-07-21,-0.296,Jornada,0.0
La Jornada: Parties fear that insecurity will influence the election of Michoacán,2011-07-21,0.1027,Jornada,-0.5106
La Jornada: Dialysis and hemodialysis therapies for children will join the fund against catastrophes,2011-07-21,-0.6908,Jornada,0.296
La Jornada: Inhabitants of El Salto will show the ravages of pollution,2011-07-21,-0.296,Jornada,0.0
La Jornada: UAM builds new headquarters in protected natural area since 2002,2011-07-21,-0.34,Jornada,0.6597
"La Jornada: Every year 600,000 students are deserted; 70%, in the first year of high school",2011-07-21,-0.7269,Jornada,0.0
La Jornada: Calderón and Lozano said we were liquidated and did not comply,2011-07-21,-0.5267,Jornada,0.0
La Jornada: A French girl without vaccination brought measles back to Mexico: Ssa,2011-07-21,-0.5267,Jornada,0.0
La Jornada: León Government gives $ 30 million to Tec de Monterrey and Uia,2011-07-21,0.6369,Jornada,0.0
La Jornada: Coparmex will give legal support to whistleblowers of the sale of the exam,2011-07-21,-0.4939,Jornada,0.4939
La Jornada: Circumcision protects against AIDS in 76% of cases: study,2011-07-21,-0.296,Jornada,0.3182
La Jornada: Using clones of a single species to produce tequila puts at risk the diversity of agave,2011-07-21,-0.6808,Jornada,-0.2732
"The Day: Alzheimer's, the most feared evil after cancer, according to a survey",2011-07-21,-0.9545,Jornada,-0.927
Gene Mutation Causes Infertility in Men,2011-07-21,-0.4019,Jornada,0.0
La Jornada: Going to Dialogue for Peace,2011-07-21,0.9451,Jornada,0.5423
"La Jornada: Fox, Salinas and Gordillo, among those guilty of violence in Juárez: López Obrador",2011-07-21,-0.93,Jornada,-0.7845
"La Jornada: If there is an agreement, the PRI will fight for an extra period: Moreira",2011-07-21,-0.3818,Jornada,0.1531
La Jornada: Blake is present today before the Permanent,2011-07-21,0.5106,Jornada,0.0
"La Jornada: The anti-piracy agreement on the Internet violates the country's laws, senators say",2011-07-21,0.6597,Jornada,-0.0258
The Journey: Legal Patras: Zambrano,2011-07-21,-0.9241,Jornada,0.128
La Jornada: Decompose more than 787 tons of precursors to produce drugs,2011-07-21,0.1027,Jornada,0.0
"La Jornada: AMLO does not need vocabularies, says Ebrard",2011-07-21,-0.5267,Jornada,0.0
La Jornada: Former adviser to the counselor Guerrero Aguirre assumes as PRI representative in the IFE,2011-07-21,0.4215,Jornada,0.0
