article,pub_date,nltk_score,source,nltk_score_title
La Jornada: More than 800 thousand Bolivian children work,2011-06-10,0.5423,Jornada,0.0
The Day: Alabama promulgates the most severe anti-immigrant law in the US,2011-06-10,-0.1779,Jornada,-0.4391
La Jornada: Miami ashes to Orlando Zapata to Miami,2011-06-10,0.0,Jornada,0.0
La Jornada: Former Guatemalan police director arrested,2011-06-10,-0.8074,Jornada,-0.4767
La Jornada: Gaddafi uses rape as a weapon of war: CPI,2011-06-10,-0.9786,Jornada,-0.8957
La Jornada: Mexico regrets new legislation: Chancellery,2011-06-10,0.1027,Jornada,-0.3612
"The Journey: Obama Intensifies Undercover War in Yemen, The New York Times",2011-06-10,-0.5994,Jornada,-0.5994
La Jornada: The 4 Mapuche prisoners lift the 86-day hunger strike,2011-06-10,-0.9186,Jornada,-0.7003
La Jornada: Suspend flights in South America,2011-06-10,0.0,Jornada,-0.3182
La Jornada: Five killed by heatwave in US,2011-06-10,0.0,Jornada,-0.6705
The Journey: Russia and the United States do not agree on the future of the missile shield,2011-06-10,0.4215,Jornada,0.1754
La Jornada: Assassin assassinated leader of displaced by paramilitary violence in Colombia,2011-06-10,-0.886,Jornada,-0.6249
"La Jornada: Free in Brazil, activist Battisti; Italy will take the case to The Hague",2011-06-10,-0.926,Jornada,0.5106
La Jornada: They repressed indignados in Valencia and Santiago de Compostela; 30 injured,2011-06-10,-0.9081,Jornada,-0.6124
La Jornada: Rescatan shows that Salvador Allende was going to inaugurate the day of the military coup,2011-06-10,-0.296,Jornada,0.0
La Jornada: The resolution of the PGR does not authenticate the works attributed to Frida: Philips Olmedo,2011-06-10,-0.9844,Jornada,0.0
La Jornada: Integral compilation of Inés Arredondo's work,2011-06-10,-0.296,Jornada,0.0
"La Jornada: The federal government seeks to convert archeological zones into franchises, says anthropologist",2011-06-10,-0.296,Jornada,0.0
La Jornada: INAH Announces Exhibition on the Millennial Chinese Civilization,2011-06-10,0.0,Jornada,0.0
La Jornada: Ebrard requests the INAH to know the project of the House of Tlaltecuhtli,2011-06-10,0.4215,Jornada,0.0
La Jornada: Farmers will stop planting,2011-06-10,-0.4019,Jornada,-0.296
La Jornada: Ask Mexico to Washington not generalize alerts to tourists,2011-06-10,-0.4404,Jornada,0.0
La Jornada: The total gross external debt of Mexico amounts to 257 thousand million dollars: BdeM and SHCP,2011-06-10,0.0,Jornada,-0.6808
La Jornada: Chinese Oil Pursue Oil on the Cuban Side of the Gulf of Mexico,2011-06-10,0.7184,Jornada,0.0
La Jornada: Weak domestic economic activity led to lower inflation,2011-06-10,0.6369,Jornada,-0.6249
The Day: Hillary Clinton already negotiates to chair the World Bank,2011-06-10,0.2023,Jornada,0.0
La Jornada: Doubling of public debt in Venezuela this year,2011-06-10,0.2198,Jornada,-0.3612
La Jornada: Promises Lagarde to give China a voice in the IMF if it directs it,2011-06-10,-0.5267,Jornada,0.3818
La Jornada: Reduces Cofetel from 75 to 4 cents Telmex rural and inter-city interconnection rate,2011-06-10,-0.8402,Jornada,0.0
La Jornada: Up to $ 15.40 a kilo tortilla is sold in some cities: SNIIM,2011-06-10,-0.296,Jornada,0.0
La Jornada: TG Group is out of Mexicana for giving false documents,2011-06-10,-0.91,Jornada,0.34
"La Jornada: The climate has gone mad in Mexico, says Civil Protection",2011-06-10,-0.8126,Jornada,-0.4939
La Jornada: Industrialists will pay more for corn,2011-06-10,-0.296,Jornada,-0.1027
La Jornada: Officials ignored by the Congress of Morelos to clarify disappearance of Jethro,2011-06-10,0.5994,Jornada,-0.3182
La Jornada: Encinas asks to change rules of the debates,2011-06-10,0.5574,Jornada,0.0
"La Jornada: Círigo and Arce will support the PRI in other states, the DF and even the Presidency",2011-06-10,-0.7783,Jornada,0.4019
La Jornada: Delivered to private stadium in Tepic built with public funds,2011-06-10,0.0,Jornada,0.0
La Jornada: Demand to dismiss general secretary of PVEM in Jalisco by nepotism,2011-06-10,0.0,Jornada,-0.128
La Jornada: Mismanagement and purge in the PAN of Durango,2011-06-10,-0.743,Jornada,0.0
La Jornada: Tabasco declares ready for rainy season,2011-06-10,0.128,Jornada,0.296
La Jornada: Apprehend two former officials of Chiapas,2011-06-10,0.5267,Jornada,0.0
La Jornada: Exhuman 8 bodies in Durango; Van 237,2011-06-10,0.0,Jornada,0.0
La Jornada: Earthquake of 4.5 degrees Richter in Mexicali,2011-06-10,-0.743,Jornada,0.0
La Jornada: The rights of Pablo Salazar are violated in El Amate: lawyers,2011-06-10,0.6369,Jornada,-0.5267
La Jornada: The Jalisco Family Council is accused of abandoning 30 minors,2011-06-10,-0.296,Jornada,-0.5859
La Jornada: Death of Lala's partner generates family dispute,2011-06-10,-0.9729,Jornada,-0.765
La Jornada: Chihuahua police chief resigns,2011-06-10,-0.3612,Jornada,-0.3182
La Jornada: Request to resolve land dispute in Guerrero,2011-06-10,0.0,Jornada,-0.0258
La Jornada: Facebook application opens controversy over intrusion on privacy,2011-06-10,-0.0516,Jornada,0.0
La Jornada: Three out of 10 working children are at risk: specialists,2011-06-10,-0.8396,Jornada,-0.2732
"La Jornada: ""Tecnocharros go for everything: Lottery, ISSSTE and the democratic federation""",2011-06-10,-0.4588,Jornada,0.0
"La Jornada: More than 1,500 communities in the north face drought emergency",2011-06-10,-0.7506,Jornada,-0.3818
La Jornada: González Sánchez proposes master's degree to be a teacher,2011-06-10,-0.8625,Jornada,0.0
La Jornada: No closed areas for extraction of aquifers are respected: Souza,2011-06-10,-0.34,Jornada,0.2263
"La Jornada: Against HIV, sex education and friendly health services: Córdova Villalobos",2011-06-10,0.0,Jornada,0.4939
La Jornada: Teachers ask the government for resources for thousands of schools in deplorable state,2011-06-10,-0.3818,Jornada,0.0
La Jornada: Cow in Argentina to be given maternity milk,2011-06-10,-0.228,Jornada,0.0
La Jornada: Promoting vaccination programs will save more than 6 million children,2011-06-10,-0.5574,Jornada,0.6908
La Jornada: Document 127 cases of corruption in United States police force,2011-06-10,0.7351,Jornada,0.4215
"La Jornada: Ready, the draft code of criminal proceedings of the Executive",2011-06-10,0.9702,Jornada,-0.2263
La Jornada: Create a senior official and an address in the CJF,2011-06-10,0.9022,Jornada,0.2732
La Jornada: Enrich documentary with unpublished materials,2011-06-10,-0.9186,Jornada,0.0
La Jornada: The CFE denounces attack of alleged members of the SME against workers,2011-06-10,-0.6486,Jornada,-0.7184
"La Jornada: Violence has been institutionalized, says human rights defender",2011-06-10,-0.802,Jornada,-0.5719
La Jornada: The candidate of the left will be the best positioned: PRD,2011-06-10,0.0,Jornada,0.6369
"La Jornada: Is it worth your war ?, Sicilia asks Calderón",2011-06-10,-0.9723,Jornada,-0.4588
"La Jornada: Measuring with the same staff Peña Nieto and the federal administration, asks Zambrano",2011-06-10,0.5267,Jornada,0.0
"La Jornada: Margina to citizen's national security law, Concha says",2011-06-10,0.988,Jornada,0.34
"La Jornada: Violence, one of the main risk factors for the economy",2011-06-10,-0.9325,Jornada,-0.7351
La Jornada: Signed today the National Citizen Pact,2011-06-10,0.34,Jornada,0.0
La Jornada: SSP confirms arrest of activist Laurencio Barraza,2011-06-10,0.34,Jornada,-0.34
La Jornada: The President Lies when presenting himself as a champion of the basic guarantees: Pablo Gómez,2011-06-10,-0.0516,Jornada,0.2732
La Jornada: 169-year prison sentence condemned to murder of Fernando Martí,2011-06-10,-0.7717,Jornada,-0.891
"La Jornada: The poet's arrival in Ciudad Juarez, the epicenter of pain",2011-06-10,-0.5106,Jornada,-0.5106
La Jornada: Question points of political reform,2011-06-10,-0.296,Jornada,0.0
La Jornada: Spanish group to build solar and gas central Sonora,2011-06-10,0.0,Jornada,0.0
La Jornada: Denounce the disappearance of the head of information of Acapulco News,2011-06-10,0.0,Jornada,-0.34
La Jornada: Decomisa la PF 132 kilos of marijuana in Guanajuato,2011-06-10,0.0,Jornada,0.0
"La Jornada: The halconazo, sour memories of four decades of impunity",2011-06-10,-0.4019,Jornada,0.0
La Jornada: Creel and Vázquez Mota call PAN to advance times to choose candidate,2011-06-10,-0.8658,Jornada,0.0
La Jornada: The government has been left with a duty in the matter of kidnapping: Blake,2011-06-10,0.8779,Jornada,0.0258
"La Jornada: Our decisions are autonomous, says the IFE to critics by withdrawal of official espots",2011-06-10,-0.8885,Jornada,-0.2732
La Jornada: Two prisoners detained with Jorge Hank Rhon are released on bail,2011-06-10,-0.872,Jornada,-0.7184
La Jornada: There will be genetic identification banks for victims of crime,2011-06-10,0.5994,Jornada,-0.7003
"La Jornada: Moderate to its collaborators not to affect relations, demand Peña Nieto to Calderón",2011-06-10,-0.6808,Jornada,-0.128
La Jornada: Sener and IDB sign memorandum of understanding,2011-06-10,0.91,Jornada,0.0
La Jornada: The registration of missing persons should be at the service of families: NGOs,2011-06-10,-0.5719,Jornada,-0.296
