article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Barcelona: evictions outraged,2011-06-30,0.0,Jornada,-0.5423
La Jornada: They will not persecute paramilitaries in Colombia,2011-06-30,-0.7906,Jornada,0.3724
La Jornada: Ships of the second Freedom Flotilla with aid for the Gaza Strip set sail,2011-06-30,-0.128,Jornada,0.6369
La Jornada: Reject candidacy of ex-wife of Colom,2011-06-30,0.0,Jornada,-0.4019
La Jornada: Threat to fire in US nuclear material,2011-06-30,-0.34,Jornada,-0.7003
La Jornada: Students are chained before the White House,2011-06-30,0.0,Jornada,0.0
La Jornada: Riots in Egypt leave more than a thousand injured and 34 detainees,2011-06-30,0.7003,Jornada,-0.7553
La Jornada: France admits that it provided weapons to opponents fighting Gaddafi,2011-06-30,-0.7096,Jornada,-0.4939
"La Jornada: Current US war policy will cost $ 4.4 trillion, economists estimate",2011-06-30,-0.9217,Jornada,-0.5994
Iran denies British accusations,2011-06-30,0.0,Jornada,-0.6249
La Jornada: Two French journalists released in Afghanistan,2011-06-30,0.0,Jornada,0.0
La Jornada: Cancela Venezuela summit of Latin America due to force majeure,2011-06-30,-0.4019,Jornada,0.0
"La Jornada: The CNCA violates the work of Abraham Zabludovsky, denounces painter",2011-06-30,-0.7964,Jornada,-0.7351
La Jornada: The INBA must make transparent the purchase of works of art for $ 100 million: Ifai,2011-06-30,0.8126,Jornada,0.0
The Day: Guilds place culture above political quarrels,2011-06-30,0.4019,Jornada,0.0
La Jornada: Legislators insist on dealing with the Mexican issue,2011-06-30,-0.7096,Jornada,0.0
Bank of America foresees loss after mortgage bond deal,2011-06-30,0.6249,Jornada,-0.3182
The Day: The IMF urged the United States to raise as soon as possible the federal debt ceiling,2011-06-30,-0.5859,Jornada,0.0772
The Journey: Confirms the Court suspension of the analogue blackout; Reverse the executive,2011-06-30,0.8519,Jornada,0.0
La Jornada: AIE to put 60 million barrels of crude on the market in July,2011-06-30,0.0,Jornada,-0.5719
La Jornada: Gine Rinehart could move Slim as the richest in the world,2011-06-30,0.4939,Jornada,0.5267
La Jornada: Mercosur Commitment to Reduce Poverty,2011-06-30,-0.5106,Jornada,-0.1779
La Jornada: Greek Parliament approves EU-IMF adjustment plan,2011-06-30,-0.8885,Jornada,0.4019
La Jornada: How much did you spend and who financed it?,2011-06-30,-0.296,Jornada,0.0
La Jornada: Monreal criticizes Carstens' expensive promotion to the IMF,2011-06-30,-0.5859,Jornada,-0.34
La Jornada: Attributes CFE excessive charges to the physical readings of consumption,2011-06-30,0.9042,Jornada,-0.2732
La Jornada: Airline inaugurates Moscow-Cancun charter flight,2011-06-30,0.0,Jornada,0.0
La Jornada: Rejects the ABM fears about the indebtedness of states and municipalities,2011-06-30,-0.4215,Jornada,-0.7184
La Jornada: Campaigns for mayor of Pachuca close,2011-06-30,0.1027,Jornada,0.0
La Jornada: Bean growers will harden protest,2011-06-30,-0.296,Jornada,-0.25
La Jornada: Eruviel Ávila fine for violating the law,2011-06-30,-0.7783,Jornada,-0.4019
La Jornada: Government Secretary of Michoacan Resigns,2011-06-30,0.0,Jornada,-0.3182
La Jornada: Querétaro: Elect Missing Counselor,2011-06-30,0.25,Jornada,-0.296
La Jornada: Ask López Obrador to coahuilenses reason his vote,2011-06-30,-0.9001,Jornada,0.0
La Jornada: Indian migrants have been held for 80 days,2011-06-30,0.0,Jornada,0.0
La Jornada: The PRI accuses the electoral crimes to the delegate of the Sedeso in Nayarit,2011-06-30,-0.886,Jornada,-0.34
The Journey: Strikes Arlene in the Gulf; Alert in 15 states and the Federal District,2011-06-30,0.1027,Jornada,-0.0772
La Jornada: Protest for bad service at ISSSTE,2011-06-30,-0.0772,Jornada,-0.6705
La Jornada: Hidden Chihuahua personal data in driving licenses,2011-06-30,0.128,Jornada,0.0
La Jornada: Flood victims in Neza claim more help,2011-06-30,-0.3818,Jornada,0.1761
La Jornada: PRI and PAN campaigns close in Coahuila,2011-06-30,0.4019,Jornada,0.0
La Jornada: Infonavit meets targets regarding credits,2011-06-30,0.3818,Jornada,0.3612
