article,pub_date,nltk_score,source,nltk_score_title
La Jornada: La SRE recomienda reprogramar viajes a Japón,2011-03-14,-0.7003,Jornada,0.2263
"La Jornada: Acelerará Francia esfuerzos para impedir vuelos militares de Libia, dice Alain Juppé",2011-03-14,0.0258,Jornada,0.0258
La Jornada: Es la peor crisis desde la Segunda Guerra Mundial: primer ministro,2011-03-14,-0.8316,Jornada,-0.9201
"La Jornada: La industria, paralizada",2011-03-14,0.7506,Jornada,0.0
La Jornada: Tropas de Kadafi toman la ciudad de Brega y avanzan hacia el este,2011-03-14,0.0516,Jornada,0.0
La Jornada: Explosión en otro reactor nuclear de Fukushima,2011-03-14,-0.9371,Jornada,0.0
La Jornada: Provoca radiación cambios en la herencia genética,2011-03-14,-0.8519,Jornada,0.0
La Jornada: Violencia en Yemen deja 9 muertos en 48 horas,2011-03-14,0.0,Jornada,-0.8555
"La Jornada: Tokio oculta información sobre el daño ambiental, acusa Greenpeace",2011-03-14,-0.4404,Jornada,-0.7783
La Jornada: Afecta el tsunami costas de California,2011-03-14,0.0,Jornada,0.0
La Jornada: Más de 100 mil mdd en pérdidas,2011-03-14,-0.128,Jornada,-0.4019
La Jornada: Ultima un grupo armado a siete jóvenes en Chihuahua,2011-03-14,-0.1531,Jornada,0.0
"La Jornada: Propuesta laboral del PRI, grave retroceso: ANAD",2011-03-14,0.5574,Jornada,-0.0772
La Jornada: La SRE recomienda reprogramar viajes a Japón,2011-03-14,-0.7003,Jornada,0.2263
La Jornada: Detectan desvío en donativos de la SEP y la Sagarpa a ONG,2011-03-14,-0.1027,Jornada,0.0
La Jornada: Llaman a promulgar leyes contra la corrupción,2011-03-14,-0.1779,Jornada,0.0
La Jornada: Ríos Piter y Padierna se agregan a la lista para encabezar el PRD,2011-03-14,-0.8126,Jornada,0.0
La Jornada: Prevén que Presunto culpable seguirá en cartelera,2011-03-14,0.296,Jornada,-0.4215
La Jornada: La muerte de narcos debilita a cárteles pero propicia más grupos del crimen: autoridades,2011-03-14,-0.9477,Jornada,-0.8515
La Jornada: Afecta el tsunami costas de California,2011-03-14,0.0,Jornada,0.0
La Jornada: Es la peor crisis desde la Segunda Guerra Mundial: primer ministro,2011-03-14,-0.8316,Jornada,-0.9201
"La Jornada: Tokio oculta información sobre el daño ambiental, acusa Greenpeace",2011-03-14,-0.4404,Jornada,-0.7783
