article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Repudian tunecinos la visita de Hillary Clinton,2011-03-18,0.0,Jornada,0.0
"La Jornada: Ya son casi 6 mil los muertos, según la policía",2011-03-18,-0.4588,Jornada,-0.6486
La Jornada: Ataque de EU mata a más de 40 paquistaníes,2011-03-18,-0.7906,Jornada,-0.765
"La Jornada: Insuficiente, la mejoría con Obama en el trato a los inmigrantes: CIDH",2011-03-18,-0.8779,Jornada,0.4588
La Jornada: Arrojan las fuerzas armadas 30 toneladas de agua al descontrolado reactor 3 de Fukushima,2011-03-18,-0.6124,Jornada,-0.25
"La Jornada: Informaciones precisas sobre sus plantas atómicas, exige Pekín a Tokio",2011-03-18,-0.4019,Jornada,0.0
La Jornada: Persisten protestas en Yemen; ocho heridos,2011-03-18,-0.8934,Jornada,0.0
La Jornada: El Consejo de Seguridad aprueba intervenir en Libia,2011-03-18,-0.6705,Jornada,0.6249
La Jornada: Sigue la represión en Bahrein; detienen a seis líderes opositores y toma el ejército hospitales,2011-03-18,-0.743,Jornada,-0.6597
"La Jornada: Obama inicia gira por AL; busca definir amigos y enemigos de EU, dicen asesores",2011-03-18,0.4019,Jornada,0.4019
"La Jornada: Comienza ofensiva contra Bengasi; se acabó, dice Kadafi, y exige una disculpa a potencias de Occidente",2011-03-18,0.6444,Jornada,-0.4215
La Jornada: Irán puso en órbita una cápsula espacial,2011-03-18,0.3182,Jornada,0.0
La Jornada: Liberan a presunto líder de Yihad Islámica,2011-03-18,0.0516,Jornada,0.5106
La Jornada: PRD y PAN interponen denuncia de hechos contra Peña Nieto ante la PGR,2011-03-18,-0.2023,Jornada,-0.296
La Jornada: Agradece el embajador de EU a Osuna Millán intervención en planta de Sempra,2011-03-18,0.4019,Jornada,0.4404
La Jornada: Refuta Sarukhán descalificación de la FBI a lucha antidrogas de Calderón,2011-03-18,-0.979,Jornada,-0.3818
La Jornada: El gobernador mexiquense evade preguntas sobre el videoescándalo,2011-03-18,0.2263,Jornada,-0.4404
"La Jornada: Moreira usa lenguaje de cantina: Ortega; el PRD renta sus siglas, responde el priísta",2011-03-18,-0.6908,Jornada,0.0
"La Jornada: Impulsan dictamen de reforma a la ley sobre escudo, bandera e himno",2011-03-18,0.5423,Jornada,0.0
"La Jornada: Utilizaremos la aplanadora para aprobar la reforma laboral, advierte el tricolor",2011-03-18,-0.1531,Jornada,-0.1027
La Jornada: Apremia AI a proteger a 2 activistas de Ciudad Juárez,2011-03-18,-0.836,Jornada,0.3818
La Jornada: Opinión,2011-03-18,-0.9572,Jornada,0.0
La Jornada: Detiene la Armada a dos mujeres halcones en Tamaulipas,2011-03-18,0.0,Jornada,0.0
"La Jornada: Si hay insatisfacción por la estrategia antinarcóticos, pues es nuestra: Poiré",2011-03-18,-0.3182,Jornada,-0.4939
La Jornada: ONG critican renuncia de jueces del caso Frayre,2011-03-18,-0.9477,Jornada,-0.5859
La Jornada: El Ejército no usará armas de alto poder contra los narcotraficantes,2011-03-18,-0.872,Jornada,0.3412
La Jornada: FBI y CIA reconstruyen circunstancias en que murió el agente Jaime Zapata,2011-03-18,0.4767,Jornada,-0.5574
"La Jornada: Abusa EU de la debilidad de Calderón, dice López Obrador",2011-03-18,-0.7845,Jornada,-0.7906
La Jornada: El gobierno mantendrá postura firme e invariable en el caso Cassez: SRE,2011-03-18,-0.8442,Jornada,0.0
"La Jornada: El Embajador Pascual, defiende a transnacional que resucita difunta y felicita al Gobernador de B.C. por el logro conjunto: Dip. Narro Céspedes",2011-03-18,0.4767,Jornada,0.0
La Jornada: Descubre la Armada 4 cuerpos en fosas clandestinas de Jalisco,2011-03-18,0.3612,Jornada,-0.296
"La Jornada: Homenaje en Chiapas a Fray Matías de Córdova, precursor de la democracia",2011-03-18,0.5106,Jornada,0.0
La Jornada: La iniciativa es un robo a los obreros: expertos,2011-03-18,0.4939,Jornada,0.0
La Jornada: Congelan propuesta de crear nueva empresa eléctrica en el centro del país,2011-03-18,-0.7783,Jornada,0.3182
La Jornada: El Consejo de Seguridad aprueba intervenir en Libia,2011-03-18,-0.6705,Jornada,0.6249
La Jornada: Policías federales piden a SSP apoyo legal para presentar denuncia contra militares,2011-03-18,0.34,Jornada,0.128
"La Jornada: Alto a la guerra y la violencia, exigen activistas a Calderón",2011-03-18,0.8625,Jornada,-0.8934
"La Jornada: Llegan hoy de Japón 110 mexicanos; se verificará su estado de salud, dice la Ssa",2011-03-18,-0.6597,Jornada,0.0
"La Jornada: Comienza ofensiva contra Bengasi; se acabó, dice Kadafi, y exige una disculpa a potencias de Occidente",2011-03-18,0.6444,Jornada,-0.4215
La Jornada: El PAN critica la deificación de Juárez; otros partidos homenajean al prócer,2011-03-18,0.25,Jornada,0.7964
La Jornada: Demandan legisladores acotar el poder e influencia de monopolios televisivos,2011-03-18,0.6908,Jornada,-0.128
La Jornada: Sigue la represión en Bahrein; detienen a seis líderes opositores y toma el ejército hospitales,2011-03-18,-0.743,Jornada,-0.6597
La Jornada: No decido el futuro del partido: Ebrard,2011-03-18,-0.4588,Jornada,0.0
"La Jornada: México pidió y controla los vuelos de EU, dice Espinosa",2011-03-18,-0.6369,Jornada,0.0
"La Jornada: Los sobrevuelos estadunidenses, espionaje disfrazado, advierte la dirigencia del PRI",2011-03-18,0.0516,Jornada,-0.34
La Jornada: Comenzaron las audiciones en el DF del reality show para elegir jóvenes bailarines,2011-03-18,-0.1531,Jornada,0.0
La Jornada: Elogian el esfuerzo de Katz por comprender a los incomprendidos,2011-03-18,0.0,Jornada,0.296
La Jornada: Docentes y alumnos rechazan designación de la nueva titular de escuela de la Sogem,2011-03-18,0.6369,Jornada,-0.4019
La Jornada: La Unesco pide defender tesoros de países árabes,2011-03-18,-0.7783,Jornada,0.4215
La Jornada: Movilizaciones de Cirko De Mente; pide apoyos,2011-03-18,0.0,Jornada,0.3612
La Jornada: Religiosos se oponen a presa en Oaxaca,2011-03-18,0.0,Jornada,0.0
La Jornada: Protesta en hospital de Chimalhuacán,2011-03-18,-0.4019,Jornada,-0.25
La Jornada: Busca AN imponer modelo tradicional de familia en Jalisco; gays no podrían adoptar,2011-03-18,0.4019,Jornada,-0.4055
La Jornada: Policías de Cuernavaca reanudan labores,2011-03-18,-0.7783,Jornada,0.0
La Jornada: Piden investigar abuso contra otomí en León,2011-03-18,0.0,Jornada,-0.6369
La Jornada: Aprueban calendario electoral en Michoacán,2011-03-18,-0.25,Jornada,0.4215
La Jornada: Antorchistas exigen subsidios y servicios,2011-03-18,0.0,Jornada,-0.128
La Jornada: Aprueban en Edomex penas hasta de 70 años de cárcel a feminicidas,2011-03-18,-0.9922,Jornada,0.0772
La Jornada: Riña en Guerrero por obras hidráulicas,2011-03-18,0.0,Jornada,0.0
La Jornada: Detectan evasión fiscal en municipio,2011-03-18,0.0,Jornada,0.0
La Jornada: Condonará el IMSS recargos por deudas,2011-03-18,0.0,Jornada,-0.3612
La Jornada: Pronostica el CNA falta de maíz y aumento de precios,2011-03-18,-0.25,Jornada,0.0772
La Jornada: Subirá la tortilla en tres estados; rebasará $15 por kilo,2011-03-18,-0.296,Jornada,0.0
La Jornada: Niega Semarnat permiso para construir estadio de los Rayados,2011-03-18,-0.6808,Jornada,-0.4404
La Jornada: Postulará el PRI candidato de unidad en Edomex,2011-03-18,0.5267,Jornada,0.0
La Jornada: Legaliza Chihuahua vehículos extranjeros,2011-03-18,0.0,Jornada,0.0
La Jornada: Después del terremoto en Japón la duración del día disminuyó,2011-03-18,-0.5106,Jornada,0.0
La Jornada: Piden más inversión para la astronomía en México,2011-03-18,0.0,Jornada,0.0
La Jornada: Opinión,2011-03-18,-0.9572,Jornada,0.0
La Jornada: Siembra de maíz transgénico pone en riesgo seguridad alimentaria del país: científicos,2011-03-18,-0.6369,Jornada,0.0772
La Jornada: Exigen al gobierno federal planta de vehículos más ecológicos y eficientes,2011-03-18,-0.926,Jornada,0.3804
La Jornada: Lanza Pronósticos la película Reto a la Vida,2011-03-18,-0.5267,Jornada,0.0772
La Jornada: Conapred: enfoque del Estado hacia la discapacidad ha generado exclusión,2011-03-18,-0.5859,Jornada,-0.296
La Jornada: Tasa de reincidencia de embarazos no deseados en el DF es de 1%: expertos,2011-03-18,-0.7717,Jornada,-0.2263
"La Jornada: Telenovelas, instrumento importante para abatir rezago educativo: Lujambio",2011-03-18,-0.5994,Jornada,-0.1531
La Jornada: Justifica la Legión de Cristo relevo de Evaristo Sada en la secretaría general,2011-03-18,-0.5106,Jornada,0.4767
La Jornada: Pide Calderón a diputados aprobar Ley de Asociaciones Público-Privadas,2011-03-18,0.6369,Jornada,0.0
"La Jornada: México, el país de la OCDE con las pensiones más bajas",2011-03-18,-0.5994,Jornada,-0.3818
La Jornada: Impunidad sin remedio en casos de corrupción en Pemex,2011-03-18,-0.5423,Jornada,0.0
La Jornada: Pierde Pemex 3 mil millones de pesos al año por robo de combustible en ductos,2011-03-18,0.836,Jornada,-0.3182
La Jornada: Arrancó hoy la bolsa de Tokio con ganancia; Wall Street repuntó,2011-03-18,-0.5106,Jornada,0.4404
La Jornada: Industria automotriz apoya la firma de TLC con Colombia y Perú,2011-03-18,0.0,Jornada,0.3612
La Jornada: Cayó 30% el saldo neto de divisas de Pemex en este gobierno,2011-03-18,-0.235,Jornada,0.0
La Jornada: Eurocopter invertirá 550 mdd para su fábrica de componentes en Querétaro,2011-03-18,0.872,Jornada,0.0
"La Jornada: Esta es una batalla entre Telmex-Telcel y sus usuarios, afirma Salinas Pliego",2011-03-18,-0.4404,Jornada,-0.3818
