article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: The BNC will bring a great message of love and peace to the United States, said Alicia Alonso",2011-05-29,0.9477,Jornada,0.9393
"La Jornada: Leonora, in a large house your sculptures await silent",2011-05-29,-0.9524,Jornada,0.1027
La Jornada: Analysis on wheels,2011-05-29,-0.9001,Jornada,0.0
The Journey: Leonora,2011-05-29,-0.5267,Jornada,0.0
La Jornada: Make known the Virtual Media Library of the Museo Universitario del Popo,2011-05-29,0.0,Jornada,0.0
La Jornada: Inaugurated in the historic center of Colima the Fernando del Paso Museum,2011-05-29,0.4215,Jornada,0.0
"La Jornada: In the country, the idea of ​​mestizaje has given rise to a violent and xenophobic society",2011-05-29,-0.128,Jornada,-0.5994
La Jornada: Gonzalo Martínez Corbalá rejects that Salvador Allende has been murdered,2011-05-29,-0.936,Jornada,-0.8225
La Jornada: Military helicopter crashes in Apatzingán,2011-05-29,-0.7964,Jornada,0.0
La Jornada: The president of Argentina begins her official two-day visit to Mexico,2011-05-29,0.4939,Jornada,0.0
La Jornada: The government does not respect rights that it ratifies worldwide: CDHFBC,2011-05-29,0.7506,Jornada,-0.3724
La Jornada: Judicial Assistant millionaire reserves the right to declare,2011-05-29,-0.296,Jornada,0.0
"La Jornada: Valid, 33% of complaints against federal agents, says PGR",2011-05-29,-0.8625,Jornada,-0.4019
"La Jornada: I fulfilled confidence exams at the end of 2010, says the commissioner of the PF",2011-05-29,0.5859,Jornada,0.7269
La Jornada: Capture in Quintana Roo 10 members of Los Zetas,2011-05-29,0.0,Jornada,0.0
"La Jornada: Calderón has no cock to succeed him in the presidency, says Santiago Creel",2011-05-29,-0.886,Jornada,0.1027
La Jornada: Report activist harassment of elements of the Sedena,2011-05-29,0.3818,Jornada,-0.5423
"La Jornada: Corruption in the SAE to expedite retirement procedures, document SME members",2011-05-29,-0.1779,Jornada,0.0
"La Jornada: In the end, the military argued that the murder of a young man was an accident, and none of them went to jail",2011-05-29,-0.9901,Jornada,-0.8834
La Jornada: Plan to lower 50% pensions to former presidents and prevent them from filtering data,2011-05-29,0.4019,Jornada,-0.2732
"La Jornada: Young people, with negative gestures to the Church and the family: Rivera Carrera",2011-05-29,-0.8402,Jornada,-0.5719
"La Jornada: The detainees in Michoacán, result of intelligence of the PF: Facundo Rosas",2011-05-29,-0.9136,Jornada,0.4767
La Jornada: Constitutional Declaration of Human Rights Law,2011-05-29,-0.235,Jornada,0.0
La Jornada: Another young woman disappears in Ciudad Juárez,2011-05-29,-0.5267,Jornada,-0.34
"La Jornada: Detentions and enforced disappearances in Mexico, in force",2011-05-29,-0.9042,Jornada,0.0
La Jornada: Amnesty International seeks 50 years to grow more,2011-05-29,-0.8519,Jornada,0.0
La Jornada: Analyze the reality of the priesthood in the CEM,2011-05-29,0.0,Jornada,0.0
"La Jornada: There will be no single candidate for PRD, PRI and AN in Michoacán: AMLO",2011-05-29,-0.34,Jornada,-0.296
"La Jornada: Six soldiers killed in suicide bombing in Afghanistan, including two Germans",2011-05-29,-0.9538,Jornada,-0.875
La Jornada: Indignados will hold protests,2011-05-29,-0.296,Jornada,-0.2263
The Day: Egypt reopens its border with the Gaza Strip permanently,2011-05-29,-0.296,Jornada,0.0
The Day: Obama reassures Russia and Poland over US missile shield plan,2011-05-29,0.5719,Jornada,0.3612
La Jornada: Egyptian court sentences Hosni Mubarak to pay $ 33.5 million fine,2011-05-29,-0.5859,Jornada,0.1531
La Jornada: NATO's first daytime attack on a Libyan army's weapons depot in Tripoli,2011-05-29,-0.4767,Jornada,-0.7184
