article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Saif Islam, Gaddafi's last son wanted, arrested in southern Libya",2011-11-20,0.296,Jornada,-0.4767
La Jornada: Perón's wife government repressors condemned,2011-11-20,-0.5423,Jornada,-0.7269
La Jornada: Greek right-wing leader refuses to sign anti-crisis plan guarantee,2011-11-20,0.1027,Jornada,0.25
La Jornada: Government offensive against Syrian dissidents leaves 14 civilians dead and 140 wounded,2011-11-20,-0.4404,Jornada,-0.8074
"La Jornada: Mariano Rajoy, favorite to succeed Rodriguez Zapatero in government",2011-11-20,0.7003,Jornada,0.7351
La Jornada: EU austerity budget in the face of the crisis in the countries of the region,2011-11-20,-0.0516,Jornada,-0.6249
La Jornada: Three dead and 676 wounded leave Tahrir square in Egypt,2011-11-20,-0.891,Jornada,-0.6705
La Jornada: Thousands demand in Georgia the closure of the School of the Americas,2011-11-20,0.25,Jornada,-0.128
"La Jornada: Anagram will publish The language of the game, Sada's latest book",2011-11-20,-0.7906,Jornada,0.0
La Jornada: The Alamo: a story not fit for Hollywood,2011-11-20,-0.9851,Jornada,-0.2755
"La Jornada: The INBA recognizes the trajectory of Vicente Rojo, an essential",2011-11-20,0.9648,Jornada,0.0
La Jornada: Incognitos and answers,2011-11-20,0.0,Jornada,0.0
La Jornada: The essence of humanity,2011-11-20,-0.6808,Jornada,0.0
La Jornada: Option for health,2011-11-20,-0.8074,Jornada,0.0
La Jornada: Osado guerrero,2011-11-20,0.0258,Jornada,0.0
"La Jornada: Fables of the building opposite, stories without moral: Corona",2011-11-20,-0.8402,Jornada,0.0
La Jornada: Bankers propose a campaign to discredit Occupy Wall Street,2011-11-20,-0.4215,Jornada,0.0
La Jornada: Sales rose 25% in NL,2011-11-20,0.0,Jornada,0.0
La Jornada: Eleva Slim to 3.2% its stake in the share capital of the group Prisa,2011-11-20,0.0772,Jornada,0.296
La Jornada: Mexico's government to exploit US oil fields,2011-11-20,0.9403,Jornada,-0.1027
"La Jornada: The drought this year will have effects on livestock until 2013, warn",2011-11-20,0.1779,Jornada,-0.1027
"The Journey: Economy and IP praise the resounding success of the Good End, but do not offer figures",2011-11-20,-0.6808,Jornada,0.6808
La Jornada: Approve vote count by vote of the election in Morelia,2011-11-20,0.4939,Jornada,0.0
La Jornada: Chamula: becomes a fierce choice of PRI leader,2011-11-20,0.3182,Jornada,0.0
"La Jornada: Kill Melo Añorve, former mayor of Oaxaca",2011-11-20,0.34,Jornada,-0.6908
The Journey: A pilgrim bus goes back to Chalma; 13 dead,2011-11-20,-0.9274,Jornada,-0.6486
La Jornada: Chihuahua: distribute basic to 250 thousand affected by drought,2011-11-20,-0.5859,Jornada,-0.1531
La Jornada: Colima: implicate Moreno Peña's nephew in murder of former governor,2011-11-20,-0.886,Jornada,-0.6908
La Jornada: Panista seeks support for candidacy in León,2011-11-20,0.0,Jornada,0.4019
La Jornada: Commemorate 27 years of the explosion in San Juanico that left 600 dead,2011-11-20,-0.296,Jornada,-0.6486
La Jornada: Seized 1.5 tons of medicines in Matamoros,2011-11-20,0.0,Jornada,0.0
La Jornada: Repress teachers for reporting on the Alliance for the Quality of Education,2011-11-20,-0.5994,Jornada,-0.34
"La Jornada: In Mexico, more speeches made in favor of children",2011-11-20,0.6369,Jornada,0.4019
"The Journey: Ankylosing spondylitis, serious illness; Often undiagnosed",2011-11-20,-0.9382,Jornada,-0.4588
"La Jornada: Although they criminalize young people, most of them have to survive: Redim",2011-11-20,0.8555,Jornada,0.0
La Jornada: Children of migrants receive scholarships in Chiapas,2011-11-20,0.0,Jornada,0.0
La Jornada: March against pederasty,2011-11-20,-0.9477,Jornada,0.0
"Sempra Energy, favored by federal government grant",2011-11-20,0.6369,Jornada,0.7506
La Jornada: Denounce breaches in cases of low-cost production in mines,2011-11-20,-0.9246,Jornada,-0.34
"La Jornada: Vote, the only way to change the country, warns López Obrador",2011-11-20,-0.3612,Jornada,-0.1027
La Jornada: The PAN will maintain the appointment of candidates for deputies in 33 districts,2011-11-20,-0.3818,Jornada,0.0
La Jornada: Last organized crime to 24 people in 10 states,2011-11-20,-0.6486,Jornada,-0.5423
La Jornada: Poiré is asked to decide in cases of SME and Pasta de Conchos,2011-11-20,0.6249,Jornada,0.0
"La Jornada: The restructuring of the PGR, similar to US agencies",2011-11-20,0.4404,Jornada,0.0
La Jornada: We will support AMLO because it can bring Mexico forward: business leader,2011-11-20,-0.9906,Jornada,0.4019
La Jornada: Mexico and US urged to humanize migration,2011-11-20,0.0,Jornada,0.0
La Jornada: The CCSV celebrates 19 years of its foundation,2011-11-20,0.5423,Jornada,0.5719
"The Journey: Tithing, fundamental to avoid falling into the hands of the demons",2011-11-20,0.9136,Jornada,-0.4215
La Jornada: Moreira complicates the triumph of the PRI in 2012; Must go: Sauri,2011-11-20,0.4215,Jornada,0.4767
"La Jornada: Not only see the photo of who wants to govern, asks Cordero to businesswomen",2011-11-20,0.6369,Jornada,0.0
La Jornada: Catholics demand peace in Ciudad Juárez,2011-11-20,0.891,Jornada,0.4588
La Jornada: Mexico's worst drought in 70 years: SMN,2011-11-20,0.3182,Jornada,-0.6249
La Jornada: PGR officials urge Calderón to intervene in the climate of labor terror,2011-11-20,0.128,Jornada,-0.5267
"La Jornada: More ninis women, for lack of official support: NGOs",2011-11-20,-0.7964,Jornada,0.1027
"La Jornada: Government, with a limited budget to meet protection mechanisms",2011-11-20,0.0,Jornada,-0.2263
The Journey: Stop Suffering: miraculous solutions for the faithful; Financial vein for its ministers,2011-11-20,-0.7184,Jornada,-0.1779
La Jornada: UAM professor will lift his hunger strike; It's a victory: union,2011-11-20,-0.7717,Jornada,-0.3612
"La Jornada: Promotion to more than 10,000 in Army and Navy",2011-11-20,0.4019,Jornada,0.0
