article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Britain freezes assets of five Iranians,2011-10-19,0.0,Jornada,0.1531
La Jornada: Violence on the first day of the national strike by students in Chile,2011-10-19,-0.4019,Jornada,-0.6808
"The Journey: Israeli Jubilee; Shalit has returned in peace, chant in his village",2011-10-19,0.9403,Jornada,0.5423
The Day: Hillary Clinton makes surprise visit to Libya,2011-10-19,-0.296,Jornada,0.2732
La Jornada: Berlusconi acquitted of tax offense,2011-10-19,-0.8481,Jornada,0.0
La Jornada: Venezuelan government fines Globovisión,2011-10-19,-0.8126,Jornada,0.0
La Jornada: Supports the left-wing government called ETA to announce the end of violence,2011-10-19,0.3182,Jornada,-0.3818
La Jornada: Welcome of heroes in Gaza to hundreds of Palestinians released,2011-10-19,0.0516,Jornada,0.743
La Jornada: They ask to identify a group of plagiarists in Colombia,2011-10-19,0.0,Jornada,0.0
La Jornada: Fidel Castro receives message from Cuban agent released,2011-10-19,0.7845,Jornada,0.0
La Jornada: Car bomb in Somalia leaves at least 6 dead,2011-10-19,-0.9081,Jornada,-0.8176
La Jornada: Benevolence between governments and groups for the exchange,2011-10-19,-0.7506,Jornada,0.4019
"La Jornada: EU deported in the last year about 400,000 illegal immigrants; Record figure",2011-10-19,-0.0772,Jornada,-0.5574
The Day: Julian Barnes wins the Man Booker Award,2011-10-19,0.3182,Jornada,0.802
La Jornada: They invite to read in a playful way so that the books continue rolling,2011-10-19,0.4019,Jornada,0.5423
"La Jornada: Maintaining the sound of an orchestra is a complicated task, says violist",2011-10-19,0.34,Jornada,0.0
La Jornada: The naked body of women not only triggers desire: Natalia Granada,2011-10-19,-0.9854,Jornada,-0.3089
The Journey: Roberto Castro translates the essence of Freud's psychoanalytic thinking,2011-10-19,-0.7783,Jornada,0.0
La Jornada: Almost two hours of jubilation at the Teatro Juárez,2011-10-19,0.743,Jornada,0.0
La Jornada: Double passes for the ensemble concert at the UNAM,2011-10-19,0.0,Jornada,0.0
"La Jornada: The Cervantino festival, at UNAM",2011-10-19,-0.5267,Jornada,0.4939
La Jornada: States owe banks $ 314 billion,2011-10-19,0.6369,Jornada,0.0
La Jornada: Former CFE official to be charged,2011-10-19,0.2023,Jornada,-0.2023
La Jornada: In November will be held the Digital Village,2011-10-19,0.3818,Jornada,0.0
La Jornada: Degraded Moody's two steps note to the debt of the government of Spain,2011-10-19,-0.8481,Jornada,-0.6486
"La Jornada: The government intends to privatize the electricity service, denounces the PRI",2011-10-19,0.34,Jornada,-0.4404
"La Jornada: Mining revenues to be raised, says Economy",2011-10-19,0.128,Jornada,0.0
La Jornada: Advertising could be insufficient if there are more stations and TV channels,2011-10-19,0.2023,Jornada,0.0
The Journey: Occupy Wall Street extends to one hundred US cities; Clashes with police,2011-10-19,0.1027,Jornada,0.128
La Jornada: S & P downgrades 24 banks in Italy,2011-10-19,-0.6808,Jornada,0.0
La Jornada: Radio and television were never assumed as a power over the state: CIRT,2011-10-19,-0.8126,Jornada,0.0
La Jornada: The Afore have invested abroad $ 292.6 billion,2011-10-19,0.7506,Jornada,0.0
La Jornada: Iusacell and Tv Azteca will denounce Telmex for transmitting in channel of the web,2011-10-19,-0.6808,Jornada,-0.34
"La Jornada: Budget of $ 47 billion, calls for Sinaloa",2011-10-19,0.7351,Jornada,0.0
La Jornada: Court Invalidates Electoral Reform in Tabasco,2011-10-19,0.0,Jornada,0.0
La Jornada: León privatizes clean; 2 thousand affected families,2011-10-19,-0.875,Jornada,0.2732
"La Jornada: SLP: former press coordinator, arrested",2011-10-19,0.5267,Jornada,-0.4767
La Jornada: Massive layoffs in the town council of Tepic,2011-10-19,0.0,Jornada,0.0
La Jornada: Ratify the new attorney of Veracruz,2011-10-19,0.0,Jornada,0.0
La Jornada: Condition of credit authorization to González Márquez,2011-10-19,-0.872,Jornada,0.3818
La Jornada: Request to resolve water dispute in Sonora,2011-10-19,0.0,Jornada,-0.0258
La Jornada: Jalisco: criminal denunciation of reservoir opponents,2011-10-19,0.0,Jornada,-0.5267
La Jornada: Power outages in 5 municipalities of Nuevo León,2011-10-19,-0.128,Jornada,0.0
La Jornada: Launch campaign to combat trafficking in Veracruz,2011-10-19,-0.8316,Jornada,-0.34
La Jornada: The union of the UABJO requires intervention by Gabino Cué,2011-10-19,-0.8271,Jornada,0.0
La Jornada: Damages caused by flooding in Veracruz,2011-10-19,-0.128,Jornada,-0.4404
La Jornada: Regidores refuse to lower their wages,2011-10-19,0.0,Jornada,-0.5267
La Jornada: Flooding affects 16 of 17 municipalities in Tabasco: Granier,2011-10-19,0.1779,Jornada,0.0
La Jornada: Llama Calderón to banish macho prejudices and promote prevention,2011-10-19,-0.9859,Jornada,-0.4767
"La Jornada: Given the lack of response from the Executive, the AMC presented awards without its presence",2011-10-19,-0.9337,Jornada,0.1779
La Jornada: Vatican: no statutes of the lay congregation of legionaries,2011-10-19,-0.2263,Jornada,-0.296
"La Jornada: Breast cancer, the leading cause of tumor death in women",2011-10-19,-0.984,Jornada,-0.8979
La Jornada: Two former rectors express before the JG the appropriateness of appointing José Narro,2011-10-19,-0.8807,Jornada,0.0
La Jornada: The Senate Approves That Teachers Undergo Periodic Assessments,2011-10-19,0.0772,Jornada,0.4019
"La Jornada: In the United States, 50 percent, for legalizing marijuana",2011-10-19,0.0,Jornada,0.4215
La Jornada: Calderón Signature Health Supplies Regulation that will lower costs,2011-10-19,-0.4767,Jornada,-0.296
La Jornada: There will be a New Molecules Committee,2011-10-19,-0.4767,Jornada,0.0
La Jornada: Women in detention live a constant violation of their human rights: report,2011-10-19,-0.3182,Jornada,-0.6908
"La Jornada: Only 10%, community forestry: Greenpeace",2011-10-19,-0.5994,Jornada,0.0
La Jornada: Investigates the SFP about 30 false doctors,2011-10-19,-0.6597,Jornada,0.0
The Day: In Europe stem cells from embryos can not be patented,2011-10-19,0.5574,Jornada,0.0
La Jornada: Making biannual mammograms reduces errors,2011-10-19,-0.8316,Jornada,-0.34
"La Jornada: Quantum physics, with a lot of practical applications: Claude Cohen-Tannoudji",2011-10-19,0.4404,Jornada,0.0
