article,pub_date,nltk_score,source,nltk_score_title
The Day: 60 right-wingers arrested in London,2011-09-05,0.0,Jornada,-0.4767
La Jornada: Obama Visits Areas Affected by Irene,2011-09-05,-0.6808,Jornada,-0.1531
La Jornada: Iran connects its first Russian-made nuclear power plant to the national grid,2011-09-05,0.4767,Jornada,0.0
La Jornada: Palestinians expect 140 votes in favor of the creation of their State at the UN,2011-09-05,0.1027,Jornada,0.5859
La Jornada: Merkel suffers new electoral setback,2011-09-05,0.0,Jornada,-0.4767
La Jornada: Decreta Piñera 2 days of mourning by avionazo,2011-09-05,-0.4939,Jornada,-0.4404
La Jornada: Drug cartels not operating in Bolivia: minister Llorenti,2011-09-05,0.5423,Jornada,0.0
"La Jornada: Thousands disappear in Saudi prisons, denounce several NGOs",2011-09-05,-0.9153,Jornada,-0.5106
La Jornada: Negotiations for peaceful surrender of fighters loyal to Gaddafi fail,2011-09-05,-0.34,Jornada,0.3818
Netanyahu promises real change to reduce the cost of living in Israel,2011-09-05,0.7003,Jornada,0.3818
La Jornada: Multitudinous opposition protest in Yemen,2011-09-05,0.0,Jornada,-0.25
La Jornada: Owners of Machu Picchu will sue Peru before Unesco,2011-09-05,0.0,Jornada,0.0
"La Jornada: Respect the goodness of reading with The memories of the future, Garro",2011-09-05,-0.3182,Jornada,0.7269
La Jornada: José's song tells children to use their voice as a defense,2011-09-05,0.9403,Jornada,0.128
La Jornada: Philosophy and art must meet and establish an ongoing dialogue: Barbaric,2011-09-05,-0.9565,Jornada,0.0
"La Jornada: The work of Toledo does not take root in the subjective, but in the perception",2011-09-05,-0.9201,Jornada,0.0
La Jornada: Argentine philosopher Leon Rozitchner died,2011-09-05,-0.8316,Jornada,-0.5574
"La Jornada: Discrimination and contempt for the root, themes of dismembered Moon",2011-09-05,-0.9509,Jornada,-0.5859
La Jornada: Nextel does not violate legal remedy when starting to exploit spectrum: SCT,2011-09-05,0.2732,Jornada,0.2163
La Jornada: Only Spanish law will govern in the Pemex pact with Repsol,2011-09-05,0.9712,Jornada,0.0
"La Jornada: False, that the low in interconnection rates benefit customers",2011-09-05,-0.296,Jornada,0.2263
La Jornada: Banco de México detected almost $ 37.2 billion in this six-year period,2011-09-05,-0.5267,Jornada,0.0
La Jornada: 77 percent of former Mexicana and Click pilots still unemployed,2011-09-05,-0.6808,Jornada,0.0
La Jornada: US ultimatum to Swiss banks; Should open bank secrecy,2011-09-05,0.0,Jornada,0.0
La Jornada: The alliance with Pemex does not guarantee the Spanish language of Repsol: Felipe González,2011-09-05,-0.1027,Jornada,-0.1877
"The Journey: Strauss-Kahn returns to Paris; Stayed 4 months in New York, accused of rape",2011-09-05,-0.8204,Jornada,-0.7845
La Jornada: Greek central bank loans to credit institutions,2011-09-05,-0.6369,Jornada,0.3818
La Jornada: Promises Italian minister to achieve budget balance,2011-09-05,-0.296,Jornada,0.3818
La Jornada: Rescue victim of child prostitution,2011-09-05,-0.296,Jornada,0.296
La Jornada: Support archbishop for schools in Acapulco,2011-09-05,-0.5267,Jornada,0.4019
"La Jornada: On air, Catholic Internet radio station",2011-09-05,0.0,Jornada,0.0
La Jornada: Veracruz will request declarations of emergency and natural disaster,2011-09-05,-0.6124,Jornada,-0.6369
La Jornada: Senator convicts prosecution case,2011-09-05,0.0,Jornada,-0.4939
La Jornada: No army can solve only insecurity: Aureoles,2011-09-05,-0.886,Jornada,-0.4939
La Jornada: Accused of imprisoning illegal immigrants,2011-09-05,0.0,Jornada,-0.7003
La Jornada: Discrimination in hospital of the UdeG,2011-09-05,-0.2732,Jornada,0.0
The Day: Protests affected in Cuautitlán; Floods in Neza and Ecatepec,2011-09-05,-0.8658,Jornada,-0.3612
"La Jornada: Increased danger of violence in the Chimalapas, warn",2011-09-05,0.1027,Jornada,-0.7783
La Jornada: Run an ecologist in Guerrero,2011-09-05,0.0,Jornada,0.0
"La Jornada: The political, labor and social discrimination of women persists in the country",2011-09-05,-0.886,Jornada,0.0
La Jornada: Communities affected in their health or environment may demand redress,2011-09-05,0.5106,Jornada,-0.2732
La Jornada: UN-Chiapas Agenda defends respect for human rights,2011-09-05,-0.9081,Jornada,0.4767
La Jornada: The coverage in indigenous primaries and hostels has not grown this six years,2011-09-05,-0.0516,Jornada,0.0
La Jornada: Exodus in the Valley of Juarez for violence,2011-09-05,-0.9153,Jornada,-0.6249
"La Jornada: It's time to say enough about corrupt criminals and politicians, says Rogelio Sada",2011-09-05,-0.0258,Jornada,-0.5719
La Jornada: Discover tunnel used to traffic migrants,2011-09-05,0.0,Jornada,0.0
The Journey: Unusual for the CJF to run judges; Apply minor punishments,2011-09-05,-0.7783,Jornada,-0.4215
La Jornada: I'm entitled to the Presidency and I do not take it off: Vázquez Mota,2011-09-05,-0.8316,Jornada,0.2732
La Jornada: Alert the IFE of violence in the country and urges to shield the electoral processes,2011-09-05,-0.4588,Jornada,-0.4404
La Jornada: Ifai quest for party stance on access to information and accountability,2011-09-05,0.802,Jornada,0.4019
La Jornada: Calderón's government is spending more and income does not increase at that rate: ASF,2011-09-05,0.4767,Jornada,-0.2411
La Jornada: The Movement for Peace enters crucial phase against war,2011-09-05,-0.9702,Jornada,-0.1027
"La Jornada: Blackmail to avoid closure, videos of my brother in casinos, says mayor",2011-09-05,-0.6486,Jornada,-0.296
La Jornada: Mexico Proposes OAS to Prevent Political Crises,2011-09-05,0.0,Jornada,0.0258
"La Jornada: We have had 28 years without growth, which means that there is no social peace: AMLO",2011-09-05,-0.9805,Jornada,0.0299
"La Jornada: To entertain, the greater use that is given in Mexico to the Internet",2011-09-05,0.7351,Jornada,0.5859
La Jornada: Ebrard asks Calderón to guarantee electoral balance,2011-09-05,0.0,Jornada,0.25
La Jornada: The dispute for the control of the Aztec sun will be between two large blocks,2011-09-05,0.5574,Jornada,-0.5574
"La Jornada: Free, former CFE chief arrested on Saturday when he was fleeing the country",2011-09-05,-0.1027,Jornada,0.0516
La Jornada: The SCJN lists taxpayers' setback,2011-09-05,0.5267,Jornada,0.0
La Jornada: The evils generated by technology,2011-09-05,-0.765,Jornada,-0.5719
La Jornada: Demand for admission to the armed forces fell almost 50% in the six years: Sedena,2011-09-05,0.1027,Jornada,-0.128
La Jornada: New shooting near stadium leaves six dead and one wounded in Torreón,2011-09-05,0.4019,Jornada,-0.6486
La Jornada: Peasant groups will fight for reorientation of funds,2011-09-05,-0.4404,Jornada,-0.3818
La Jornada: Demand agile UN investigating murder of reporters,2011-09-05,-0.4588,Jornada,-0.7351
La Jornada: They fear that legislative agendas will be contaminated by the election year,2011-09-05,-0.5423,Jornada,-0.4939
La Jornada: SME calls for protection of Cardinal Rivera,2011-09-05,0.0,Jornada,0.0
"La Jornada: Despite crisis and austerity plans, the rise in the expenses of the IFE",2011-09-05,-0.128,Jornada,-0.6249
La Jornada: Demanding resignation of governor and mayor,2011-09-05,-0.6249,Jornada,-0.4767
La Jornada: Grato rencuentro,2011-09-05,0.4404,Jornada,0.0
