article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Gubernatura de Baja California, most important and coveted election of 2013",2013-01-03,0.9729,Jornada,0.2716
"La Jornada: It is time for rebellion, message in the seminary of the Zapatistas",2013-01-03,-0.9485,Jornada,-0.128
"La Jornada: Innocents, those killed by the military, say in Córdoba",2013-01-03,-0.5267,Jornada,-0.5267
"La Jornada: Entrepreneur Bill Gates, strong driver of reform",2013-01-03,-0.5267,Jornada,0.5106
"La Jornada: Third TV channel, the Cassez case and the military jurisdiction, in the 2013 agenda of the SCJN",2013-01-03,0.2732,Jornada,0.0
La Jornada: Attacks and site of populations leave 14 dead in Chihuahua,2013-01-03,-0.8519,Jornada,-0.8126
La Jornada: The cases attracted by the PGR for forensic analysis grew,2013-01-03,-0.2263,Jornada,0.4215
La Jornada: Peña must pass to the facts in security: Barbosa,2013-01-03,0.0,Jornada,0.34
"La Jornada: PRD tries to reach a truce, after the signing of the Pact for Mexico",2013-01-03,0.0,Jornada,0.0258
La Jornada: We will need several years to mitigate the crisis: Navarrete Prida,2013-01-03,0.2023,Jornada,-0.6249
La Jornada: NAP condition fiscal reform,2013-01-03,0.0,Jornada,0.0
La Jornada: Could the SCJN decree the unconstitutionality of the root,2013-01-03,0.1779,Jornada,0.0
La Jornada: Unidentified bodies are acts of concealment: activists,2013-01-03,-0.875,Jornada,0.0
La Jornada: Ifai orders Cofetel to file four lawsuits against Nextel,2013-01-03,-0.296,Jornada,-0.1531
La Jornada: The war against public education,2013-01-03,-0.836,Jornada,-0.5994
La Jornada: Return security functions to Government,2013-01-03,0.34,Jornada,0.34
"La Jornada: Open # YoSoy132 to partner with other social groups, such as the EZLN",2013-01-03,-0.296,Jornada,0.0
"La Jornada: Resume dialogue with rebels and abide by San Andrés agreements, ask the government",2013-01-03,-0.296,Jornada,0.0772
La Jornada: Army shooting with suspected criminals; 12 dead and two military,2013-01-03,0.25,Jornada,-0.872
La Jornada: Peña reappears and salutes the agreement in the US to avoid the fiscal abyss,2013-01-03,0.4404,Jornada,0.25
La Jornada: Migrant relatives threaten shelter,2013-01-03,0.0,Jornada,-0.3818
La Jornada: Panamanian legislators enlist energy and telecommunications reforms,2013-01-03,-0.4588,Jornada,0.2732
"La Jornada: Investors: education, the second largest market in the US",2013-01-03,0.7964,Jornada,0.0
