article,pub_date,nltk_score,source,nltk_score_title
La Jornada: A meeting of the national trade union council will be held to call the unit,2013-02-25,-0.8316,Jornada,0.0
La Jornada: 15 million illiterates in the campaign that starts in August,2013-02-25,-0.7003,Jornada,0.0
La Jornada: Peña Nieto promulgates today the educational reform in the National Palace,2013-02-25,-0.7783,Jornada,0.0
La Jornada: Argo meets forecasts,2013-02-25,0.9943,Jornada,0.0
The Journey: Chuayffet believes that the great themes of teaching are to literate and to school,2013-02-25,-0.9169,Jornada,0.6249
"La Jornada: The Catholic Church should have more freedom and courage, says Raúl Vera",2013-02-25,0.9565,Jornada,0.8384
La Jornada: The water supply per person drops below the world average,2013-02-25,0.4215,Jornada,0.0
La Jornada: UN worries about Uruguayan court ruling,2013-02-25,0.6808,Jornada,-0.4215
"La Jornada: Díaz-Canel, tenacious, self-critical and linked to the people",2013-02-25,0.3182,Jornada,0.0
La Jornada: Two veterans of the Cuban Council of State give up their positions to young people,2013-02-25,0.836,Jornada,0.0
"The Day: Nearly 60 dead in Syria, OSDH reports",2013-02-25,0.0,Jornada,-0.6486
"La Jornada: I will dedicate more to prayer, but this does not mean leaving the Church, says the Pope",2013-02-25,0.0258,Jornada,0.0
La Jornada: Multitudinous mobilization in Bulgaria,2013-02-25,0.0,Jornada,0.0
La Jornada: Italian feminists protest against Silvio Berlusconi during the elections,2013-02-25,0.0516,Jornada,-0.25
The Journey: Commit Raul Castro to a new term; The last one says,2013-02-25,-0.5719,Jornada,0.296
La Jornada: Palestinian prisoners protest in Israel over death of partner,2013-02-25,-0.9062,Jornada,-0.8481
Kerry makes first tour as US secretary of state,2013-02-25,0.3182,Jornada,0.0
La Jornada: Peace agreement in Congo,2013-02-25,0.0,Jornada,0.7717
La Jornada: Conservative wins presidency of Cyprus,2013-02-25,0.4939,Jornada,0.5719
La Jornada: Approves PRI to reduce the National Political Council; From 271 thousand members to 700,2013-02-25,-0.296,Jornada,0.4019
La Jornada: Governors and DF head of government agree on joint work,2013-02-25,-0.7906,Jornada,0.3612
"La Jornada: Irregular payments from Ifai, INBA and four secretariats",2013-02-25,-0.8834,Jornada,0.0
"La Jornada: Effect of harassment among the electorate, the millions of espots of political parties",2013-02-25,-0.5267,Jornada,-0.2023
La Jornada: The PRI will change its statutes in order to raise VAT: AMLO,2013-02-25,-0.6249,Jornada,0.0
