article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Growth of Mexico's trade deficit,2013-07-27,0.4939,Jornada,-0.0258
La Jornada: In the second quarter the economic slowdown was accentuated: BdeM,2013-07-27,-0.4215,Jornada,0.0
La Jornada: Repudian Hotel Operators Profeco,2013-07-27,-0.4019,Jornada,0.0
La Jornada: UBS agrees to pay US $ 885 million for damages to mortgage companies,2013-07-27,0.4019,Jornada,-0.3612
"La Jornada: The gasolines will continue at least until 2014, warns Pemex",2013-07-27,0.128,Jornada,-0.1027
"La Jornada: Economic recovery in the US, lukewarm: IMF",2013-07-27,-0.7783,Jornada,0.0
La Jornada: Naranjo crosses the masks of reality,2013-07-27,0.0,Jornada,0.0
La Jornada: Palestinian photographer series sparks protests in France,2013-07-27,-0.9657,Jornada,-0.2263
"La Jornada: A book for children offers a space to think about our idea of ​​family, says editor",2013-07-27,0.6981,Jornada,0.0
"La Jornada: José María Heredia, democratic voice in his work and actions, indicate in forum",2013-07-27,0.25,Jornada,0.0
"La Jornada: All the paper work of the Museum of Art of the State of Veracruz will be restored, announces the Ivec",2013-07-27,-0.4939,Jornada,0.34
La Jornada: Canal 22 calls for debate on the recovery of time in its cultural news,2013-07-27,0.3182,Jornada,0.0
La Jornada: Chiapas fish fossils are found in Chiapas; Is a new species that inhabited 90 million years ago,2013-07-27,0.5574,Jornada,0.0
"La Jornada: We have many novels on narco, so I chose financial crimes: Bef",2013-07-27,-0.9382,Jornada,0.0
La Jornada: Works begin to modernize the Wagner Museum,2013-07-27,0.0,Jornada,0.0
"La Jornada: The muses of Rachmaninof, Chopin and Liszt, in thong",2013-07-27,0.967,Jornada,0.0
La Jornada: Ñanús file amparo against highway project in Guanajuato,2013-07-27,-0.296,Jornada,0.0
The Day: BC: ask the Congress to open accounts,2013-07-27,-0.296,Jornada,0.0
La Jornada: Propose new Magna Carta in Durango,2013-07-27,0.0,Jornada,0.0
La Jornada: Opponents to expand via Morelos call for cease repression,2013-07-27,-0.4767,Jornada,-0.0772
La Jornada: Duarte to revoke concession to airport,2013-07-27,0.0,Jornada,0.0
La Jornada: Ejidatarios unlock passage to Calakmul,2013-07-27,0.25,Jornada,0.0
La Jornada: CNDH brings complaint of Montiel's ex-wife,2013-07-27,0.0,Jornada,-0.296
La Jornada: Grant protection for son of Reynoso Femat,2013-07-27,0.5267,Jornada,0.3612
"La Jornada: Imported, 40% of Chile consumed in the country",2013-07-27,0.0,Jornada,0.0
La Jornada: CNDH to investigate case of child harassment by official,2013-07-27,0.296,Jornada,-0.5423
La Jornada: Request to halt land evictions in Colima,2013-07-27,0.5574,Jornada,0.0
"La Jornada: Prosecutor denies support to rescue her daughter, victim of trafficking, says a mother",2013-07-27,-0.765,Jornada,0.2732
La Jornada: Family members of Mexican deceased in trenazo arrive in Spain,2013-07-27,-0.4767,Jornada,0.0
La Jornada: Catean houses in Morelos for 7 missing cases,2013-07-27,0.5267,Jornada,-0.296
The Journey: Promises SEP detailed evaluation of the material for high school textbooks,2013-07-27,-0.34,Jornada,0.3818
La Jornada: Mexico wins two bronzes in chemistry Olympics,2013-07-27,0.0,Jornada,0.5719
La Jornada: Low growth and debt hold in negative perspective the government's solvency,2013-07-27,-0.2023,Jornada,-0.6908
La Jornada: Senate bill calls for equality of gay lesbian community,2013-07-27,-0.4019,Jornada,0.0
La Jornada: Lack of cleanliness and supplies in the Ssa faces workers,2013-07-27,-0.9042,Jornada,-0.3182
"The Day: Hepatitis C, five times more frequent than AIDS",2013-07-27,-0.8074,Jornada,0.0
La Jornada: Lobbying Anuies 10% increase in budget for public universities,2013-07-27,0.5106,Jornada,0.25
"La Jornada: More than 100,000 dead in Syria: UN",2013-07-27,0.0,Jornada,-0.6771
"La Jornada: In the US, the plagiarist Ariel Castro accepts 937 charges to avoid capital punishment",2013-07-27,-0.8807,Jornada,-0.6369
La Jornada: They ask to sue the father of Chilean candidate,2013-07-27,-0.7351,Jornada,0.0
The Day: EU assures Russia that Snowden is not in danger of being sentenced to death,2013-07-27,-0.9808,Jornada,0.0196
La Jornada: Brazil: Pope prays for executed children,2013-07-27,0.2732,Jornada,0.34
La Jornada: The transfer of power began in Cuba: Castro,2013-07-27,-0.4215,Jornada,0.0
"La Jornada: In force, EU sanctions against Hezbollah's armed wing",2013-07-27,0.0,Jornada,0.0
La Jornada: Detained for negligence to the operator of the train that derailed in Spain,2013-07-27,-0.9349,Jornada,-0.6249
La Jornada: Manning sought to denounce US warmongering policy: defense,2013-07-27,-0.9716,Jornada,-0.6597
La Jornada: Preventive prison sent to ousted Egyptian president Mohamed Mursi,2013-07-27,-0.9231,Jornada,-0.5106
La Jornada: I would not worship a homophobic God: Tutu,2013-07-27,0.0,Jornada,-0.4023
La Jornada: Double attack in Pakistan leaves 41 deaths,2013-07-27,-0.5994,Jornada,-0.4767
La Jornada: Governor admits the silent exodus in communities of Tierra Caliente,2013-07-27,-0.8658,Jornada,0.296
La Jornada: Exhorts Senator of the PAN that Preciado is the only interlocutor,2013-07-27,0.4939,Jornada,0.0
La Jornada: Superficial and discriminatory the single exam: MAES,2013-07-27,-0.296,Jornada,0.0
"La Jornada: AI calls for protection for family and colleagues of Heron Sixto López, assassinated activist",2013-07-27,-0.5574,Jornada,0.0258
La Jornada: The Shotgun Doctor of the APPO died,2013-07-27,0.743,Jornada,-0.5574
La Jornada: Process against Queen of the Pacific is exhausted,2013-07-27,-0.9485,Jornada,-0.3612
La Jornada: The SEP bets on a dual classroom-business educational model,2013-07-27,0.2263,Jornada,0.0
La Jornada: PRD resumes negotiation for national congress,2013-07-27,-0.3477,Jornada,0.0
La Jornada: Exceeding the VAT tax benefits granted by the Treasury,2013-07-27,0.4939,Jornada,0.6597
"La Jornada: For violent actions, 17 dead in five entities; Six in Chihuahua",2013-07-27,-0.8316,Jornada,-0.8481
"La Jornada: Before the crime, the government gives blind sticks: PRD",2013-07-27,-0.8074,Jornada,-0.7351
La Jornada: The bishop of Aguascalientes is accused of meddling in state politics,2013-07-27,-0.4019,Jornada,-0.296
La Jornada: Found paramasonic group to promote secularism,2013-07-27,0.1531,Jornada,0.3818
La Jornada: What to do if everyone wants UNAM or Poli?,2013-07-27,0.4939,Jornada,0.0
"La Jornada: PGR recognizes inefficiency to find remains of Rosendo Radilla, but defends level of its experts",2013-07-27,-0.7845,Jornada,0.0
La Jornada: A baccalaureate with 2 hits,2013-07-27,-0.9517,Jornada,0.0
"La Jornada: Police arrested and deserters of the Army feed rows of the underworld, says expert",2013-07-27,-0.5574,Jornada,-0.4767
"La Jornada: For September, they are launching an initiative that will charge 16% of food and medicines",2013-07-27,0.0,Jornada,0.0
La Jornada: Neither with more taxes will plug hole for privatization of Pemex: AMLO,2013-07-27,-0.6808,Jornada,0.0
"The Journey: Concludes Meade meeting in Canada; Visas for Mexicans, still pending",2013-07-27,0.0,Jornada,0.0
La Jornada: TEPJF Receives Party Appeal,2013-07-27,0.4588,Jornada,0.4019
"La Jornada: Before US espionage, PAN senator demands more energetic position to Peña Nieto",2013-07-27,-0.0772,Jornada,0.4927
La Jornada: Governor includes Tepito in crime prevention program,2013-07-27,-0.9231,Jornada,-0.5423
La Jornada: The National Book Fair for Children and Youth begins in Veracruz,2013-07-27,0.5859,Jornada,0.3182
