article,pub_date,nltk_score,source,nltk_score_title
Despiden a mil 300 uniformados iraquíes que se negaron a combatir a milicianos chiítas,2008-04-14,-0.7269,Jornada,-0.5859
El Papa no teme ser víctima de ataques,2008-04-14,-0.5267,Jornada,0.1386
Estadunidense acapara tierras en Bolivia,2008-04-14,0.4404,Jornada,0.0
Irán y EU han dialogado en secreto sobre la relación bilateral: ex diplomático estadunidense,2008-04-14,-0.9325,Jornada,0.0
Acuerdo en Kenia; el opositor Odinga ocupará el cargo de primer ministro,2008-04-14,0.9786,Jornada,0.4939
"El vandalismo, enemigo interno del sistema, alerta la Unión de Jóvenes Comunistas cubanos",2008-04-14,-0.847,Jornada,-0.5994
Raro fenómeno climático provoca lluvias desde África hasta la Amazonia oriental,2008-04-14,-0.7717,Jornada,0.1779
Ecuador da 48 horas a Colombia para probar que Correa impidió repeler a las FARC,2008-04-14,-0.3612,Jornada,0.0258
Maoístas amplían ventaja en Nepal,2008-04-14,0.0,Jornada,0.4019
Con escasa afluencia de votantes inicia la doble jornada electoral en Italia,2008-04-14,0.1779,Jornada,0.0
"Ex obispo, favorito en comicios de Paraguay",2008-04-14,0.3182,Jornada,0.4588
Chávez crea plan para “sembrar” el socialismo desde las comunidades,2008-04-14,-0.34,Jornada,0.2732
Exponen la riqueza cultural de pueblos “disueltos entre nosotros”,2008-04-14,-0.7906,Jornada,0.3818
Eligen a Rodrigo Macías como nuevo director asistente de la OFUNAM,2008-04-14,0.4939,Jornada,0.0
Versión completa de la colección Coppel en CU,2008-04-14,-0.5267,Jornada,0.0
"En concierto fuera de los cánones, Horacio Franco tocó a Bach, los Beatles y danzón",2008-04-14,0.7906,Jornada,0.34
"Editarán la obra completa de Ángel de Campo, Micrós",2008-04-14,-0.1531,Jornada,0.0
"El punto, con el poder de decir todo: Carla Zabé",2008-04-14,0.0,Jornada,0.0
"Crisis alimentaria en el mundo en desarrollo, advierte el FMI",2008-04-14,-0.9709,Jornada,-0.6705
El gobierno busca proteger las inversiones en el exterior,2008-04-14,-0.4939,Jornada,0.3818
Convenio ONU-DGAC sobre aviación civil,2008-04-14,0.5719,Jornada,0.0
En Miami se promovió el PNI para la inversión de varios países,2008-04-14,0.0,Jornada,0.4215
"IP: “sin fundamento”, la preocupación por la privatización de Pemex",2008-04-14,-0.8126,Jornada,0.0
