article,pub_date,nltk_score,source,nltk_score_title
Tragedia en Madrid; 153 muertos al estrellarse un avión de Spanair,2008-08-21,-0.9961,Jornada,-0.8658
Cuantiosa inversión del Kremlin en tecnologías,2008-08-21,0.0,Jornada,0.0
"Deroga el Congreso peruano, a pedido de indígenas, decretos sobre posesión de tierra",2008-08-21,-0.2023,Jornada,0.0
Huelga paraliza a Uruguay,2008-08-21,-0.7717,Jornada,-0.128
Acusa Rusia a Georgia de “concentrar tropas” en dirección a Osetia del Sur,2008-08-21,0.2263,Jornada,-0.34
Firman Polonia y EU acuerdo para instalar el escudo antimisiles estadunidense en Europa,2008-08-21,-0.25,Jornada,0.4939
"“Un milagro” que hubiera sobrevivientes entre ese amasijo de metal, relatan testigos",2008-08-21,-0.9886,Jornada,0.5859
"Fragmentado, el consenso político del exilio cubano en Miami; principia el fin: analistas",2008-08-21,-0.6369,Jornada,0.0
"Aventaja el republicano al demócrata, según sondeo",2008-08-21,0.0,Jornada,0.0
Recopilan en un libro las obras teatrales más representativas de Óscar Liera,2008-08-21,-0.4215,Jornada,0.0
Descubre Pablo Helguera que el arte es igual en cualquier parte de América,2008-08-21,-0.7906,Jornada,0.0
Los políticos no se merecen que uno se gaste todo caricaturizándolos: Hernández,2008-08-21,-0.8402,Jornada,0.0
Es un mito gangsteril la afirmación de que los mexicanos no leen: Taibo II,2008-08-21,-0.926,Jornada,0.0
Plasma Annabel Livermore la vida nocturna de Ciudad Juárez y el desierto,2008-08-21,-0.5994,Jornada,0.0
Petroushka y Cuadros de una exposición ponen a jugar a las artes,2008-08-21,0.6705,Jornada,0.34
Frenón en la construcción de casas y departamentos en el país,2008-08-21,0.7845,Jornada,0.0
Masacre en NY de las acciones de Fannie Mae y Freddie Mac,2008-08-21,0.128,Jornada,0.296
Apoyan gremios la restatización de Aerolíneas Argentinas,2008-08-21,0.0,Jornada,0.3612
"Arbitraje internacional, demanda Cemex en la disputa con Venezuela",2008-08-21,-0.9595,Jornada,-0.4939
"Impacto sobre productos básicos, prevén",2008-08-21,0.0516,Jornada,0.0
Internet superará en publicidad a radio y televisión: Citigroup,2008-08-21,0.0,Jornada,0.2023
Los gasolinazos no se justificarían si las refinerías produjeran a toda su capacidad,2008-08-21,-0.9062,Jornada,-0.3089
Caen a su menor nivel en 18 años las expectativas para la economía mundial,2008-08-21,0.3612,Jornada,-0.3818
"Huelga en India; 20 millones de empleados, contra la inflación",2008-08-21,0.4767,Jornada,-0.128
Desocupación de 4.15%: INEGI,2008-08-21,-0.886,Jornada,-0.4404
No retirará la SEP productos chatarra de tiendas escolares,2008-08-21,-0.8885,Jornada,0.0
Ordena el IFAI entregar estudio sobre la Coca Zero,2008-08-21,-0.6705,Jornada,0.0
Convoca la CNTE a movilizaciones por la defensa de la educación pública,2008-08-21,0.8689,Jornada,0.128
Preguntas de examen,2008-08-21,0.3182,Jornada,0.0
Amenazas de muerte contra activistas que documentan tráfico de órganos en Jalisco,2008-08-21,-0.5994,Jornada,-0.7717
Afectan males congénitos cardiacos a ocho de cada mil nacidos vivos: Ssa,2008-08-21,0.0,Jornada,0.0
"Muchos mexicanos extraordinarios, producto de la formación en normales, advierte Narro",2008-08-21,-0.9136,Jornada,-0.1027
"Hubo irregularidades administrativas en asignación de beneficiarios, acepta la Ssa",2008-08-21,-0.5574,Jornada,0.6249
Insuficiente nivel en matemáticas de 84.4% de estudiantes de prepa,2008-08-21,-0.9477,Jornada,0.0
Desarrolla IPN sistema automático de monitoreo de signos vitales,2008-08-21,-0.1027,Jornada,0.296
"En la UNAM, primer auto híbrido del país",2008-08-21,0.7184,Jornada,0.0
"Resultados, no sólo discursos, exigen al Consejo Nacional de Seguridad Pública",2008-08-21,-0.9169,Jornada,0.4157
"En el CNSP, gobiernos estatales y el del DF pedirán mayor presupuesto",2008-08-21,0.9559,Jornada,0.0
Habitantes de Creel exigen castigar a autores de la matanza del sábado 16,2008-08-21,-0.9393,Jornada,-0.5994
La Ley de Juegos fomenta expansión irregular de casinos: Arroyo Vieyra,2008-08-21,-0.296,Jornada,0.34
"Fomentar la cultura de la legalidad, demanda Calderón a dueños de medios de comunicación",2008-08-21,0.9732,Jornada,-0.128
"El Ejecutivo, ineficaz ante la delincuencia, afirma el PRI",2008-08-21,-0.9823,Jornada,-0.6124
México y Honduras intensificarán lucha conjunta contra el crimen organizado,2008-08-21,-0.8957,Jornada,-0.7269
Rechazan priístas privatización de Pemex; deciden no sumarse a la propuesta oficial,2008-08-21,-0.8658,Jornada,-0.6234
Incongruente apoyo de Lozano al líder petrolero: sindicato minero,2008-08-21,-0.9872,Jornada,0.4019
Agrupaciones campesinas y sindicales organizan marcha para el 1º de septiembre,2008-08-21,0.802,Jornada,0.0
Habrá hoy compromisos concretos y no sólo buenos deseos: Mouriño,2008-08-21,0.9393,Jornada,-0.3291
Critican exceso de Zavaleta en su informe,2008-08-21,-0.4767,Jornada,-0.4404
Protestantes reconocerán labor de Monsiváis,2008-08-21,0.1027,Jornada,0.0
Policías de Sonora rescataron a uno de sus compañeros que había sido levantado,2008-08-21,0.9493,Jornada,0.4215
Apuntala Leonel Godoy los proyectos de los puertos Lázaro Cárdenas y Contepec,2008-08-21,-0.296,Jornada,0.3612
Proponen en el PRI que el abanderado en 2012 salga de consulta a las bases,2008-08-21,0.296,Jornada,0.0
Perseguirán a bandas que medran con indocumentados,2008-08-21,-0.0258,Jornada,0.0
"Ante la toma del partido, Acosta Naranjo traslada sus oficinas al sur de la ciudad",2008-08-21,-0.3818,Jornada,0.4019
"La Plaza de la Constitución y sus alrededores, un búnker",2008-08-21,0.9517,Jornada,0.0
La presidencia del Senado genera división en el PAN; un grupo insiste en que repita Creel,2008-08-21,-0.743,Jornada,0.0
"Sin fecha, diálogo migratorio con Cuba",2008-08-21,-0.34,Jornada,0.0
Denuncian a senador que señaló: el PRI se vio obligado a aceptar el fraude de 2006,2008-08-21,-0.9403,Jornada,-0.7964
"Presenta el instituto electoral reglamento de radio y televisión, en busca de equidad",2008-08-21,-0.34,Jornada,0.0
"Presión de tv, visión personal de Corral: AN",2008-08-21,-0.7783,Jornada,-0.296
"Este año, 314 secuestros en el país",2008-08-21,-0.0258,Jornada,0.0
Propone el PVEM pena capital para plagiarios,2008-08-21,-0.886,Jornada,-0.4939
"“Bien fundada”, la propuesta de intelectuales sobre el petróleo",2008-08-21,-0.3818,Jornada,0.5719
Demanda Coparmex “verdadero compromiso” con la legalidad,2008-08-21,-0.9643,Jornada,0.5994
Modifica el IFE su solicitud de presupuesto para 2009; le agrega 730 millones de pesos,2008-08-21,0.8834,Jornada,0.0
Ciclo sobre derecho familiar,2008-08-21,0.7506,Jornada,0.0
Revocan sanción contra PRD y PT por usar la frase “presidente legítimo”,2008-08-21,0.875,Jornada,0.0
Rechaza la JFCA emplazamiento a huelga de ASSA,2008-08-21,-0.9274,Jornada,-0.5719
Militares revisan la casa de Clouthier,2008-08-21,0.1531,Jornada,0.0
Perpetran ocho asesinatos en Ciudad Juárez; suman 903 ejecuciones en 2008,2008-08-21,-0.9816,Jornada,-0.6124
Presentan hoy mandatarios estatales propuestas y pliegos de peticiones,2008-08-21,0.7579,Jornada,0.0
Activistas exigen transparencia a la presidencia de El Colegio de México,2008-08-21,-0.8074,Jornada,-0.128
