article,pub_date,nltk_score,source,nltk_score_title
Dos atentados en Irak dejan al menos 28 personas muertas y unos 55 heridos,2008-12-28,-0.9001,Jornada,-0.6705
Guinea: el jefe golpista anuncia severos castigos para corruptos,2008-12-28,0.34,Jornada,-0.7003
Multitudinario homenaje a Benazir Bhutto a un año de su asesinato,2008-12-28,-0.9891,Jornada,-0.5994
Aviones y helicópteros israelíes atacan la franja de Gaza; unos 230 muertos,2008-12-28,-0.9936,Jornada,-0.8126
La comunidad internacional censura nuevo bombardeo israelí contra Gaza,2008-12-28,-0.9709,Jornada,-0.296
“Las orquestas son maquinarias de desarrollo social”: Miguel Salmon,2008-12-28,0.7003,Jornada,0.0
"Murió Samuel Huntington, politólogo estadunidense",2008-12-28,-0.891,Jornada,-0.5574
Ajuste de cuentas con el pasado,2008-12-28,0.872,Jornada,0.0
"Lucha y resistencia, registro sobre cómo el EZLN allanó el camino al diálogo",2008-12-28,0.9493,Jornada,-0.3182
"Olivia recibe la Navidad, nueva aventura de la entrañable cerdita",2008-12-28,0.6486,Jornada,0.3182
Un hilarante tour por el Hades,2008-12-28,0.4767,Jornada,0.4019
Objeta Mamá Carlota el actual revisionismo histórico de derecha,2008-12-28,-0.9565,Jornada,0.0
El lado silencioso de un científico,2008-12-28,-0.6486,Jornada,0.0
Actores británicos representan No man’s land para despedir a Pinter,2008-12-28,-0.9836,Jornada,-0.5574
"Escasa, pero de gran interés, la oferta museística infantil que brinda la capital",2008-12-28,-0.4767,Jornada,0.8822
Mejor inversión que el oro,2008-12-28,0.8176,Jornada,0.4404
Despedirá Chanel a 200 empleados,2008-12-28,0.0,Jornada,-0.34
Reformó Ortega por decreto gasto de 2008,2008-12-28,0.0258,Jornada,0.0
Cortará Quito producción de petroleras privadas para cumplir recorte de OPEP,2008-12-28,-0.9246,Jornada,-0.6486
"México, estancado en el reparto de la riqueza, asegura la Cepal",2008-12-28,0.7184,Jornada,0.296
"Anuncia Raúl Castro recorte al gasto; educación, salud y pensiones se mantienen",2008-12-28,0.0772,Jornada,-0.296
“Puede explotar” el problema de la cartera vencida de bancos: experto,2008-12-28,0.9657,Jornada,-0.4019
Cerrará Woolworths 200 tiendas en Reino Unido,2008-12-28,0.4588,Jornada,0.4215
Paralizó crisis boom inmobiliario en NY,2008-12-28,0.0,Jornada,-0.6249
Rusia tendrá en 2009 déficit por 88 mil mdd,2008-12-28,-0.3612,Jornada,-0.4019
"En 2020, la depresión será la segunda causa de incapacidad en el mundo: OMS",2008-12-28,-0.9975,Jornada,-0.5719
Cuenta IMSS con unidad biomédica para detectar enfermedad de Chagas,2008-12-28,-0.4215,Jornada,0.0
"En BC, la tercera parte de docentes de secundaria no saben computación",2008-12-28,-0.6597,Jornada,0.0
Productores chinos que vendieron leche contaminada indemnizarán a familias,2008-12-28,-0.296,Jornada,0.0
Cobros de las ANP rebasan expectativas,2008-12-28,0.0,Jornada,0.0
"En planteles rurales, los peores resultados de prescolar: INEE",2008-12-28,-0.5267,Jornada,-0.6249
Maestros de Morelos se capacitan contra la ACE,2008-12-28,0.25,Jornada,0.0
Ssa: en México se consumen al año sólo cinco kilogramos de pescado por persona,2008-12-28,-0.9601,Jornada,0.0
"Hay condiciones para crear aquí una secretaría de la mujer, dice activista",2008-12-28,-0.9153,Jornada,0.2732
Niega la SRE retorno masivo de connacionales por la crisis en EU,2008-12-28,-0.8591,Jornada,-0.7845
Propone el tricolor que la nueva refinería se construya en Tabasco,2008-12-28,0.93,Jornada,0.0
Ya pagaron en llantera costo de la crisis,2008-12-28,-0.8074,Jornada,-0.6249
Convergencia celebra “acto de justicia” del TEPJF,2008-12-28,0.34,Jornada,0.7964
Despojan a Miss Sinaloa del cetro de Reina Hispanoamericana 2008,2008-12-28,0.9382,Jornada,-0.1531
Rescata comando a dos hombres heridos de bala en poder de la policía en Sinaloa,2008-12-28,0.8779,Jornada,0.5106
Prenden a dos mexicanos con coca en Perú,2008-12-28,-0.5106,Jornada,0.0
"Despide empresa minera en Sinaloa a 160 trabajadores, debido a la crisis económica",2008-12-28,-0.8074,Jornada,-0.6249
Ex funcionario que encubrió el Pemexgate ahora quiere ser consejero de la paraestatal,2008-12-28,-0.9915,Jornada,0.0
Televisoras anulan en los hechos reformas a la Carta Magna en materia electoral,2008-12-28,-0.891,Jornada,-0.2263
"Insiste el gobierno en construir un aeropuerto en Atenco, acusa el FPDT",2008-12-28,-0.9274,Jornada,-0.34
"Proyecta el PRD mejorar leyes sobre seguridad, pero sin afectar derechos",2008-12-28,-0.9618,Jornada,0.431
Un testigo protegido fue quien señaló al militar que filtraba datos a narcos,2008-12-28,0.4019,Jornada,0.4404
"Santos, vírgenes y cristos, los coyotes espirituales de migrantes",2008-12-28,-0.4019,Jornada,0.0
Arraigan por 40 días a 23 presuntos sicarios del cártel de los Beltrán Leyva,2008-12-28,-0.8807,Jornada,-0.2263
Aumenta el número de mujeres enredadas en el mundo del narco,2008-12-28,-0.128,Jornada,0.3818
Temperaturas bajo cero en al menos 2 estados por frente frío 21,2008-12-28,-0.4404,Jornada,0.0
Comando armado atraca un tren de carga en Michoacán,2008-12-28,0.4404,Jornada,0.0
"En Villahermosa, el comercio resiente aún estragos por el aluvión de 2007",2008-12-28,-0.988,Jornada,-0.4767
Piden revisar puente del Tren Suburbano,2008-12-28,0.4767,Jornada,0.0
300 violaciones a derechos este año en Morelos: CIDH,2008-12-28,-0.8689,Jornada,-0.5267
Chilpancingo: mueren ahogados 2 hombres,2008-12-28,0.34,Jornada,-0.8316
"Cesados, 100 policías en Tlalnepantla en 2008",2008-12-28,0.4019,Jornada,0.0
Inhuman a migrante de CA atacado en Oaxaca,2008-12-28,-0.6486,Jornada,-0.4588
