article,pub_date,nltk_score,source,nltk_score_title
Cadena perpetua al ex jefe de la policía de Augusto Pinochet,2008-07-01,-0.5106,Jornada,0.0
Piden líderes a Mugabe dialogar con oposición,2008-07-01,-0.0772,Jornada,0.0
El gobierno de Evo Morales reconoce el triunfo de opositora en Chuquisaca,2008-07-01,0.7717,Jornada,0.4767
Reprimen manifestación contra abusos policiales en provincia china,2008-07-01,-0.936,Jornada,-0.4939
Partidarios de Lugo pactan con oviedistas,2008-07-01,0.0,Jornada,0.4404
Lula mantiene popularidad en Brasil,2008-07-01,0.0,Jornada,0.4767
Más de mil 450 incendios en California,2008-07-01,-0.7351,Jornada,0.0
Sarkozy: negligencia en accidente militar,2008-07-01,-0.7351,Jornada,-0.4767
Siria desea igualar el arsenal atómico israelí,2008-07-01,-0.6486,Jornada,0.0
Francia y Suiza avanzan con las FARC,2008-07-01,0.5574,Jornada,0.0
Desestima Irak ofertas de trasnacionales petroleras para recibir asesoría técnica,2008-07-01,-0.9231,Jornada,-0.4215
Crean Iglesia bolivariana contra el “imperio de EU”,2008-07-01,0.1779,Jornada,0.2732
Montesinos libera a Fujimori de responsabilidades en un proceso por violación a los derechos humanos,2008-07-01,-0.9918,Jornada,-0.25
Saudita acusado de ataques de Al Qaeda,2008-07-01,-0.9517,Jornada,-0.6249
EU: no se pemitirá a Irán cerrar Ormuz,2008-07-01,-0.8402,Jornada,0.0
Polémica entre Obama y McCain,2008-07-01,-0.886,Jornada,0.0
Comienza en Tucumán la 35 cumbre de presidentes del Mercado Común del Sur,2008-07-01,-0.8885,Jornada,0.0
Montarán tres exposiciones para inducir a la reflexión sobre la realidad de Iberoamérica,2008-07-01,-0.0,Jornada,0.0
“Estados Unidos desperdicia opciones para concretar una reforma migratoria”,2008-07-01,-0.8378,Jornada,0.4215
Sello brasileño convoca a devolver libro de Borges por contener erratas,2008-07-01,0.0,Jornada,0.0
Cada vez hay menos autores de literatura erótica; “prefieren los juegos de poder”,2008-07-01,0.7003,Jornada,0.0
Del Conde hace un recuento de su “relación de toda la vida” con el INBA,2008-07-01,-0.4588,Jornada,0.0
Adolfo Gilly rescata a Felipe Ángeles del olvido y el ninguneo,2008-07-01,0.4404,Jornada,0.3182
Primera inclusión de cuentos mexicanos en serie de EU,2008-07-01,0.7717,Jornada,0.0
"Szymborska necesita “tiempo para callar, pues la poesía surge del silencio”",2008-07-01,-0.5106,Jornada,0.0
Trabaja Sectur en mitigar efectos de la cancelación de vuelos desde EU al país,2008-07-01,-0.8934,Jornada,0.0
"Compra Inbursa 15% de la española Gas Natural, por $760.8 millones",2008-07-01,0.743,Jornada,0.3612
Panorama petrolero: julio 2008,2008-07-01,-0.9601,Jornada,0.0
El litro de leche podría llegar a $20 por altos precios de los granos,2008-07-01,-0.128,Jornada,0.0258
"Impulsar la producción ante el riesgo inflacionario, piden",2008-07-01,-0.6682,Jornada,0.1531
"Ante próximo aumento, legisladores del PRI exigirán fijar precio México para gas natural",2008-07-01,0.7351,Jornada,0.5106
El futuro de la energía,2008-07-01,0.9842,Jornada,0.2732
Bajó a 18.5% en mayo el crédito de los bancos al sector privado,2008-07-01,0.9595,Jornada,0.0
"Banorte emite obligaciones por $2,750 millones: BMV",2008-07-01,-0.1027,Jornada,0.0
Lleva 34 alzas en el año el precio de la mezcla mexicana de crudo,2008-07-01,0.6249,Jornada,-0.5719
"En vigor, el impuesto a los depósitos en efectivo por más de 25 mil pesos",2008-07-01,0.6124,Jornada,0.0
Critican científicos la opacidad en el manejo del Programa de Estímulos Fiscales,2008-07-01,-0.6249,Jornada,-0.3818
Revoca la SEP registro de validez oficial a 501 bachilleratos privados,2008-07-01,-0.9337,Jornada,0.0
"“Que se cuiden”, advierte Felipe Calderón a maridos golpeadores",2008-07-01,-0.8834,Jornada,-0.4939
Plan de la Ssa contra el cáncer de mama,2008-07-01,-0.9349,Jornada,-0.6597
Profesores temen que elbistas secuestren el congreso de la sección 9 del SNTE,2008-07-01,-0.7906,Jornada,-0.4939
Elogia la OMS las campañas para aumentar los espacios libres de humo,2008-07-01,-0.8807,Jornada,0.3182
Realizarán estudios sobre diabetes y sobrepeso el IPN y el gobierno del DF,2008-07-01,-0.7096,Jornada,-0.3612
Detecta la NASA unos mil meteoros,2008-07-01,-0.9022,Jornada,0.0
"Crecen al doble las infecciones por transmisión sexual entre los británicos, en una década",2008-07-01,0.1779,Jornada,0.0
