article,pub_date,nltk_score,source,nltk_score_title
Anuncian en Argentina plan social; será financiado con impuestos a productores,2008-06-10,-0.8885,Jornada,0.0
Protestan miles de bolivianos por asilo que Estados Unidos otorgó a ex ministro,2008-06-10,0.9231,Jornada,0.4404
El gobierno de Bush aprieta el cerco contra indocumentados,2008-06-10,-0.9001,Jornada,0.0
La Jornada: Patricia Mercado exige renuncia a Quezada por ir a mitin de AMLO,2008-06-10,-0.6908,Jornada,-0.296
Irán construirá refinerías en Irak; pactan reforzar cooperación petrolera,2008-06-10,0.8271,Jornada,0.3182
EU debe permitir independencia de Puerto Rico: ONU,2008-06-10,-0.7351,Jornada,0.2263
Ubica el ejército colombiano zona donde las FARC tienen cautivos a estadunidenses,2008-06-10,-0.8271,Jornada,0.0
Piden extradición de agentes de la CIA,2008-06-10,0.7579,Jornada,0.0
Aprobarán en Chile ley de educación,2008-06-10,0.4939,Jornada,0.0
Obama y McCain se lanzan por votos en estados antagónicos a sus partidos,2008-06-10,0.9325,Jornada,0.4019
"Su hijo Emiliano, incluido en libro emblemático",2008-06-10,0.0,Jornada,0.0
Vislumbran “el alma y la imaginación” de Dylan con sus acuarelas,2008-06-10,-0.5267,Jornada,0.0
"Recupera cuadro de Rafael su esplendor; regresará al museo Uffizi, en Florencia",2008-06-10,0.6124,Jornada,0.6124
Cuadro de Gironella dialoga con los “monstruos” del arte mundial,2008-06-10,-0.6486,Jornada,0.0
Irma Morales recibió la Medalla Bellas Artes por su trayectoria en la danza,2008-06-10,-0.5859,Jornada,0.5994
Falleció la pintora Sylvia Pardo,2008-06-10,-0.5994,Jornada,-0.5574
La compañía de Lidya Romero repone montaje conmemorativo por sus 25 años,2008-06-10,-0.4767,Jornada,0.0
"Es sostenible el subsidio a la gasolina, aunque hay que evaluarlo: Carstens",2008-06-10,0.6369,Jornada,0.0
Movilizó Canacar a 3 mil camioneros que protestan contra el cobro el IETU,2008-06-10,-0.8316,Jornada,-0.4215
Crece el PIB estadunidense,2008-06-10,-0.8689,Jornada,0.0
EU: ¿crisis sobre ruedas?,2008-06-10,-0.9955,Jornada,-0.6249
Amenazan al mundo recesión e inflación: FMI,2008-06-10,-0.7906,Jornada,-0.6597
Desde el 11 de julio Telcel distribuirá el iPhone 3G,2008-06-10,0.2023,Jornada,0.0
Industria minera proporcionó datos erróneos al SAT,2008-06-10,-0.296,Jornada,-0.4215
Caos vial en varios lugares de España por el paro indefinido del transporte,2008-06-10,-0.9413,Jornada,-0.765
La inflación llegó en mayo al máximo nivel de 3 años: BdeM,2008-06-10,0.802,Jornada,0.1027
Gobernación retrasa pago a braceros,2008-06-10,0.25,Jornada,-0.3182
"Escudadas en la discrecionalidad de la ley, iglesias mantienen espacios en los medios",2008-06-10,-0.872,Jornada,0.0
Caravana minera acusa de parcial a la STPS en el conflicto con Grupo México,2008-06-10,-0.9803,Jornada,-0.5719
"La SRE, preocupada por las redadas de indocumentados en Estados Unidos",2008-06-10,-0.9531,Jornada,0.1531
"Insuficiente, el progreso mundial en la lucha contra el sida: ONU",2008-06-10,-0.3612,Jornada,0.0516
Crisis en la infraestructura hospitalaria del IMSS,2008-06-10,-0.3612,Jornada,-0.6249
"Obesidad, foco rojo para el sector salud; 69 por ciento de mexicanos la padecen",2008-06-10,0.2263,Jornada,-0.5423
"Voto secreto, universal y directo, promete Gordillo a la sección 22",2008-06-10,-0.3818,Jornada,0.3818
Indagan fraude con cirugías en clínica de Milán; 14 detenidos,2008-06-10,-0.9403,Jornada,-0.5859
Transparencia Mexicana vigilará la alianza por la calidad educativa,2008-06-10,-0.7717,Jornada,0.0
Ministros mesoamericanos discutirán sobre sustentabilidad ambiental,2008-06-10,0.7096,Jornada,0.0
