article,pub_date,nltk_score,source,nltk_score_title
Dimite ministro de Comunicación de Venezuela,2008-05-28,-0.5267,Jornada,-0.3182
Brasil: asume ministro de Medio Ambiente,2008-05-28,0.0,Jornada,0.0
“Descuido” hunde al canciller canadiense,2008-05-28,0.0,Jornada,0.0
"La percepción de Colombia en AL, una esperanza para el Polo Democrático: Gaviria",2008-05-28,0.936,Jornada,0.4404
"Fuerzas de paz de la ONU abusan sexualmente de niños, acusa ONG",2008-05-28,-0.91,Jornada,-0.6124
Las FARC deben decidir entre la violencia o deponer las armas: EU,2008-05-28,-0.9781,Jornada,-0.6249
Reanudan el paro en el agro argentino,2008-05-28,0.0,Jornada,-0.4404
Médicos cubanos dan 13 millones de consultas gratis en Bolivia,2008-05-28,0.6486,Jornada,0.5106
“Preocupado” EU por la actitud de Teherán,2008-05-28,0.0,Jornada,0.0
"Tortura, discriminación y desapariciones “siguen arruinando la vida de muchos” en AL, señala AI",2008-05-28,-0.9921,Jornada,-0.8271
Admite empresario haber entregado unos 150 mil dólares al primer ministro israelí,2008-05-28,-0.836,Jornada,0.296
"Ecuador, en contra de que militares sigan recibiendo capacitación en EU",2008-05-28,-0.9442,Jornada,0.0
Dos réplicas del terremoto del 12 de mayo en China derrumban más de 420 mil casas,2008-05-28,0.2023,Jornada,-0.4939
Prolongan el arresto domiciliario de Aung,2008-05-28,0.6369,Jornada,-0.34
"Predican la libertad del dinero, pero se practica la prisión de las personas: Galeano",2008-05-28,-0.8405,Jornada,-0.34
Ponen de relieve la grandeza del legado de Volodia Teitelboim,2008-05-28,0.0516,Jornada,0.34
El cronista compartió su pasión por el cine con los asistentes al Lunario,2008-05-28,0.8934,Jornada,0.6597
"Cannes no es ni rojo ni blanco, ni burgués ni proletario: Favre le Bret",2008-05-28,-0.872,Jornada,0.0
Monsiváis nos pertenece por enarbolar la inclusión y la tolerancia: Vázquez Mota,2008-05-28,0.9839,Jornada,0.296
Afecta piratería al rubro de material eléctrico,2008-05-28,-0.5719,Jornada,0.0
México tardará 55 años en llegar al bienestar de los desarrollados,2008-05-28,-0.9349,Jornada,0.0258
Clases muy populares no dejarán el turismo religioso aunque se estén muriendo de hambre,2008-05-28,-0.8625,Jornada,0.2917
"Frenar depredación de la Amazonia, reto del nuevo ministro ambiental Carlos Minc",2008-05-28,-0.8807,Jornada,0.25
Francia pide al G-7 presionar a países productores para elevar oferta de petróleo,2008-05-28,-0.9118,Jornada,0.0258
Cofemer expone propuestas para mejorar la competitividad,2008-05-28,0.0,Jornada,0.4404
Prestará el BID 500 mdd a AL para mitigar crisis alimentaria,2008-05-28,-0.7845,Jornada,-0.6249
SAT: el IETU se aplicó con éxito; se recaudaron $20 mil millones,2008-05-28,-0.296,Jornada,0.4939
Otorgará el BM préstamos a China para el sector energético,2008-05-28,0.5719,Jornada,0.5574
"Error, excluir a pueblos indios: De la Fuente",2008-05-28,0.0,Jornada,-0.4019
Ignoran autoridades cifra de desechos infecciosos en el país,2008-05-28,-0.9873,Jornada,-0.5994
"Foro Consultivo: ciencia y tecnología, estancadas; el Conacyt no asigna fondos",2008-05-28,-0.959,Jornada,0.0
"De nuevo, profesores realizan marchas, plantones, bloqueos y toma de oficinas",2008-05-28,-0.7269,Jornada,0.0
"Desarrollo en AL, sólo dejando de copiar modelos, asegura experto",2008-05-28,-0.9313,Jornada,0.3182
Resguarda el DIF-Coahuila a niña detenida por Migración,2008-05-28,0.1779,Jornada,-0.0772
"Persiste rezago en abatimiento de la mortalidad materna, advierten ONG",2008-05-28,-0.735,Jornada,-0.1027
Se renovará registro sólo a 10 mil de 30 mil fármacos en el país: Cofepris,2008-05-28,-0.9337,Jornada,0.0
Alerta la Celam al Papa sobre creciente marginación,2008-05-28,-0.8176,Jornada,0.0772
La Jornada: Patricia Mercado exige renuncia a Quezada por ir a mitin de AMLO,2008-05-28,-0.6908,Jornada,-0.296
Enfermos exigen a la Ssa revisión de tratamientos de diálisis,2008-05-28,-0.743,Jornada,-0.128
Denuncian falta de especialistas en hospitales del IMSS en Oaxaca,2008-05-28,-0.8834,Jornada,-0.5719
En el DF comienzan movilizaciones; apremian a la Corte a emitir fallo,2008-05-28,0.7506,Jornada,0.0
"Pemex, el “problema más grande” de México en materia ambiental: Profepa",2008-05-28,-0.9403,Jornada,-0.3818
Plan contra la obesidad entre burócratas,2008-05-28,-0.7964,Jornada,0.0
Crean en el PRD una Cocopa interna para iniciar la operación cicatriz,2008-05-28,-0.5423,Jornada,0.2732
"Poco optimismo de la IP, tras el anuncio",2008-05-28,0.6249,Jornada,0.4951
Critican técnicos y científicos carencia de una reforma energética integral,2008-05-28,-0.4404,Jornada,0.1531
